  Measurement Number     Measurement type
                 154                DC IV

      Measurement ID             SeriesID
       739598.681493                    4

         MeasureMode                Bias1                Bias2
                   2                 -2.7                  2.5

                Step  Positive compliance  Negative compliance
                0.05                 0.01                0.001

  RealMeasuredPoints
                 212

        Bias        Current     Resistance
0.0000e+00   -2.6900e-12   -0.0000e+00
-5.0000e-02   -1.2379e-08   4.0390e+06
-1.0000e-01   -2.7444e-08   3.6438e+06
-1.5000e-01   -4.6368e-08   3.2350e+06
-2.0000e-01   -6.9977e-08   2.8581e+06
-2.5000e-01   -9.1134e-08   2.7432e+06
-3.0000e-01   -1.2558e-07   2.3889e+06
-3.5000e-01   -1.6716e-07   2.0938e+06
-4.0000e-01   -2.1430e-07   1.8665e+06
-4.5000e-01   -2.6658e-07   1.6880e+06
-5.0000e-01   -3.3040e-07   1.5133e+06
-5.5000e-01   -4.0002e-07   1.3749e+06
-6.0000e-01   -4.7988e-07   1.2503e+06
-6.5000e-01   -5.6544e-07   1.1495e+06
-7.0000e-01   -6.6306e-07   1.0557e+06
-7.5000e-01   -7.7476e-07   9.6804e+05
-8.0000e-01   -8.8942e-07   8.9946e+05
-8.5000e-01   -1.0589e-06   8.0269e+05
-9.0000e-01   -1.2050e-06   7.4689e+05
-9.5000e-01   -1.3336e-06   7.1236e+05
-1.0000e+00   -1.5286e-06   6.5419e+05
-1.0500e+00   -1.7234e-06   6.0926e+05
-1.1000e+00   -1.9208e-06   5.7268e+05
-1.1500e+00   -2.1440e-06   5.3638e+05
-1.2000e+00   -2.4036e-06   4.9925e+05
-1.2500e+00   -2.6346e-06   4.7446e+05
-1.3000e+00   -2.9400e-06   4.4218e+05
-1.3500e+00   -3.2377e-06   4.1696e+05
-1.4000e+00   -3.5440e-06   3.9503e+05
-1.4500e+00   -3.8781e-06   3.7389e+05
-1.5000e+00   -4.2238e-06   3.5513e+05
-1.5500e+00   -4.5507e-06   3.4061e+05
-1.6000e+00   -4.8948e-06   3.2688e+05
-1.6500e+00   -5.2911e-06   3.1184e+05
-1.7000e+00   -5.7238e-06   2.9701e+05
