  Measurement Number     Measurement type
                  26                DC IV

      Measurement ID             SeriesID
       739598.664709                    0

         MeasureMode                Bias1                Bias2
                   1                    0                    2

                Step  Positive compliance  Negative compliance
                0.05               0.0005               0.0005

  RealMeasuredPoints
                  82

        Bias        Current     Resistance
0.0000e+00   2.0120e-11   0.0000e+00
5.0000e-02   5.1625e-09   9.6852e+06
1.0000e-01   8.5590e-09   1.1684e+07
1.5000e-01   1.8495e-08   8.1101e+06
2.0000e-01   3.0752e-08   6.5036e+06
2.5000e-01   4.1884e-08   5.9689e+06
3.0000e-01   5.4997e-08   5.4548e+06
3.5000e-01   7.6808e-08   4.5568e+06
4.0000e-01   1.2022e-07   3.3272e+06
4.5000e-01   1.7560e-07   2.5626e+06
5.0000e-01   2.0620e-07   2.4248e+06
5.5000e-01   2.2628e-07   2.4306e+06
6.0000e-01   2.7402e-07   2.1896e+06
6.5000e-01   3.4414e-07   1.8888e+06
7.0000e-01   3.4940e-07   2.0034e+06
7.5000e-01   4.1770e-07   1.7955e+06
8.0000e-01   3.6992e-07   2.1626e+06
8.5000e-01   3.8024e-07   2.2354e+06
9.0000e-01   3.4314e-07   2.6228e+06
9.5000e-01   5.4620e-07   1.7393e+06
1.0000e+00   5.6340e-07   1.7749e+06
1.0500e+00   6.8664e-07   1.5292e+06
1.1000e+00   7.7484e-07   1.4196e+06
1.1500e+00   9.5444e-07   1.2049e+06
1.2000e+00   1.0323e-06   1.1625e+06
1.2500e+00   1.1937e-06   1.0472e+06
1.3000e+00   1.0504e-06   1.2376e+06
1.3500e+00   1.1193e-06   1.2061e+06
1.4000e+00   1.8431e-06   7.5959e+05
1.4500e+00   1.8138e-06   7.9943e+05
1.5000e+00   2.0024e-06   7.4910e+05
1.5500e+00   1.7795e-06   8.7103e+05
1.6000e+00   1.6885e-06   9.4759e+05
1.6500e+00   1.9077e-06   8.6492e+05
1.7000e+00   1.7836e-06   9.5313e+05
1.7500e+00   1.6630e-06   1.0523e+06
1.8000e+00   3.5034e-06   5.1379e+05
1.8500e+00   4.9748e-04   3.7187e+03
1.9000e+00   4.9990e-04   3.8008e+03
1.9500e+00   5.0000e-04   3.9000e+03
2.0000e+00   4.9996e-04   4.0003e+03
2.0000e+00   4.9992e-04   4.0006e+03
1.9500e+00   5.0000e-04   3.9000e+03
1.9000e+00   4.9996e-04   3.8003e+03
1.8500e+00   4.9990e-04   3.7007e+03
1.8000e+00   4.9998e-04   3.6001e+03
1.7500e+00   4.9988e-04   3.5008e+03
1.7000e+00   5.0000e-04   3.4000e+03
1.6500e+00   4.9894e-04   3.3070e+03
1.6000e+00   4.8744e-04   3.2825e+03
1.5500e+00   4.6426e-04   3.3386e+03
1.5000e+00   4.4742e-04   3.3526e+03
1.4500e+00   4.3212e-04   3.3555e+03
1.4000e+00   4.1562e-04   3.3685e+03
1.3500e+00   3.9804e-04   3.3916e+03
1.3000e+00   3.8124e-04   3.4099e+03
1.2500e+00   3.6692e-04   3.4067e+03
1.2000e+00   3.5122e-04   3.4167e+03
1.1500e+00   3.3538e-04   3.4289e+03
1.1000e+00   3.1952e-04   3.4427e+03
1.0500e+00   3.0384e-04   3.4558e+03
1.0000e+00   2.8842e-04   3.4672e+03
9.5000e-01   2.7350e-04   3.4735e+03
9.0000e-01   2.5792e-04   3.4895e+03
8.5000e-01   2.4272e-04   3.5020e+03
8.0000e-01   2.2770e-04   3.5134e+03
7.5000e-01   2.1282e-04   3.5241e+03
7.0000e-01   1.9772e-04   3.5404e+03
6.5000e-01   1.8304e-04   3.5511e+03
6.0000e-01   1.6868e-04   3.5570e+03
5.5000e-01   1.5444e-04   3.5613e+03
5.0000e-01   1.4030e-04   3.5638e+03
4.5000e-01   1.2604e-04   3.5703e+03
4.0000e-01   1.1178e-04   3.5785e+03
3.5000e-01   9.7818e-05   3.5781e+03
3.0000e-01   8.3682e-05   3.5850e+03
2.5000e-01   6.9698e-05   3.5869e+03
2.0000e-01   5.5726e-05   3.5890e+03
1.5000e-01   4.1664e-05   3.6002e+03
1.0000e-01   2.7820e-05   3.5945e+03
5.0000e-02   1.3926e-05   3.5904e+03
0.0000e+00   5.6492e-08   0.0000e+00
