  Measurement Number     Measurement type
                  40                DC IV

      Measurement ID             SeriesID
       739598.647833                    5

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                0.001               0.0001

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   -6.3120e-11   -0.0000e+00
-5.0000e-02   -3.7512e-09   1.3329e+07
-1.0000e-01   -7.9360e-09   1.2601e+07
-1.5000e-01   -1.3361e-08   1.1227e+07
-2.0000e-01   -1.9931e-08   1.0035e+07
-2.5000e-01   -2.8148e-08   8.8816e+06
-3.0000e-01   -3.8898e-08   7.7124e+06
-3.5000e-01   -5.1960e-08   6.7359e+06
-4.0000e-01   -6.5958e-08   6.0645e+06
-4.5000e-01   -8.4736e-08   5.3106e+06
-5.0000e-01   -1.0521e-07   4.7524e+06
-5.5000e-01   -1.2822e-07   4.2895e+06
-6.0000e-01   -1.5554e-07   3.8575e+06
-6.5000e-01   -1.8338e-07   3.5446e+06
-7.0000e-01   -2.2680e-07   3.0864e+06
-7.5000e-01   -2.6722e-07   2.8067e+06
-8.0000e-01   -3.0064e-07   2.6610e+06
-8.5000e-01   -3.0366e-07   2.7992e+06
-9.0000e-01   -3.4440e-07   2.6132e+06
-9.5000e-01   -3.8802e-07   2.4483e+06
-1.0000e+00   -4.3828e-07   2.2816e+06
-1.0500e+00   -4.8340e-07   2.1721e+06
-1.1000e+00   -5.3398e-07   2.0600e+06
-1.1500e+00   -5.9302e-07   1.9392e+06
-1.2000e+00   -6.5828e-07   1.8229e+06
-1.2500e+00   -7.0796e-07   1.7656e+06
-1.3000e+00   -7.7364e-07   1.6804e+06
-1.3500e+00   -8.2214e-07   1.6421e+06
-1.4000e+00   -8.8994e-07   1.5731e+06
-1.4500e+00   -9.8352e-07   1.4743e+06
-1.5000e+00   -1.0377e-06   1.4455e+06
-1.5500e+00   -1.0889e-06   1.4235e+06
-1.6000e+00   -1.1377e-06   1.4063e+06
-1.6500e+00   -1.2242e-06   1.3478e+06
-1.7000e+00   -1.2995e-06   1.3082e+06
-1.7500e+00   -1.4245e-06   1.2285e+06
-1.8000e+00   -1.5577e-06   1.1555e+06
-1.8500e+00   -1.6937e-06   1.0923e+06
-1.9000e+00   -1.8113e-06   1.0490e+06
-1.9500e+00   -1.9411e-06   1.0046e+06
-2.0000e+00   -2.0404e-06   9.8020e+05
-2.0500e+00   -2.1433e-06   9.5647e+05
-2.1000e+00   -2.3460e-06   8.9514e+05
-2.1500e+00   -2.6258e-06   8.1880e+05
-2.2000e+00   -2.6082e-06   8.4349e+05
-2.2500e+00   -2.8013e-06   8.0320e+05
-2.3000e+00   -7.8144e-05   2.9433e+04
-2.3500e+00   -8.0760e-05   2.9099e+04
-2.4000e+00   -8.1948e-05   2.9287e+04
-2.4500e+00   -8.4096e-05   2.9133e+04
-2.5000e+00   -8.6452e-05   2.8918e+04
-2.5500e+00   -8.9534e-05   2.8481e+04
-2.6000e+00   -9.1162e-05   2.8521e+04
-2.6500e+00   -9.4102e-05   2.8161e+04
-2.7000e+00   -9.3320e-05   2.8933e+04
-2.7500e+00   -1.0001e-04   2.7498e+04
-2.8000e+00   -1.0000e-04   2.7999e+04
-2.8500e+00   -1.0001e-04   2.8498e+04
-2.9000e+00   -1.0001e-04   2.8998e+04
-2.9500e+00   -1.0001e-04   2.9498e+04
-3.0000e+00   -1.0000e-04   2.9999e+04
-3.0000e+00   -1.0000e-04   2.9999e+04
-2.9500e+00   -1.0000e-04   2.9499e+04
-2.9000e+00   -1.0001e-04   2.8998e+04
-2.8500e+00   -1.0000e-04   2.8500e+04
-2.8000e+00   -9.8344e-05   2.8471e+04
-2.7500e+00   -9.9264e-05   2.7704e+04
-2.7000e+00   -9.8918e-05   2.7295e+04
-2.6500e+00   -9.6726e-05   2.7397e+04
-2.6000e+00   -9.3860e-05   2.7701e+04
-2.5500e+00   -9.3406e-05   2.7300e+04
-2.5000e+00   -9.2042e-05   2.7162e+04
-2.4500e+00   -8.9772e-05   2.7291e+04
-2.4000e+00   -8.7688e-05   2.7370e+04
-2.3500e+00   -8.5688e-05   2.7425e+04
-2.3000e+00   -8.3622e-05   2.7505e+04
-2.2500e+00   -8.1424e-05   2.7633e+04
-2.2000e+00   -7.9420e-05   2.7701e+04
-2.1500e+00   -7.7408e-05   2.7775e+04
-2.1000e+00   -7.5254e-05   2.7905e+04
-2.0500e+00   -7.3310e-05   2.7963e+04
-2.0000e+00   -7.1194e-05   2.8092e+04
-1.9500e+00   -6.9116e-05   2.8213e+04
-1.9000e+00   -6.7100e-05   2.8316e+04
-1.8500e+00   -6.5174e-05   2.8386e+04
-1.8000e+00   -6.3248e-05   2.8459e+04
-1.7500e+00   -6.1364e-05   2.8518e+04
