  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739598.640884                    0

         MeasureMode                Bias1                Bias2
                   2                 3.25                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 174

        Bias        Current     Resistance
0.0000e+00   -1.0000e-11   -0.0000e+00
5.0000e-02   8.8780e-11   5.6319e+08
1.0000e-01   2.0093e-10   4.9769e+08
1.5000e-01   3.3013e-10   4.5437e+08
2.0000e-01   4.8071e-10   4.1605e+08
2.5000e-01   7.0387e-10   3.5518e+08
3.0000e-01   9.8490e-10   3.0460e+08
3.5000e-01   1.3290e-09   2.6336e+08
4.0000e-01   1.8553e-09   2.1560e+08
4.5000e-01   2.2019e-09   2.0437e+08
5.0000e-01   2.7958e-09   1.7884e+08
5.5000e-01   3.4502e-09   1.5941e+08
6.0000e-01   4.0213e-09   1.4921e+08
6.5000e-01   5.1197e-09   1.2696e+08
7.0000e-01   5.9713e-09   1.1723e+08
7.5000e-01   6.8471e-09   1.0954e+08
8.0000e-01   7.7027e-09   1.0386e+08
8.5000e-01   9.2081e-09   9.2310e+07
9.0000e-01   1.1504e-08   7.8232e+07
9.5000e-01   1.3325e-08   7.1296e+07
1.0000e+00   1.5213e-08   6.5732e+07
1.0500e+00   1.7271e-08   6.0794e+07
1.1000e+00   1.9871e-08   5.5356e+07
1.1500e+00   2.2295e-08   5.1581e+07
1.2000e+00   2.6549e-08   4.5200e+07
1.2500e+00   2.9661e-08   4.2143e+07
1.3000e+00   3.3237e-08   3.9114e+07
1.3500e+00   3.7595e-08   3.5909e+07
1.4000e+00   4.3215e-08   3.2396e+07
1.4500e+00   4.9074e-08   2.9547e+07
1.5000e+00   5.7488e-08   2.6092e+07
1.5500e+00   6.4471e-08   2.4042e+07
1.6000e+00   7.0743e-08   2.2617e+07
1.6500e+00   8.0791e-08   2.0423e+07
1.7000e+00   9.2527e-08   1.8373e+07
1.7500e+00   1.0430e-07   1.6779e+07
1.8000e+00   1.0894e-07   1.6523e+07
1.8500e+00   1.1398e-07   1.6231e+07
1.9000e+00   1.3574e-07   1.3997e+07
1.9500e+00   1.4182e-07   1.3750e+07
2.0000e+00   1.5102e-07   1.3243e+07
2.0500e+00   1.6320e-07   1.2561e+07
2.1000e+00   1.7684e-07   1.1875e+07
