  Measurement Number     Measurement type
                  91                DC IV

      Measurement ID             SeriesID
       739598.652145                   83

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                0.001               0.0001

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   -1.0651e-10   -0.0000e+00
-5.0000e-02   -1.6204e-09   3.0857e+07
-1.0000e-01   -3.4865e-09   2.8682e+07
-1.5000e-01   -5.7367e-09   2.6147e+07
-2.0000e-01   -8.7715e-09   2.2801e+07
-2.5000e-01   -1.2632e-08   1.9791e+07
-3.0000e-01   -1.7451e-08   1.7191e+07
-3.5000e-01   -2.2903e-08   1.5282e+07
-4.0000e-01   -2.9307e-08   1.3649e+07
-4.5000e-01   -3.6733e-08   1.2250e+07
-5.0000e-01   -4.6586e-08   1.0733e+07
-5.5000e-01   -5.6358e-08   9.7590e+06
-6.0000e-01   -6.8105e-08   8.8100e+06
-6.5000e-01   -8.3451e-08   7.7890e+06
-7.0000e-01   -9.9356e-08   7.0454e+06
-7.5000e-01   -1.1734e-07   6.3917e+06
-8.0000e-01   -1.3572e-07   5.8945e+06
-8.5000e-01   -1.5436e-07   5.5066e+06
-9.0000e-01   -1.7972e-07   5.0078e+06
-9.5000e-01   -2.0498e-07   4.6346e+06
-1.0000e+00   -2.2518e-07   4.4409e+06
-1.0500e+00   -2.5666e-07   4.0910e+06
-1.1000e+00   -2.8886e-07   3.8081e+06
-1.1500e+00   -3.2610e-07   3.5265e+06
-1.2000e+00   -3.6322e-07   3.3038e+06
-1.2500e+00   -3.9804e-07   3.1404e+06
-1.3000e+00   -4.4152e-07   2.9444e+06
-1.3500e+00   -4.9274e-07   2.7398e+06
-1.4000e+00   -5.4356e-07   2.5756e+06
-1.4500e+00   -5.9614e-07   2.4323e+06
-1.5000e+00   -7.1956e-07   2.0846e+06
-1.5500e+00   -7.9228e-07   1.9564e+06
-1.6000e+00   -8.6532e-07   1.8490e+06
-1.6500e+00   -4.6656e-05   3.5365e+04
-1.7000e+00   -4.7692e-05   3.5645e+04
-1.7500e+00   -5.0208e-05   3.4855e+04
-1.8000e+00   -5.2784e-05   3.4101e+04
-1.8500e+00   -5.4590e-05   3.3889e+04
-1.9000e+00   -5.6166e-05   3.3828e+04
-1.9500e+00   -5.7128e-05   3.4134e+04
-2.0000e+00   -5.8846e-05   3.3987e+04
-2.0500e+00   -6.2512e-05   3.2794e+04
-2.1000e+00   -6.3266e-05   3.3193e+04
-2.1500e+00   -6.2812e-05   3.4229e+04
-2.2000e+00   -6.3054e-05   3.4891e+04
-2.2500e+00   -6.8230e-05   3.2977e+04
-2.3000e+00   -5.5478e-05   4.1458e+04
-2.3500e+00   -6.0182e-05   3.9048e+04
-2.4000e+00   -6.4528e-05   3.7193e+04
-2.4500e+00   -6.5006e-05   3.7689e+04
-2.5000e+00   -6.7300e-05   3.7147e+04
-2.5500e+00   -7.5688e-05   3.3691e+04
-2.6000e+00   -7.6392e-05   3.4035e+04
-2.6500e+00   -8.3150e-05   3.1870e+04
-2.7000e+00   -8.6280e-05   3.1293e+04
-2.7500e+00   -8.8460e-05   3.1087e+04
-2.8000e+00   -9.2304e-05   3.0335e+04
-2.8500e+00   -9.3756e-05   3.0398e+04
-2.9000e+00   -1.0000e-04   2.8999e+04
-2.9500e+00   -1.0000e-04   2.9499e+04
-3.0000e+00   -1.0001e-04   2.9998e+04
-3.0000e+00   -1.0001e-04   2.9998e+04
-2.9500e+00   -1.0001e-04   2.9498e+04
-2.9000e+00   -1.0000e-04   2.8999e+04
-2.8500e+00   -9.8120e-05   2.9046e+04
-2.8000e+00   -9.7590e-05   2.8691e+04
-2.7500e+00   -9.4122e-05   2.9217e+04
-2.7000e+00   -9.4276e-05   2.8639e+04
-2.6500e+00   -9.1836e-05   2.8856e+04
-2.6000e+00   -8.8622e-05   2.9338e+04
-2.5500e+00   -8.7494e-05   2.9145e+04
-2.5000e+00   -8.3496e-05   2.9942e+04
-2.4500e+00   -8.1304e-05   3.0134e+04
-2.4000e+00   -7.8146e-05   3.0712e+04
-2.3500e+00   -7.7292e-05   3.0404e+04
-2.3000e+00   -7.3760e-05   3.1182e+04
-2.2500e+00   -7.1390e-05   3.1517e+04
-2.2000e+00   -7.1138e-05   3.0926e+04
-2.1500e+00   -6.7330e-05   3.1932e+04
-2.1000e+00   -6.3616e-05   3.3011e+04
-2.0500e+00   -6.1128e-05   3.3536e+04
-2.0000e+00   -6.0628e-05   3.2988e+04
-1.9500e+00   -5.8586e-05   3.3284e+04
-1.9000e+00   -5.6632e-05   3.3550e+04
-1.8500e+00   -5.5444e-05   3.3367e+04
-1.8000e+00   -5.4174e-05   3.3226e+04
-1.7500e+00   -5.2352e-05   3.3428e+04
