  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739598.691864                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                 -1.5

                Step  Positive compliance  Negative compliance
                0.05                0.001                0.001

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   2.3693e-08   0.0000e+00
5.0000e-02   5.9912e-06   8.3456e+03
1.0000e-01   1.1984e-05   8.3445e+03
1.5000e-01   1.8078e-05   8.2974e+03
2.0000e-01   2.4116e-05   8.2932e+03
2.5000e-01   3.0236e-05   8.2683e+03
3.0000e-01   3.6470e-05   8.2259e+03
3.5000e-01   4.2536e-05   8.2283e+03
4.0000e-01   4.8650e-05   8.2220e+03
4.5000e-01   5.5484e-05   8.1104e+03
5.0000e-01   6.1532e-05   8.1259e+03
5.5000e-01   6.8168e-05   8.0683e+03
6.0000e-01   7.4854e-05   8.0156e+03
6.5000e-01   8.1772e-05   7.9489e+03
7.0000e-01   8.7670e-05   7.9845e+03
7.5000e-01   9.4318e-05   7.9518e+03
8.0000e-01   1.0180e-04   7.8587e+03
8.5000e-01   1.0950e-04   7.7627e+03
9.0000e-01   1.1616e-04   7.7479e+03
9.5000e-01   1.2486e-04   7.6085e+03
1.0000e+00   1.3306e-04   7.5154e+03
1.0500e+00   1.4058e-04   7.4691e+03
1.1000e+00   1.4886e-04   7.3895e+03
1.1500e+00   1.5634e-04   7.3558e+03
1.2000e+00   1.6412e-04   7.3117e+03
1.2500e+00   1.7368e-04   7.1971e+03
1.3000e+00   1.8212e-04   7.1382e+03
1.3500e+00   1.9114e-04   7.0629e+03
1.4000e+00   1.9800e-04   7.0707e+03
1.4500e+00   2.0658e-04   7.0191e+03
1.5000e+00   2.1308e-04   7.0396e+03
1.5000e+00   2.1560e-04   6.9573e+03
1.4500e+00   2.0920e-04   6.9312e+03
1.4000e+00   2.1070e-04   6.6445e+03
1.3500e+00   1.8930e-04   7.1315e+03
1.3000e+00   1.8122e-04   7.1736e+03
1.2500e+00   1.8078e-04   6.9145e+03
1.2000e+00   1.7258e-04   6.9533e+03
1.1500e+00   1.6436e-04   6.9968e+03
1.1000e+00   1.5546e-04   7.0758e+03
1.0500e+00   1.4786e-04   7.1013e+03
1.0000e+00   1.4010e-04   7.1378e+03
9.5000e-01   1.3146e-04   7.2265e+03
9.0000e-01   1.2366e-04   7.2780e+03
8.5000e-01   1.1622e-04   7.3137e+03
8.0000e-01   1.0874e-04   7.3570e+03
7.5000e-01   1.0134e-04   7.4008e+03
7.0000e-01   9.4228e-05   7.4288e+03
6.5000e-01   8.6580e-05   7.5075e+03
6.0000e-01   7.9356e-05   7.5609e+03
5.5000e-01   7.2402e-05   7.5965e+03
5.0000e-01   6.5666e-05   7.6143e+03
4.5000e-01   5.8708e-05   7.6651e+03
4.0000e-01   5.2052e-05   7.6846e+03
3.5000e-01   4.5364e-05   7.7154e+03
3.0000e-01   3.8776e-05   7.7367e+03
2.5000e-01   3.2200e-05   7.7640e+03
2.0000e-01   2.5732e-05   7.7724e+03
1.5000e-01   1.9270e-05   7.7841e+03
1.0000e-01   1.2782e-05   7.8235e+03
5.0000e-02   6.3743e-06   7.8440e+03
0.0000e+00   2.3192e-08   0.0000e+00
0.0000e+00   2.0920e-08   0.0000e+00
-5.0000e-02   -5.9703e-06   8.3748e+03
