  Measurement Number     Measurement type
                 130                DC IV

      Measurement ID             SeriesID
       739598.709749                   45

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                0.005                0.001

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   3.6049e-08   0.0000e+00
-5.0000e-02   -8.1788e-06   6.1134e+03
-1.0000e-01   -1.6406e-05   6.0953e+03
-1.5000e-01   -2.4626e-05   6.0911e+03
-2.0000e-01   -3.2846e-05   6.0890e+03
-2.5000e-01   -4.1090e-05   6.0842e+03
-3.0000e-01   -4.9330e-05   6.0815e+03
-3.5000e-01   -5.7576e-05   6.0789e+03
-4.0000e-01   -6.5832e-05   6.0761e+03
-4.5000e-01   -7.4098e-05   6.0730e+03
-5.0000e-01   -8.2370e-05   6.0702e+03
-5.5000e-01   -9.0680e-05   6.0653e+03
-6.0000e-01   -9.8982e-05   6.0617e+03
-6.5000e-01   -1.0733e-04   6.0560e+03
-7.0000e-01   -1.1554e-04   6.0585e+03
-7.5000e-01   -1.2382e-04   6.0572e+03
-8.0000e-01   -1.3218e-04   6.0524e+03
-8.5000e-01   -1.4058e-04   6.0464e+03
-9.0000e-01   -1.4896e-04   6.0419e+03
-9.5000e-01   -1.5744e-04   6.0340e+03
-1.0000e+00   -1.6590e-04   6.0277e+03
-1.0500e+00   -1.7438e-04   6.0213e+03
-1.1000e+00   -1.8286e-04   6.0155e+03
-1.1500e+00   -1.9144e-04   6.0071e+03
-1.2000e+00   -1.9992e-04   6.0024e+03
-1.2500e+00   -2.0846e-04   5.9964e+03
-1.3000e+00   -2.1706e-04   5.9891e+03
-1.3500e+00   -2.2564e-04   5.9830e+03
-1.4000e+00   -2.3432e-04   5.9747e+03
-1.4500e+00   -2.4294e-04   5.9686e+03
-1.5000e+00   -2.5166e-04   5.9604e+03
-1.5500e+00   -2.6032e-04   5.9542e+03
-1.6000e+00   -2.6912e-04   5.9453e+03
-1.6500e+00   -2.7790e-04   5.9374e+03
-1.7000e+00   -2.8670e-04   5.9295e+03
-1.7500e+00   -2.9554e-04   5.9214e+03
-1.8000e+00   -3.0438e-04   5.9137e+03
-1.8500e+00   -3.1332e-04   5.9045e+03
-1.9000e+00   -3.2236e-04   5.8940e+03
-1.9500e+00   -3.3148e-04   5.8827e+03
-2.0000e+00   -3.4050e-04   5.8737e+03
-2.0500e+00   -3.4940e-04   5.8672e+03
-2.1000e+00   -3.5826e-04   5.8617e+03
-2.1500e+00   -3.6712e-04   5.8564e+03
-2.2000e+00   -3.7610e-04   5.8495e+03
-2.2500e+00   -3.8500e-04   5.8442e+03
-2.3000e+00   -3.9370e-04   5.8420e+03
-2.3500e+00   -4.0260e-04   5.8371e+03
-2.4000e+00   -4.1116e-04   5.8371e+03
-2.4500e+00   -4.1974e-04   5.8369e+03
-2.5000e+00   -4.2820e-04   5.8384e+03
-2.5500e+00   -4.3702e-04   5.8350e+03
-2.6000e+00   -4.4556e-04   5.8354e+03
-2.6500e+00   -4.5402e-04   5.8367e+03
-2.7000e+00   -4.6212e-04   5.8426e+03
-2.7500e+00   -4.7046e-04   5.8453e+03
-2.8000e+00   -4.7876e-04   5.8484e+03
-2.8500e+00   -4.8680e-04   5.8546e+03
-2.9000e+00   -4.9482e-04   5.8607e+03
-2.9500e+00   -5.0082e-04   5.8903e+03
-3.0000e+00   -4.8944e-04   6.1295e+03
-3.0000e+00   -4.7116e-04   6.3673e+03
-2.9500e+00   -4.6008e-04   6.4119e+03
-2.9000e+00   -4.5204e-04   6.4154e+03
-2.8500e+00   -4.4386e-04   6.4209e+03
-2.8000e+00   -4.3578e-04   6.4253e+03
-2.7500e+00   -4.2860e-04   6.4162e+03
-2.7000e+00   -4.2080e-04   6.4163e+03
-2.6500e+00   -4.1278e-04   6.4199e+03
-2.6000e+00   -4.0490e-04   6.4213e+03
-2.5500e+00   -3.9724e-04   6.4193e+03
-2.5000e+00   -3.8964e-04   6.4162e+03
-2.4500e+00   -3.8208e-04   6.4123e+03
-2.4000e+00   -3.7432e-04   6.4116e+03
-2.3500e+00   -3.6654e-04   6.4113e+03
-2.3000e+00   -3.5856e-04   6.4145e+03
-2.2500e+00   -3.5050e-04   6.4194e+03
-2.2000e+00   -3.4274e-04   6.4189e+03
-2.1500e+00   -3.3470e-04   6.4237e+03
-2.1000e+00   -3.2668e-04   6.4283e+03
-2.0500e+00   -3.1848e-04   6.4368e+03
-2.0000e+00   -3.1028e-04   6.4458e+03
-1.9500e+00   -3.0204e-04   6.4561e+03
-1.9000e+00   -2.9378e-04   6.4674e+03
-1.8500e+00   -2.8556e-04   6.4785e+03
-1.8000e+00   -2.7736e-04   6.4898e+03
-1.7500e+00   -2.6912e-04   6.5027e+03
-1.7000e+00   -2.6106e-04   6.5119e+03
