  Measurement Number     Measurement type
                  68                DC IV

      Measurement ID             SeriesID
       739598.704941                   49

         MeasureMode                Bias1                Bias2
                   2                 -2.5                    3

                Step  Positive compliance  Negative compliance
                0.05                0.005                0.001

  RealMeasuredPoints
                 224

        Bias        Current     Resistance
0.0000e+00   3.4719e-10   0.0000e+00
-5.0000e-02   -9.7428e-08   5.1320e+05
-1.0000e-01   -2.1984e-07   4.5488e+05
-1.5000e-01   -3.7666e-07   3.9824e+05
-2.0000e-01   -5.7810e-07   3.4596e+05
-2.5000e-01   -8.3828e-07   2.9823e+05
-3.0000e-01   -1.1309e-06   2.6527e+05
-3.5000e-01   -1.4929e-06   2.3444e+05
-4.0000e-01   -1.8961e-06   2.1096e+05
-4.5000e-01   -2.3431e-06   1.9205e+05
-5.0000e-01   -2.8605e-06   1.7479e+05
-5.5000e-01   -3.4257e-06   1.6055e+05
-6.0000e-01   -4.0739e-06   1.4728e+05
-6.5000e-01   -4.7792e-06   1.3601e+05
-7.0000e-01   -5.5504e-06   1.2612e+05
-7.5000e-01   -6.5060e-06   1.1528e+05
-8.0000e-01   -7.3857e-06   1.0832e+05
-8.5000e-01   -8.2462e-06   1.0308e+05
-9.0000e-01   -9.3036e-06   9.6737e+04
-9.5000e-01   -1.0406e-05   9.1292e+04
-1.0000e+00   -1.1630e-05   8.5985e+04
-1.0500e+00   -1.2674e-05   8.2847e+04
-1.1000e+00   -1.4112e-05   7.7948e+04
-1.1500e+00   -1.5202e-05   7.5648e+04
-1.2000e+00   -1.6730e-05   7.1727e+04
-1.2500e+00   -1.8364e-05   6.8068e+04
-1.3000e+00   -2.0082e-05   6.4735e+04
-1.3500e+00   -2.1974e-05   6.1436e+04
-1.4000e+00   -2.3466e-05   5.9661e+04
-1.4500e+00   -2.5190e-05   5.7563e+04
-1.5000e+00   -2.6852e-05   5.5862e+04
-1.5500e+00   -2.9130e-05   5.3210e+04
-1.6000e+00   -3.0876e-05   5.1820e+04
-1.6500e+00   -3.2756e-05   5.0372e+04
-1.7000e+00   -1.6534e-04   1.0282e+04
-1.7500e+00   -1.7128e-04   1.0217e+04
-1.8000e+00   -1.7850e-04   1.0084e+04
-1.8500e+00   -1.8424e-04   1.0041e+04
-1.9000e+00   -1.9038e-04   9.9800e+03
-1.9500e+00   -1.9708e-04   9.8945e+03
-2.0000e+00   -2.0542e-04   9.7362e+03
-2.0500e+00   -2.1328e-04   9.6118e+03
-2.1000e+00   -2.1888e-04   9.5943e+03
-2.1500e+00   -2.2554e-04   9.5327e+03
-2.2000e+00   -2.3132e-04   9.5106e+03
-2.2500e+00   -2.4062e-04   9.3508e+03
-2.3000e+00   -2.4734e-04   9.2989e+03
-2.3500e+00   -2.5494e-04   9.2179e+03
-2.4000e+00   -2.6080e-04   9.2025e+03
-2.4500e+00   -2.6658e-04   9.1905e+03
-2.5000e+00   -2.7474e-04   9.0995e+03
-2.5000e+00   -2.7474e-04   9.0995e+03
-2.4500e+00   -2.7070e-04   9.0506e+03
-2.4000e+00   -2.6500e-04   9.0566e+03
-2.3500e+00   -2.5954e-04   9.0545e+03
-2.3000e+00   -2.5326e-04   9.0816e+03
-2.2500e+00   -2.4754e-04   9.0894e+03
-2.2000e+00   -2.4146e-04   9.1112e+03
-2.1500e+00   -2.3560e-04   9.1256e+03
-2.1000e+00   -2.2992e-04   9.1336e+03
-2.0500e+00   -2.2366e-04   9.1657e+03
-2.0000e+00   -2.1746e-04   9.1971e+03
-1.9500e+00   -2.1166e-04   9.2129e+03
-1.9000e+00   -2.0580e-04   9.2323e+03
-1.8500e+00   -2.0010e-04   9.2454e+03
-1.8000e+00   -1.9446e-04   9.2564e+03
-1.7500e+00   -1.8856e-04   9.2809e+03
-1.7000e+00   -1.8288e-04   9.2957e+03
-1.6500e+00   -1.7716e-04   9.3136e+03
-1.6000e+00   -1.7138e-04   9.3360e+03
-1.5500e+00   -1.6568e-04   9.3554e+03
-1.5000e+00   -1.6000e-04   9.3750e+03
-1.4500e+00   -1.5434e-04   9.3948e+03
-1.4000e+00   -1.4902e-04   9.3947e+03
-1.3500e+00   -1.4350e-04   9.4077e+03
-1.3000e+00   -1.3778e-04   9.4353e+03
-1.2500e+00   -1.3236e-04   9.4439e+03
-1.2000e+00   -1.2680e-04   9.4637e+03
-1.1500e+00   -1.2136e-04   9.4759e+03
-1.1000e+00   -1.1596e-04   9.4860e+03
-1.0500e+00   -1.1054e-04   9.4988e+03
-1.0000e+00   -1.0510e-04   9.5147e+03
-9.5000e-01   -9.9944e-05   9.5053e+03
-9.0000e-01   -9.4480e-05   9.5258e+03
-8.5000e-01   -8.9124e-05   9.5373e+03
-8.0000e-01   -8.3780e-05   9.5488e+03
-7.5000e-01   -7.8440e-05   9.5614e+03
-7.0000e-01   -7.3108e-05   9.5749e+03
-6.5000e-01   -6.7788e-05   9.5887e+03
-6.0000e-01   -6.2536e-05   9.5945e+03
-5.5000e-01   -5.7256e-05   9.6060e+03
-5.0000e-01   -5.1998e-05   9.6158e+03
-4.5000e-01   -4.6728e-05   9.6302e+03
-4.0000e-01   -4.1480e-05   9.6432e+03
-3.5000e-01   -3.6264e-05   9.6514e+03
-3.0000e-01   -3.1086e-05   9.6506e+03
-2.5000e-01   -2.5902e-05   9.6518e+03
-2.0000e-01   -2.0698e-05   9.6628e+03
-1.5000e-01   -1.5500e-05   9.6774e+03
-1.0000e-01   -1.0328e-05   9.6824e+03
-5.0000e-02   -5.1523e-06   9.7044e+03
0.0000e+00   2.5504e-08   0.0000e+00
0.0000e+00   2.4444e-08   0.0000e+00
5.0000e-02   5.1727e-06   9.6661e+03
1.0000e-01   1.0305e-05   9.7038e+03
1.5000e-01   1.5424e-05   9.7251e+03
2.0000e-01   2.0548e-05   9.7333e+03
2.5000e-01   2.5704e-05   9.7261e+03
3.0000e-01   3.0828e-05   9.7314e+03
3.5000e-01   3.5982e-05   9.7271e+03
4.0000e-01   4.1154e-05   9.7196e+03
4.5000e-01   4.6338e-05   9.7113e+03
5.0000e-01   5.1524e-05   9.7042e+03
5.5000e-01   5.6740e-05   9.6933e+03
6.0000e-01   6.1914e-05   9.6909e+03
6.5000e-01   6.7160e-05   9.6784e+03
7.0000e-01   7.2320e-05   9.6792e+03
7.5000e-01   7.7540e-05   9.6724e+03
8.0000e-01   8.2834e-05   9.6579e+03
8.5000e-01   8.8126e-05   9.6453e+03
9.0000e-01   9.3494e-05   9.6263e+03
9.5000e-01   9.8718e-05   9.6234e+03
1.0000e+00   1.0405e-04   9.6109e+03
1.0500e+00   1.0934e-04   9.6034e+03
1.1000e+00   1.1478e-04   9.5839e+03
1.1500e+00   1.2030e-04   9.5594e+03
1.2000e+00   1.2554e-04   9.5587e+03
1.2500e+00   1.3096e-04   9.5449e+03
1.3000e+00   1.3648e-04   9.5252e+03
1.3500e+00   1.4210e-04   9.5004e+03
1.4000e+00   1.4746e-04   9.4941e+03
1.4500e+00   1.5284e-04   9.4870e+03
1.5000e+00   1.5846e-04   9.4661e+03
1.5500e+00   1.6392e-04   9.4558e+03
1.6000e+00   1.6946e-04   9.4418e+03
1.6500e+00   1.7482e-04   9.4383e+03
1.7000e+00   1.8036e-04   9.4256e+03
1.7500e+00   1.8578e-04   9.4197e+03
1.8000e+00   1.9190e-04   9.3799e+03
1.8500e+00   1.9728e-04   9.3775e+03
1.9000e+00   2.0252e-04   9.3818e+03
1.9500e+00   2.0816e-04   9.3678e+03
2.0000e+00   2.1428e-04   9.3336e+03
2.0500e+00   2.1966e-04   9.3326e+03
2.1000e+00   2.2516e-04   9.3267e+03
2.1500e+00   2.3090e-04   9.3114e+03
2.2000e+00   2.3672e-04   9.2937e+03
2.2500e+00   2.4140e-04   9.3206e+03
2.3000e+00   2.4614e-04   9.3443e+03
2.3500e+00   2.5032e-04   9.3880e+03
2.4000e+00   2.5350e-04   9.4675e+03
2.4500e+00   2.5770e-04   9.5072e+03
2.5000e+00   7.6500e-05   3.2680e+04
2.5500e+00   8.0738e-05   3.1584e+04
2.6000e+00   8.4218e-05   3.0872e+04
2.6500e+00   8.8054e-05   3.0095e+04
2.7000e+00   9.2594e-05   2.9160e+04
2.7500e+00   9.5468e-05   2.8805e+04
2.8000e+00   1.0026e-04   2.7926e+04
2.8500e+00   1.0354e-04   2.7525e+04
2.9000e+00   1.0709e-04   2.7079e+04
2.9500e+00   1.1267e-04   2.6183e+04
3.0000e+00   1.1838e-04   2.5342e+04
3.0000e+00   1.1722e-04   2.5593e+04
2.9500e+00   1.1292e-04   2.6125e+04
2.9000e+00   1.0958e-04   2.6465e+04
2.8500e+00   1.0476e-04   2.7205e+04
2.8000e+00   1.0036e-04   2.7900e+04
2.7500e+00   9.6566e-05   2.8478e+04
2.7000e+00   9.1832e-05   2.9402e+04
2.6500e+00   8.8474e-05   2.9952e+04
2.6000e+00   8.4528e-05   3.0759e+04
2.5500e+00   8.1426e-05   3.1317e+04
2.5000e+00   7.7586e-05   3.2222e+04
2.4500e+00   7.4348e-05   3.2953e+04
2.4000e+00   7.0924e-05   3.3839e+04
2.3500e+00   6.7418e-05   3.4857e+04
2.3000e+00   6.4786e-05   3.5501e+04
2.2500e+00   6.1616e-05   3.6516e+04
2.2000e+00   5.8612e-05   3.7535e+04
2.1500e+00   5.5758e-05   3.8559e+04
2.1000e+00   5.2644e-05   3.9891e+04
2.0500e+00   5.0018e-05   4.0985e+04
2.0000e+00   4.7616e-05   4.2003e+04
1.9500e+00   4.4988e-05   4.3345e+04
1.9000e+00   4.2542e-05   4.4662e+04
1.8500e+00   4.0208e-05   4.6011e+04
1.8000e+00   3.8076e-05   4.7274e+04
1.7500e+00   3.5844e-05   4.8823e+04
1.7000e+00   3.3544e-05   5.0680e+04
1.6500e+00   3.1574e-05   5.2258e+04
1.6000e+00   2.9522e-05   5.4197e+04
1.5500e+00   2.7428e-05   5.6512e+04
1.5000e+00   2.5796e-05   5.8149e+04
1.4500e+00   2.3940e-05   6.0568e+04
1.4000e+00   2.2298e-05   6.2786e+04
1.3500e+00   2.0620e-05   6.5470e+04
1.3000e+00   1.9108e-05   6.8034e+04
1.2500e+00   1.7660e-05   7.0781e+04
1.2000e+00   1.6140e-05   7.4349e+04
1.1500e+00   1.4748e-05   7.7977e+04
1.1000e+00   1.3618e-05   8.0775e+04
1.0500e+00   1.2410e-05   8.4609e+04
1.0000e+00   1.1208e-05   8.9222e+04
9.5000e-01   1.0104e-05   9.4022e+04
9.0000e-01   9.0193e-06   9.9786e+04
8.5000e-01   8.0913e-06   1.0505e+05
8.0000e-01   7.2240e-06   1.1074e+05
7.5000e-01   6.3275e-06   1.1853e+05
7.0000e-01   5.5095e-06   1.2705e+05
6.5000e-01   4.7803e-06   1.3597e+05
6.0000e-01   4.1635e-06   1.4411e+05
5.5000e-01   3.4458e-06   1.5961e+05
5.0000e-01   2.9169e-06   1.7141e+05
4.5000e-01   2.3795e-06   1.8912e+05
4.0000e-01   1.9151e-06   2.0887e+05
3.5000e-01   1.4814e-06   2.3626e+05
3.0000e-01   1.1250e-06   2.6667e+05
2.5000e-01   8.3532e-07   2.9929e+05
2.0000e-01   5.7524e-07   3.4768e+05
1.5000e-01   3.8576e-07   3.8884e+05
1.0000e-01   2.2378e-07   4.4687e+05
5.0000e-02   1.0056e-07   4.9722e+05
0.0000e+00   -2.6998e-10   -0.0000e+00
