  Measurement Number     Measurement type
                 136                DC IV

      Measurement ID             SeriesID
       739603.560246                   64

         MeasureMode                Bias1                Bias2
                   2                   -1                  1.6

                Step  Positive compliance  Negative compliance
                0.02                  0.1                1e-06

  RealMeasuredPoints
                 264

        Bias        Current     Resistance
0.0000e+00   -8.6980e-11   -0.0000e+00
-2.0000e-02   -2.5267e-10   7.9155e+07
-4.0000e-02   -4.2765e-10   9.3534e+07
-6.0000e-02   -6.0706e-10   9.8837e+07
-8.0000e-02   -8.7100e-10   9.1848e+07
-1.0000e-01   -1.0054e-09   9.9463e+07
-1.2000e-01   -1.2299e-09   9.7569e+07
-1.4000e-01   -1.4901e-09   9.3953e+07
-1.6000e-01   -1.6617e-09   9.6287e+07
-1.8000e-01   -2.0146e-09   8.9348e+07
-2.0000e-01   -2.4017e-09   8.3274e+07
-2.2000e-01   -2.9958e-09   7.3436e+07
-2.4000e-01   -3.9361e-09   6.0974e+07
-2.6000e-01   -4.4626e-09   5.8262e+07
-2.8000e-01   -4.9739e-09   5.6294e+07
-3.0000e-01   -5.5079e-09   5.4467e+07
-3.2000e-01   -5.9497e-09   5.3784e+07
-3.4000e-01   -6.4067e-09   5.3069e+07
-3.6000e-01   -6.7043e-09   5.3697e+07
-3.8000e-01   -6.3849e-09   5.9515e+07
-4.0000e-01   -1.5094e-08   2.6500e+07
-4.2000e-01   -1.8214e-08   2.3059e+07
-4.4000e-01   -7.3527e-08   5.9842e+06
-4.6000e-01   -9.4057e-08   4.8907e+06
-4.8000e-01   -9.0341e-08   5.3132e+06
-5.0000e-01   -6.1258e-07   8.1622e+05
-5.2000e-01   -6.7772e-07   7.6728e+05
-5.4000e-01   -7.9820e-07   6.7652e+05
-5.6000e-01   -9.6676e-07   5.7925e+05
-5.8000e-01   -1.0000e-06   5.7999e+05
-6.0000e-01   -1.0000e-06   5.9999e+05
-6.2000e-01   -1.0000e-06   6.1999e+05
-6.4000e-01   -1.0000e-06   6.3999e+05
-6.6000e-01   -1.0000e-06   6.5999e+05
-6.8000e-01   -1.0001e-06   6.7993e+05
-7.0000e-01   -1.0000e-06   6.9997e+05
-7.2000e-01   -1.0000e-06   7.1999e+05
-7.4000e-01   -1.0000e-06   7.3997e+05
-7.6000e-01   -1.0000e-06   7.5998e+05
-7.8000e-01   -1.0000e-06   7.7998e+05
-8.0000e-01   -1.0000e-06   7.9998e+05
-8.2000e-01   -1.0000e-06   8.1998e+05
-8.4000e-01   -1.0000e-06   8.3998e+05
-8.6000e-01   -1.0000e-06   8.5997e+05
-8.8000e-01   -1.0000e-06   8.7996e+05
-9.0000e-01   -1.0000e-06   8.9998e+05
-9.2000e-01   -1.0000e-06   9.2000e+05
-9.4000e-01   -1.0000e-06   9.3998e+05
-9.6000e-01   -1.0000e-06   9.5996e+05
-9.8000e-01   -1.0000e-06   9.7998e+05
-1.0000e+00   -1.0000e-06   9.9998e+05
-1.0000e+00   -1.0000e-06   9.9998e+05
-9.8000e-01   -1.0000e-06   9.7998e+05
-9.6000e-01   -1.0000e-06   9.5998e+05
-9.4000e-01   -1.0000e-06   9.3998e+05
-9.2000e-01   -1.0000e-06   9.1998e+05
-9.0000e-01   -1.0000e-06   8.9996e+05
-8.8000e-01   -1.0000e-06   8.7998e+05
-8.6000e-01   -1.0000e-06   8.5998e+05
-8.4000e-01   -1.0000e-06   8.3998e+05
-8.2000e-01   -1.0000e-06   8.2000e+05
-8.0000e-01   -1.0000e-06   7.9998e+05
-7.8000e-01   -1.0000e-06   7.8000e+05
-7.6000e-01   -1.0000e-06   7.5998e+05
-7.4000e-01   -1.0000e-06   7.3999e+05
-7.2000e-01   -1.0000e-06   7.2000e+05
-7.0000e-01   -9.9998e-07   7.0001e+05
-6.8000e-01   -1.0000e-06   6.7999e+05
-6.6000e-01   -1.0000e-06   6.6000e+05
-6.4000e-01   -1.0000e-06   6.3997e+05
-6.2000e-01   -1.0000e-06   6.1999e+05
-6.0000e-01   -1.0000e-06   5.9999e+05
-5.8000e-01   -1.0000e-06   5.7998e+05
-5.6000e-01   -1.0000e-06   5.5999e+05
-5.4000e-01   -1.0000e-06   5.3999e+05
-5.2000e-01   -1.0000e-06   5.1999e+05
-5.0000e-01   -1.0000e-06   4.9998e+05
-4.8000e-01   -1.0000e-06   4.7998e+05
-4.6000e-01   -1.0000e-06   4.5999e+05
-4.4000e-01   -1.0000e-06   4.3998e+05
-4.2000e-01   -1.0000e-06   4.1998e+05
-4.0000e-01   -1.0000e-06   3.9998e+05
-3.8000e-01   -1.0001e-06   3.7997e+05
-3.6000e-01   -1.0000e-06   3.5999e+05
-3.4000e-01   -9.9930e-07   3.4024e+05
-3.2000e-01   -1.0000e-06   3.1999e+05
-3.0000e-01   -9.3838e-07   3.1970e+05
-2.8000e-01   -7.7770e-07   3.6004e+05
-2.6000e-01   -8.2122e-07   3.1660e+05
-2.4000e-01   -5.8832e-07   4.0794e+05
-2.2000e-01   -5.4762e-07   4.0174e+05
-2.0000e-01   -4.8508e-07   4.1230e+05
-1.8000e-01   -4.2236e-07   4.2618e+05
-1.6000e-01   -2.3038e-07   6.9450e+05
-1.4000e-01   -2.0676e-07   6.7711e+05
-1.2000e-01   -1.7440e-07   6.8807e+05
-1.0000e-01   -1.4478e-07   6.9070e+05
-8.0000e-02   -1.8866e-07   4.2404e+05
-6.0000e-02   -8.1034e-08   7.4043e+05
-4.0000e-02   -6.1533e-08   6.5006e+05
-2.0000e-02   -2.9749e-08   6.7229e+05
0.0000e+00   4.2236e-10   0.0000e+00
0.0000e+00   1.8370e-11   0.0000e+00
2.0000e-02   2.2547e-09   8.8704e+06
4.0000e-02   4.7387e-09   8.4411e+06
6.0000e-02   8.7759e-09   6.8369e+06
8.0000e-02   1.0240e-08   7.8122e+06
1.0000e-01   7.1004e-09   1.4084e+07
1.2000e-01   7.4258e-09   1.6160e+07
1.4000e-01   9.4470e-09   1.4820e+07
1.6000e-01   9.9980e-09   1.6003e+07
1.8000e-01   1.2851e-08   1.4006e+07
2.0000e-01   1.4904e-08   1.3419e+07
2.2000e-01   1.6496e-08   1.3337e+07
2.4000e-01   3.9227e-08   6.1182e+06
2.6000e-01   4.0844e-08   6.3657e+06
2.8000e-01   3.5200e-08   7.9546e+06
3.0000e-01   5.1679e-08   5.8051e+06
3.2000e-01   1.2223e-08   2.6181e+07
3.4000e-01   8.2400e-09   4.1262e+07
3.6000e-01   1.0324e-08   3.4870e+07
3.8000e-01   8.9190e-09   4.2606e+07
4.0000e-01   1.1180e-07   3.5778e+06
4.2000e-01   1.9054e-07   2.2043e+06
4.4000e-01   2.4024e-07   1.8315e+06
4.6000e-01   2.6046e-07   1.7661e+06
4.8000e-01   2.1476e-07   2.2351e+06
5.0000e-01   3.1008e-07   1.6125e+06
5.2000e-01   7.2840e-08   7.1389e+06
5.4000e-01   1.4198e-07   3.8034e+06
5.6000e-01   1.6494e-07   3.3952e+06
