  Measurement Number     Measurement type
                 160                DC IV

      Measurement ID             SeriesID
       739603.563826                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                  1.6

                Step  Positive compliance  Negative compliance
                0.05                  0.1                1e-06

  RealMeasuredPoints
                 108

        Bias        Current     Resistance
0.0000e+00   5.0000e-13   0.0000e+00
-5.0000e-02   -5.3367e-10   9.3691e+07
-1.0000e-01   -1.2098e-09   8.2658e+07
-1.5000e-01   -1.9868e-09   7.5498e+07
-2.0000e-01   -2.7630e-09   7.2385e+07
-2.5000e-01   -3.5367e-09   7.0687e+07
-3.0000e-01   -4.6270e-09   6.4837e+07
-3.5000e-01   -6.5337e-09   5.3568e+07
-4.0000e-01   -7.6048e-09   5.2598e+07
-4.5000e-01   -9.0819e-09   4.9549e+07
-5.0000e-01   -1.2403e-08   4.0312e+07
-5.5000e-01   -1.2087e-08   4.5503e+07
-6.0000e-01   -1.3902e-08   4.3160e+07
-6.5000e-01   -1.7851e-08   3.6413e+07
-7.0000e-01   -2.7696e-08   2.5274e+07
-7.5000e-01   -3.8198e-07   1.9635e+06
-8.0000e-01   -1.0000e-06   7.9998e+05
-8.5000e-01   -1.0000e-06   8.4998e+05
-9.0000e-01   -1.0000e-06   8.9998e+05
-9.5000e-01   -1.0000e-06   9.4996e+05
-1.0000e+00   -1.0000e-06   9.9998e+05
-1.0000e+00   -1.0000e-06   1.0000e+06
-9.5000e-01   -9.9994e-07   9.5006e+05
-9.0000e-01   -1.0000e-06   8.9998e+05
-8.5000e-01   -1.0000e-06   8.4998e+05
-8.0000e-01   -1.0000e-06   7.9997e+05
-7.5000e-01   -1.0000e-06   7.4997e+05
-7.0000e-01   -1.0000e-06   6.9997e+05
-6.5000e-01   -1.0000e-06   6.4999e+05
-6.0000e-01   -9.9998e-07   6.0001e+05
-5.5000e-01   -1.0001e-06   5.4995e+05
-5.0000e-01   -1.0000e-06   4.9998e+05
-4.5000e-01   -1.0000e-06   4.4999e+05
-4.0000e-01   -1.0000e-06   3.9999e+05
-3.5000e-01   -9.9986e-07   3.5005e+05
-3.0000e-01   -9.1182e-07   3.2901e+05
-2.5000e-01   -7.4168e-07   3.3707e+05
-2.0000e-01   -5.6668e-07   3.5293e+05
-1.5000e-01   -3.9454e-07   3.8019e+05
-1.0000e-01   -1.5456e-07   6.4700e+05
-5.0000e-02   -1.0442e-07   4.7883e+05
0.0000e+00   2.9818e-10   0.0000e+00
0.0000e+00   8.3850e-11   0.0000e+00
5.0000e-02   1.6356e-08   3.0570e+06
1.0000e-01   3.8389e-08   2.6049e+06
1.5000e-01   7.5485e-08   1.9871e+06
2.0000e-01   3.5386e-08   5.6519e+06
2.5000e-01   3.4938e-08   7.1556e+06
3.0000e-01   4.4099e-08   6.8029e+06
3.5000e-01   4.2499e-08   8.2355e+06
4.0000e-01   4.1515e-08   9.6350e+06
4.5000e-01   4.9597e-08   9.0732e+06
5.0000e-01   5.6792e-08   8.8041e+06
5.5000e-01   6.1576e-08   8.9321e+06
6.0000e-01   7.7392e-08   7.7527e+06
6.5000e-01   3.7462e-07   1.7351e+06
7.0000e-01   5.8474e-07   1.1971e+06
7.5000e-01   6.8698e-06   1.0917e+05
8.0000e-01   1.0888e-05   7.3475e+04
8.5000e-01   1.4238e-05   5.9699e+04
9.0000e-01   1.4458e-05   6.2249e+04
9.5000e-01   1.0203e-06   9.3110e+05
1.0000e+00   1.0527e-06   9.4994e+05
1.0500e+00   1.8408e-07   5.7040e+06
1.1000e+00   3.7788e-07   2.9110e+06
1.1500e+00   3.2056e-07   3.5875e+06
1.2000e+00   3.1976e-07   3.7528e+06
1.2500e+00   1.8162e-07   6.8825e+06
1.3000e+00   2.4920e-07   5.2167e+06
1.3500e+00   1.8387e-06   7.3421e+05
1.4000e+00   2.0449e-06   6.8463e+05
1.4500e+00   2.1974e-07   6.5987e+06
1.5000e+00   3.0978e-07   4.8421e+06
1.5500e+00   2.0206e-07   7.6710e+06
1.6000e+00   2.1842e-07   7.3253e+06
1.6000e+00   2.0336e-07   7.8678e+06
1.5500e+00   2.2594e-07   6.8602e+06
1.5000e+00   2.1042e-07   7.1286e+06
1.4500e+00   1.9708e-07   7.3574e+06
1.4000e+00   1.2002e-07   1.1665e+07
1.3500e+00   1.0092e-07   1.3377e+07
1.3000e+00   9.0864e-08   1.4307e+07
1.2500e+00   8.7638e-08   1.4263e+07
1.2000e+00   8.2407e-08   1.4562e+07
1.1500e+00   7.6944e-08   1.4946e+07
1.1000e+00   7.2521e-08   1.5168e+07
1.0500e+00   6.4391e-08   1.6307e+07
1.0000e+00   5.8018e-08   1.7236e+07
9.5000e-01   5.3906e-08   1.7623e+07
9.0000e-01   5.1992e-08   1.7310e+07
8.5000e-01   4.4748e-08   1.8995e+07
8.0000e-01   4.1859e-08   1.9112e+07
7.5000e-01   3.6800e-08   2.0380e+07
7.0000e-01   3.9501e-08   1.7721e+07
6.5000e-01   3.8343e-08   1.6952e+07
6.0000e-01   3.3992e-08   1.7651e+07
5.5000e-01   3.0049e-08   1.8304e+07
5.0000e-01   2.5861e-08   1.9334e+07
4.5000e-01   2.2379e-08   2.0108e+07
4.0000e-01   1.9375e-08   2.0645e+07
3.5000e-01   1.7421e-08   2.0090e+07
3.0000e-01   1.4818e-08   2.0246e+07
2.5000e-01   1.1390e-08   2.1948e+07
2.0000e-01   8.9127e-09   2.2440e+07
1.5000e-01   3.7638e-09   3.9853e+07
1.0000e-01   4.7380e-09   2.1106e+07
5.0000e-02   2.0051e-09   2.4936e+07
0.0000e+00   -3.6713e-10   -0.0000e+00
