  Measurement Number     Measurement type
                  22                DC IV

      Measurement ID             SeriesID
       739603.540400                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    4

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   7.0800e-12   0.0000e+00
-1.0000e-01   -3.7225e-09   2.6864e+07
-2.0000e-01   -8.9034e-09   2.2463e+07
-3.0000e-01   -1.6341e-08   1.8359e+07
-4.0000e-01   -2.4843e-08   1.6101e+07
-5.0000e-01   -3.5970e-08   1.3900e+07
-6.0000e-01   -5.0698e-08   1.1835e+07
-7.0000e-01   -1.4648e-06   4.7788e+05
-8.0000e-01   -1.5006e-06   5.3312e+05
-9.0000e-01   -1.7791e-06   5.0587e+05
-1.0000e+00   -4.4306e-06   2.2570e+05
-1.1000e+00   -5.4765e-06   2.0086e+05
-1.2000e+00   -7.1170e-06   1.6861e+05
-1.3000e+00   -7.7838e-06   1.6701e+05
-1.4000e+00   -8.5275e-06   1.6417e+05
-1.5000e+00   -9.7721e-06   1.5350e+05
-1.6000e+00   -1.0215e-05   1.5663e+05
-1.7000e+00   -1.1988e-05   1.4181e+05
-1.8000e+00   -1.2712e-05   1.4160e+05
-1.9000e+00   -1.3266e-05   1.4322e+05
-2.0000e+00   -1.4562e-05   1.3734e+05
-2.1000e+00   -1.4746e-05   1.4241e+05
-2.2000e+00   -1.6108e-05   1.3658e+05
-2.3000e+00   -1.6808e-05   1.3684e+05
-2.4000e+00   -1.7738e-05   1.3530e+05
-2.5000e+00   -1.8294e-05   1.3666e+05
-2.6000e+00   -2.0308e-05   1.2803e+05
-2.7000e+00   -2.0696e-05   1.3046e+05
-2.8000e+00   -2.1800e-05   1.2844e+05
-2.9000e+00   -2.3068e-05   1.2572e+05
-3.0000e+00   -2.3860e-05   1.2573e+05
-3.0000e+00   -2.3786e-05   1.2612e+05
-2.9000e+00   -2.2846e-05   1.2694e+05
-2.8000e+00   -2.2464e-05   1.2464e+05
-2.7000e+00   -2.1530e-05   1.2541e+05
-2.6000e+00   -2.0772e-05   1.2517e+05
-2.5000e+00   -1.9948e-05   1.2533e+05
-2.4000e+00   -1.9270e-05   1.2455e+05
-2.3000e+00   -1.8288e-05   1.2577e+05
-2.2000e+00   -1.7534e-05   1.2547e+05
-2.1000e+00   -1.6702e-05   1.2573e+05
-2.0000e+00   -1.5892e-05   1.2585e+05
-1.9000e+00   -1.5080e-05   1.2599e+05
-1.8000e+00   -1.4266e-05   1.2617e+05
-1.7000e+00   -1.3512e-05   1.2581e+05
-1.6000e+00   -1.2704e-05   1.2594e+05
-1.5000e+00   -1.1958e-05   1.2544e+05
-1.4000e+00   -1.1172e-05   1.2531e+05
-1.3000e+00   -1.0344e-05   1.2568e+05
-1.2000e+00   -9.5270e-06   1.2596e+05
-1.1000e+00   -8.7157e-06   1.2621e+05
-1.0000e+00   -7.9322e-06   1.2607e+05
-9.0000e-01   -7.1214e-06   1.2638e+05
-8.0000e-01   -6.3678e-06   1.2563e+05
-7.0000e-01   -5.5518e-06   1.2609e+05
-6.0000e-01   -4.7505e-06   1.2630e+05
-5.0000e-01   -3.9490e-06   1.2661e+05
-4.0000e-01   -3.1840e-06   1.2563e+05
-3.0000e-01   -2.4090e-06   1.2453e+05
-2.0000e-01   -1.5892e-06   1.2585e+05
-1.0000e-01   -8.0976e-07   1.2349e+05
0.0000e+00   2.3462e-09   0.0000e+00
0.0000e+00   2.4191e-09   0.0000e+00
1.0000e-01   1.1001e-06   9.0899e+04
2.0000e-01   3.0516e-06   6.5539e+04
3.0000e-01   6.6474e-06   4.5130e+04
4.0000e-01   9.8180e-06   4.0741e+04
5.0000e-01   2.6376e-05   1.8957e+04
6.0000e-01   2.9606e-05   2.0266e+04
7.0000e-01   6.7313e-08   1.0399e+07
8.0000e-01   8.2667e-08   9.6774e+06
9.0000e-01   1.9494e-07   4.6168e+06
1.0000e+00   2.0626e-07   4.8482e+06
1.1000e+00   3.3432e-07   3.2903e+06
1.2000e+00   7.1350e-07   1.6819e+06
1.3000e+00   5.1900e-07   2.5048e+06
1.4000e+00   6.4930e-07   2.1562e+06
1.5000e+00   4.9852e-07   3.0089e+06
1.6000e+00   5.9330e-07   2.6968e+06
1.7000e+00   5.0180e-07   3.3878e+06
1.8000e+00   6.7398e-07   2.6707e+06
1.9000e+00   5.4006e-07   3.5181e+06
2.0000e+00   6.4614e-07   3.0953e+06
2.1000e+00   7.2482e-07   2.8973e+06
2.2000e+00   8.4088e-07   2.6163e+06
2.3000e+00   9.4898e-07   2.4237e+06
2.4000e+00   1.0409e-06   2.3057e+06
2.5000e+00   1.6947e-06   1.4752e+06
2.6000e+00   9.8862e-07   2.6299e+06
2.7000e+00   1.0748e-06   2.5121e+06
2.8000e+00   1.7902e-06   1.5641e+06
2.9000e+00   1.8074e-06   1.6045e+06
3.0000e+00   2.1081e-06   1.4231e+06
3.1000e+00   2.7173e-06   1.1408e+06
3.2000e+00   2.8200e-06   1.1348e+06
3.3000e+00   3.4000e-06   9.7059e+05
3.4000e+00   3.5559e-06   9.5616e+05
3.5000e+00   4.1168e-06   8.5017e+05
3.6000e+00   4.8566e-06   7.4126e+05
3.7000e+00   5.2868e-06   6.9986e+05
3.8000e+00   5.1029e-06   7.4467e+05
3.9000e+00   4.9780e-06   7.8345e+05
4.0000e+00   5.7948e-06   6.9027e+05
4.0000e+00   6.4501e-06   6.2015e+05
3.9000e+00   5.7181e-06   6.8204e+05
3.8000e+00   5.0409e-06   7.5383e+05
3.7000e+00   5.1818e-06   7.1404e+05
3.6000e+00   3.6140e-06   9.9613e+05
3.5000e+00   3.5847e-06   9.7637e+05
3.4000e+00   2.6981e-06   1.2601e+06
3.3000e+00   2.3777e-06   1.3879e+06
3.2000e+00   2.1336e-06   1.4998e+06
3.1000e+00   1.9891e-06   1.5585e+06
3.0000e+00   1.8861e-06   1.5906e+06
2.9000e+00   1.5966e-06   1.8164e+06
