  Measurement Number     Measurement type
                  58            NewRelaib

      Measurement ID                 Mode
       739603.552349                   PG

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -1.5                 0.11                    6                 0.11

           Rise time            Fall Time           Separation
                0.01                 0.01                 0.01

              Cycles       Steps in cycle         Test voltage
                   1                    1                    1

      Step        LRS        HRS
         1 2508308.7728          0

       MeasuredPoint                    1
 IntelStep    LRSBias    HRSBias
         1         -7          0




