  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739603.532988                    0

         MeasureMode                Bias1                Bias2
                   2                   -4                  2.5

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 134

        Bias        Current     Resistance
0.0000e+00   9.0000e-13   0.0000e+00
-1.0000e-01   -7.1607e-10   1.3965e+08
-2.0000e-01   -1.8274e-09   1.0945e+08
-3.0000e-01   -3.4737e-09   8.6363e+07
-4.0000e-01   -5.9014e-09   6.7781e+07
-5.0000e-01   -9.1015e-09   5.4936e+07
-6.0000e-01   -1.3447e-08   4.4620e+07
-7.0000e-01   -1.9198e-08   3.6463e+07
-8.0000e-01   -2.6502e-08   3.0186e+07
-9.0000e-01   -3.5005e-08   2.5710e+07
-1.0000e+00   -4.5966e-08   2.1755e+07
-1.1000e+00   -5.9939e-08   1.8352e+07
-1.2000e+00   -7.5951e-08   1.5800e+07
-1.3000e+00   -9.4188e-08   1.3802e+07
-1.4000e+00   -1.1472e-07   1.2204e+07
-1.5000e+00   -1.4010e-07   1.0707e+07
-1.6000e+00   -1.6796e-07   9.5261e+06
-1.7000e+00   -1.9810e-07   8.5815e+06
-1.8000e+00   -2.3816e-07   7.5579e+06
-1.9000e+00   -2.7940e-07   6.8003e+06
-2.0000e+00   -3.3448e-07   5.9794e+06
-2.1000e+00   -3.8690e-07   5.4278e+06
-2.2000e+00   -4.4704e-07   4.9213e+06
-2.3000e+00   -5.1870e-07   4.4342e+06
-2.4000e+00   -5.9276e-07   4.0489e+06
-2.5000e+00   -7.0326e-07   3.5549e+06
-2.6000e+00   -7.9190e-07   3.2832e+06
-2.7000e+00   -8.8886e-07   3.0376e+06
-2.8000e+00   -1.0034e-06   2.7905e+06
-2.9000e+00   -1.1237e-06   2.5808e+06
-3.0000e+00   -1.3035e-06   2.3015e+06
-3.1000e+00   -1.4477e-06   2.1413e+06
-3.2000e+00   -1.6007e-06   1.9991e+06
-3.3000e+00   -1.7932e-06   1.8403e+06
-3.4000e+00   -2.0077e-06   1.6935e+06
-3.5000e+00   -2.2200e-06   1.5766e+06
-3.6000e+00   -2.4177e-06   1.4890e+06
-3.7000e+00   -2.7846e-06   1.3287e+06
-3.8000e+00   -3.1841e-06   1.1934e+06
-3.9000e+00   -3.4291e-06   1.1373e+06
-4.0000e+00   -3.7454e-06   1.0680e+06
-4.0000e+00   -3.7493e-06   1.0669e+06
-3.9000e+00   -3.5139e-06   1.1099e+06
-3.8000e+00   -3.2725e-06   1.1612e+06
-3.7000e+00   -3.0016e-06   1.2327e+06
-3.6000e+00   -2.9960e-06   1.2016e+06
-3.5000e+00   -2.7547e-06   1.2706e+06
-3.4000e+00   -2.5749e-06   1.3204e+06
-3.3000e+00   -2.3206e-06   1.4220e+06
-3.2000e+00   -2.1349e-06   1.4989e+06
-3.1000e+00   -1.9243e-06   1.6110e+06
-3.0000e+00   -1.7344e-06   1.7297e+06
-2.9000e+00   -1.5715e-06   1.8454e+06
-2.8000e+00   -1.4136e-06   1.9808e+06
-2.7000e+00   -1.2636e-06   2.1368e+06
-2.6000e+00   -1.1311e-06   2.2986e+06
-2.5000e+00   -9.9546e-07   2.5114e+06
-2.4000e+00   -8.8294e-07   2.7182e+06
-2.3000e+00   -7.8008e-07   2.9484e+06
-2.2000e+00   -6.8684e-07   3.2031e+06
-2.1000e+00   -5.9936e-07   3.5037e+06
-2.0000e+00   -5.1038e-07   3.9186e+06
-1.9000e+00   -4.4134e-07   4.3051e+06
-1.8000e+00   -3.7628e-07   4.7837e+06
-1.7000e+00   -3.1702e-07   5.3624e+06
-1.6000e+00   -2.6296e-07   6.0846e+06
-1.5000e+00   -2.1962e-07   6.8300e+06
-1.4000e+00   -1.7828e-07   7.8528e+06
-1.3000e+00   -1.4714e-07   8.8351e+06
-1.2000e+00   -1.1560e-07   1.0381e+07
-1.1000e+00   -9.0637e-08   1.2136e+07
-1.0000e+00   -6.7741e-08   1.4762e+07
-9.0000e-01   -5.1884e-08   1.7347e+07
-8.0000e-01   -3.8361e-08   2.0855e+07
-7.0000e-01   -2.7590e-08   2.5372e+07
-6.0000e-01   -1.8417e-08   3.2579e+07
-5.0000e-01   -1.2174e-08   4.1072e+07
-4.0000e-01   -6.9979e-09   5.7160e+07
-3.0000e-01   -3.6304e-09   8.2636e+07
-2.0000e-01   -1.0977e-09   1.8220e+08
-1.0000e-01   3.8514e-10   -2.5965e+08
0.0000e+00   1.2526e-09   0.0000e+00
0.0000e+00   2.4716e-10   0.0000e+00
1.0000e-01   1.1008e-09   9.0843e+07
2.0000e-01   2.1015e-09   9.5170e+07
3.0000e-01   4.2805e-09   7.0085e+07
4.0000e-01   6.5165e-09   6.1383e+07
5.0000e-01   1.0308e-08   4.8506e+07
6.0000e-01   1.5616e-08   3.8421e+07
7.0000e-01   2.2283e-08   3.1414e+07
8.0000e-01   3.0156e-08   2.6529e+07
9.0000e-01   4.1457e-08   2.1709e+07
1.0000e+00   5.5679e-08   1.7960e+07
1.1000e+00   7.2733e-08   1.5124e+07
1.2000e+00   9.1825e-08   1.3068e+07
1.3000e+00   1.1540e-07   1.1265e+07
1.4000e+00   1.4408e-07   9.7168e+06
1.5000e+00   1.7522e-07   8.5607e+06
1.6000e+00   2.1350e-07   7.4941e+06
1.7000e+00   2.5470e-07   6.6745e+06
1.8000e+00   2.9830e-07   6.0342e+06
1.9000e+00   3.5432e-07   5.3624e+06
2.0000e+00   3.8844e-07   5.1488e+06
2.1000e+00   4.4072e-07   4.7649e+06
2.2000e+00   5.1256e-07   4.2922e+06
2.3000e+00   2.1162e-06   1.0869e+06
2.4000e+00   2.1403e-06   1.1213e+06
2.5000e+00   2.2993e-06   1.0873e+06
2.5000e+00   2.0660e-06   1.2101e+06
2.4000e+00   1.9441e-06   1.2345e+06
2.3000e+00   1.8408e-06   1.2495e+06
2.2000e+00   1.6858e-06   1.3050e+06
2.1000e+00   1.5142e-06   1.3869e+06
2.0000e+00   1.3723e-06   1.4574e+06
1.9000e+00   1.2466e-06   1.5241e+06
1.8000e+00   1.0858e-06   1.6578e+06
1.7000e+00   9.7980e-07   1.7350e+06
1.6000e+00   8.5128e-07   1.8795e+06
1.5000e+00   7.5714e-07   1.9811e+06
1.4000e+00   6.2972e-07   2.2232e+06
1.3000e+00   5.9154e-07   2.1977e+06
1.2000e+00   5.1668e-07   2.3225e+06
1.1000e+00   4.1090e-07   2.6771e+06
1.0000e+00   3.3206e-07   3.0115e+06
9.0000e-01   2.8046e-07   3.2090e+06
8.0000e-01   2.3224e-07   3.4447e+06
7.0000e-01   1.9080e-07   3.6688e+06
6.0000e-01   1.5548e-07   3.8590e+06
5.0000e-01   1.1848e-07   4.2201e+06
4.0000e-01   8.6535e-08   4.6224e+06
3.0000e-01   7.1768e-08   4.1801e+06
2.0000e-01   4.0383e-08   4.9526e+06
1.0000e-01   2.1613e-08   4.6268e+06
0.0000e+00   -3.7458e-10   -0.0000e+00
