  Measurement Number     Measurement type
                  73                DC IV

      Measurement ID             SeriesID
       739603.554031                   91

         MeasureMode                Bias1                Bias2
                   2                 -2.5                    3

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                  60

        Bias        Current     Resistance
0.0000e+00   -2.4236e-10   -0.0000e+00
-1.9225e-01   -7.2988e-09   2.6340e+07
-3.8450e-01   -1.8077e-08   2.1270e+07
-5.7700e-01   -3.3406e-08   1.7272e+07
-7.6925e-01   -5.2486e-08   1.4656e+07
-9.6150e-01   -6.5808e-06   1.4611e+05
-1.1538e+00   -8.2099e-06   1.4053e+05
-1.3463e+00   -9.6523e-06   1.3947e+05
-1.5385e+00   -1.0826e-05   1.4211e+05
-1.7308e+00   -1.3540e-05   1.2782e+05
-1.9230e+00   -1.3426e-05   1.4323e+05
-2.1155e+00   -1.6084e-05   1.3153e+05
-2.3077e+00   -1.7852e-05   1.2927e+05
-2.5000e+00   -1.9386e-05   1.2896e+05
-2.5000e+00   -1.9224e-05   1.3005e+05
-2.3077e+00   -1.7538e-05   1.3159e+05
-2.1155e+00   -1.6134e-05   1.3112e+05
-1.9230e+00   -1.4458e-05   1.3301e+05
-1.7308e+00   -1.2896e-05   1.3421e+05
-1.5385e+00   -1.1572e-05   1.3295e+05
-1.3463e+00   -9.5685e-06   1.4070e+05
-1.1538e+00   -7.6938e-06   1.4996e+05
-9.6150e-01   -6.3834e-06   1.5063e+05
-7.6925e-01   -3.7208e-06   2.0674e+05
-5.7700e-01   -2.8193e-06   2.0466e+05
-3.8450e-01   -1.7536e-06   2.1926e+05
-1.9225e-01   -6.3734e-09   3.0164e+07
0.0000e+00   -4.1000e-11   -0.0000e+00
0.0000e+00   -7.1360e-11   -0.0000e+00
2.0000e-01   6.3873e-09   3.1312e+07
4.0000e-01   1.6700e-08   2.3953e+07
6.0000e-01   3.0900e-08   1.9417e+07
8.0000e-01   4.9832e-08   1.6054e+07
1.0000e+00   7.4543e-08   1.3415e+07
1.2000e+00   1.0304e-07   1.1646e+07
1.4000e+00   1.3962e-07   1.0027e+07
1.6000e+00   1.8050e-07   8.8643e+06
1.8000e+00   2.4228e-07   7.4294e+06
2.0000e+00   3.1884e-07   6.2727e+06
2.2000e+00   4.1282e-07   5.3292e+06
2.4000e+00   4.7616e-07   5.0403e+06
2.6000e+00   5.7412e-07   4.5287e+06
2.8000e+00   7.1918e-07   3.8933e+06
3.0000e+00   9.0096e-07   3.3298e+06
3.0000e+00   9.2690e-07   3.2366e+06
2.8000e+00   7.7792e-07   3.5993e+06
2.6000e+00   7.1692e-07   3.6266e+06
2.4000e+00   5.4736e-07   4.3847e+06
2.2000e+00   4.6430e-07   4.7383e+06
2.0000e+00   3.3746e-07   5.9266e+06
1.8000e+00   2.6972e-07   6.6736e+06
1.6000e+00   1.9816e-07   8.0743e+06
1.4000e+00   1.4288e-07   9.7984e+06
1.2000e+00   1.0368e-07   1.1574e+07
1.0000e+00   7.1291e-08   1.4027e+07
8.0000e-01   4.8476e-08   1.6503e+07
6.0000e-01   2.8896e-08   2.0764e+07
4.0000e-01   1.5116e-08   2.6462e+07
2.0000e-01   5.4157e-09   3.6930e+07
0.0000e+00   -6.6683e-10   -0.0000e+00
