  Measurement Number     Measurement type
                  21                DC IV

      Measurement ID             SeriesID
       739667.490639                   51

         MeasureMode                Bias1                Bias2
                   2                  2.5                 -2.5

                Step  Positive compliance  Negative compliance
                 0.1                0.001                0.001

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -2.7278e-08   -0.0000e+00
1.0000e-01   8.5250e-07   1.1730e+05
2.0000e-01   1.7156e-06   1.1658e+05
3.0000e-01   2.9265e-06   1.0251e+05
4.0000e-01   4.0186e-06   9.9537e+04
5.0000e-01   6.1228e-06   8.1662e+04
6.0000e-01   9.6564e-06   6.2135e+04
7.0000e-01   1.1202e-05   6.2489e+04
8.0000e-01   1.7050e-05   4.6921e+04
9.0000e-01   1.6596e-05   5.4230e+04
1.0000e+00   2.4218e-05   4.1292e+04
1.1000e+00   1.8064e-04   6.0895e+03
1.2000e+00   3.0246e-04   3.9675e+03
1.3000e+00   5.9772e-04   2.1749e+03
1.4000e+00   6.4452e-04   2.1722e+03
1.5000e+00   7.2054e-04   2.0818e+03
1.6000e+00   7.4856e-04   2.1374e+03
1.7000e+00   8.1784e-04   2.0786e+03
1.8000e+00   9.2406e-04   1.9479e+03
1.9000e+00   9.9998e-04   1.9000e+03
2.0000e+00   1.0000e-03   1.9999e+03
2.1000e+00   1.0001e-03   2.0998e+03
2.2000e+00   9.9996e-04   2.2001e+03
2.3000e+00   9.9990e-04   2.3002e+03
2.4000e+00   9.9988e-04   2.4003e+03
2.5000e+00   1.0001e-03   2.4999e+03
2.5000e+00   9.9996e-04   2.5001e+03
2.4000e+00   9.9982e-04   2.4004e+03
2.3000e+00   9.9998e-04   2.3000e+03
2.2000e+00   1.0000e-03   2.1999e+03
2.1000e+00   9.9992e-04   2.1002e+03
2.0000e+00   1.0000e-03   1.9999e+03
1.9000e+00   9.9992e-04   1.9002e+03
1.8000e+00   9.7774e-04   1.8410e+03
1.7000e+00   8.8612e-04   1.9185e+03
1.6000e+00   7.8958e-04   2.0264e+03
1.5000e+00   6.9370e-04   2.1623e+03
1.4000e+00   6.1104e-04   2.2912e+03
1.3000e+00   5.3234e-04   2.4420e+03
1.2000e+00   4.5808e-04   2.6196e+03
1.1000e+00   3.8890e-04   2.8285e+03
1.0000e+00   3.2770e-04   3.0516e+03
9.0000e-01   2.7154e-04   3.3144e+03
8.0000e-01   2.2074e-04   3.6242e+03
7.0000e-01   1.7576e-04   3.9827e+03
6.0000e-01   1.3636e-04   4.4001e+03
5.0000e-01   1.0212e-04   4.8962e+03
4.0000e-01   7.3076e-05   5.4738e+03
3.0000e-01   4.8368e-05   6.2024e+03
2.0000e-01   2.8228e-05   7.0852e+03
1.0000e-01   1.2288e-05   8.1380e+03
0.0000e+00   -3.9178e-07   -0.0000e+00
0.0000e+00   -3.9268e-07   -0.0000e+00
-1.0000e-01   -1.2846e-05   7.7845e+03
-2.0000e-01   -2.7946e-05   7.1567e+03
-3.0000e-01   -4.6322e-05   6.4764e+03
-4.0000e-01   -6.8064e-05   5.8768e+03
-5.0000e-01   -9.3842e-05   5.3281e+03
-6.0000e-01   -1.2218e-04   4.9108e+03
-7.0000e-01   -1.5714e-04   4.4546e+03
-8.0000e-01   -1.9412e-04   4.1212e+03
-9.0000e-01   -2.3776e-04   3.7853e+03
-1.0000e+00   -2.8586e-04   3.4982e+03
-1.1000e+00   -3.5728e-04   3.0788e+03
-1.2000e+00   -4.3438e-04   2.7626e+03
-1.3000e+00   -5.1056e-04   2.5462e+03
-1.4000e+00   -5.6448e-04   2.4802e+03
-1.5000e+00   -4.0420e-04   3.7110e+03
-1.6000e+00   -3.5244e-04   4.5398e+03
-1.7000e+00   -3.1316e-04   5.4285e+03
-1.8000e+00   -3.1514e-04   5.7117e+03
-1.9000e+00   -3.4262e-04   5.5455e+03
-2.0000e+00   -4.0882e-04   4.8921e+03
-2.1000e+00   -3.7348e-04   5.6228e+03
-2.2000e+00   -3.7794e-04   5.8210e+03
-2.3000e+00   -3.6458e-04   6.3086e+03
-2.4000e+00   -3.5128e-04   6.8322e+03
-2.5000e+00   -3.3618e-04   7.4365e+03
-2.5000e+00   -3.8580e-04   6.4800e+03
-2.4000e+00   -3.4226e-04   7.0122e+03
-2.3000e+00   -3.0860e-04   7.4530e+03
-2.2000e+00   -2.7828e-04   7.9057e+03
-2.1000e+00   -2.5210e-04   8.3300e+03
-2.0000e+00   -2.2570e-04   8.8613e+03
-1.9000e+00   -2.0146e-04   9.4312e+03
-1.8000e+00   -1.7890e-04   1.0061e+04
-1.7000e+00   -1.5804e-04   1.0757e+04
-1.6000e+00   -1.4018e-04   1.1414e+04
-1.5000e+00   -1.2538e-04   1.1964e+04
-1.4000e+00   -1.0918e-04   1.2823e+04
-1.3000e+00   -9.1574e-05   1.4196e+04
-1.2000e+00   -7.7402e-05   1.5503e+04
-1.1000e+00   -6.6902e-05   1.6442e+04
-1.0000e+00   -5.9698e-05   1.6751e+04
-9.0000e-01   -4.9464e-05   1.8195e+04
-8.0000e-01   -4.0556e-05   1.9726e+04
-7.0000e-01   -3.0632e-05   2.2852e+04
-6.0000e-01   -2.2864e-05   2.6242e+04
-5.0000e-01   -1.7068e-05   2.9295e+04
-4.0000e-01   -1.1314e-05   3.5354e+04
-3.0000e-01   -6.3941e-06   4.6918e+04
-2.0000e-01   -3.5475e-06   5.6378e+04
-1.0000e-01   -1.3960e-06   7.1633e+04
0.0000e+00   -3.7160e-08   -0.0000e+00
