  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739667.485495                   76

         MeasureMode                Bias1                Bias2
                   2                  2.5                 -2.5

                Step  Positive compliance  Negative compliance
                 0.1                0.001                0.001

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -3.8974e-09   -0.0000e+00
1.0000e-01   1.9688e-07   5.0792e+05
2.0000e-01   4.7526e-07   4.2082e+05
3.0000e-01   8.2868e-07   3.6202e+05
4.0000e-01   4.3154e-07   9.2691e+05
5.0000e-01   6.2980e-07   7.9390e+05
6.0000e-01   9.7846e-07   6.1321e+05
7.0000e-01   1.4828e-06   4.7208e+05
8.0000e-01   1.8374e-06   4.3540e+05
9.0000e-01   2.2533e-06   3.9941e+05
1.0000e+00   2.4771e-06   4.0370e+05
1.1000e+00   2.9911e-06   3.6776e+05
1.2000e+00   4.4946e-06   2.6699e+05
1.3000e+00   6.4283e-06   2.0223e+05
1.4000e+00   7.5671e-06   1.8501e+05
1.5000e+00   8.0124e-04   1.8721e+03
1.6000e+00   8.4916e-04   1.8842e+03
1.7000e+00   9.6888e-04   1.7546e+03
1.8000e+00   1.0001e-03   1.7999e+03
1.9000e+00   9.9996e-04   1.9001e+03
2.0000e+00   1.0000e-03   1.9999e+03
2.1000e+00   9.9990e-04   2.1002e+03
2.2000e+00   1.0000e-03   2.2000e+03
2.3000e+00   1.0000e-03   2.3000e+03
2.4000e+00   9.9990e-04   2.4002e+03
2.5000e+00   9.9988e-04   2.5003e+03
2.5000e+00   9.9998e-04   2.5001e+03
2.4000e+00   1.0000e-03   2.4000e+03
2.3000e+00   9.9996e-04   2.3001e+03
2.2000e+00   9.9994e-04   2.2001e+03
2.1000e+00   1.0000e-03   2.1000e+03
2.0000e+00   1.0000e-03   2.0000e+03
1.9000e+00   1.0000e-03   1.9000e+03
1.8000e+00   9.9996e-04   1.8001e+03
1.7000e+00   9.9998e-04   1.7000e+03
1.6000e+00   9.5680e-04   1.6722e+03
1.5000e+00   8.8056e-04   1.7035e+03
1.4000e+00   8.0222e-04   1.7452e+03
1.3000e+00   7.2652e-04   1.7894e+03
1.2000e+00   6.5518e-04   1.8316e+03
1.1000e+00   5.8432e-04   1.8825e+03
1.0000e+00   5.0910e-04   1.9643e+03
9.0000e-01   4.4158e-04   2.0381e+03
8.0000e-01   3.7688e-04   2.1227e+03
7.0000e-01   3.1552e-04   2.2186e+03
6.0000e-01   2.5794e-04   2.3261e+03
5.0000e-01   2.0466e-04   2.4431e+03
4.0000e-01   1.5546e-04   2.5730e+03
3.0000e-01   1.0998e-04   2.7278e+03
2.0000e-01   6.8970e-05   2.8998e+03
1.0000e-01   3.2472e-05   3.0796e+03
0.0000e+00   -1.0697e-06   -0.0000e+00
0.0000e+00   -1.0714e-06   -0.0000e+00
-1.0000e-01   -3.4184e-05   2.9253e+03
-2.0000e-01   -6.9758e-05   2.8671e+03
-3.0000e-01   -1.0868e-04   2.7603e+03
-4.0000e-01   -1.5194e-04   2.6326e+03
-5.0000e-01   -1.9990e-04   2.5013e+03
-6.0000e-01   -2.5068e-04   2.3935e+03
-7.0000e-01   -3.0672e-04   2.2822e+03
-8.0000e-01   -3.6422e-04   2.1965e+03
-9.0000e-01   -4.2126e-04   2.1364e+03
-1.0000e+00   -4.8724e-04   2.0524e+03
-1.1000e+00   -5.5182e-04   1.9934e+03
-1.2000e+00   -6.0476e-04   1.9843e+03
-1.3000e+00   -4.5126e-04   2.8808e+03
-1.4000e+00   -2.9834e-04   4.6926e+03
-1.5000e+00   -3.3494e-04   4.4784e+03
-1.6000e+00   -3.1064e-04   5.1507e+03
-1.7000e+00   -2.3884e-04   7.1177e+03
-1.8000e+00   -1.3758e-04   1.3083e+04
-1.9000e+00   -1.3070e-04   1.4537e+04
-2.0000e+00   -1.3294e-04   1.5044e+04
-2.1000e+00   -1.3878e-04   1.5132e+04
-2.2000e+00   -1.1510e-04   1.9114e+04
-2.3000e+00   -1.0598e-04   2.1702e+04
-2.4000e+00   -1.3806e-04   1.7384e+04
-2.5000e+00   -1.5384e-04   1.6251e+04
-2.5000e+00   -1.9400e-04   1.2887e+04
-2.4000e+00   -1.8706e-04   1.2830e+04
-2.3000e+00   -1.6882e-04   1.3624e+04
-2.2000e+00   -1.4536e-04   1.5135e+04
-2.1000e+00   -1.3212e-04   1.5895e+04
-2.0000e+00   -1.1872e-04   1.6846e+04
-1.9000e+00   -1.0270e-04   1.8500e+04
-1.8000e+00   -9.1814e-05   1.9605e+04
-1.7000e+00   -8.2546e-05   2.0595e+04
-1.6000e+00   -7.4522e-05   2.1470e+04
-1.5000e+00   -6.5974e-05   2.2736e+04
-1.4000e+00   -5.7300e-05   2.4433e+04
-1.3000e+00   -5.1470e-05   2.5257e+04
-1.2000e+00   -4.5812e-05   2.6194e+04
-1.1000e+00   -3.4988e-05   3.1439e+04
-1.0000e+00   -2.9176e-05   3.4275e+04
-9.0000e-01   -2.3758e-05   3.7882e+04
-8.0000e-01   -1.8270e-05   4.3788e+04
-7.0000e-01   -1.1698e-05   5.9839e+04
-6.0000e-01   -6.8086e-06   8.8124e+04
-5.0000e-01   -3.8765e-06   1.2898e+05
-4.0000e-01   -2.3725e-06   1.6860e+05
-3.0000e-01   -1.4035e-06   2.1375e+05
-2.0000e-01   -4.7300e-07   4.2283e+05
-1.0000e-01   -1.5552e-07   6.4300e+05
0.0000e+00   -3.2519e-09   -0.0000e+00
