  Measurement Number     Measurement type
                  12                DC IV

      Measurement ID             SeriesID
       739667.468887                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -2

                Step  Positive compliance  Negative compliance
                 0.1               0.0001               0.0001

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -2.0464e-09   -0.0000e+00
1.0000e-01   1.8710e-07   5.3447e+05
2.0000e-01   4.4226e-07   4.5222e+05
3.0000e-01   8.3202e-07   3.6057e+05
4.0000e-01   1.2379e-06   3.2313e+05
5.0000e-01   1.9465e-06   2.5687e+05
6.0000e-01   2.4511e-06   2.4479e+05
7.0000e-01   2.9422e-06   2.3792e+05
8.0000e-01   3.8377e-06   2.0846e+05
9.0000e-01   5.2785e-06   1.7050e+05
1.0000e+00   5.8961e-06   1.6960e+05
1.1000e+00   7.7278e-06   1.4234e+05
1.2000e+00   9.8963e-06   1.2126e+05
1.3000e+00   1.4372e-05   9.0454e+04
1.4000e+00   1.4098e-05   9.9305e+04
1.5000e+00   1.7726e-05   8.4621e+04
1.6000e+00   1.9830e-05   8.0686e+04
1.7000e+00   2.2904e-05   7.4223e+04
1.8000e+00   2.6766e-05   6.7249e+04
1.9000e+00   3.1084e-05   6.1125e+04
2.0000e+00   3.4910e-05   5.7290e+04
2.0000e+00   3.4158e-05   5.8551e+04
1.9000e+00   2.8068e-05   6.7693e+04
1.8000e+00   2.3922e-05   7.5245e+04
1.7000e+00   2.0072e-05   8.4695e+04
1.6000e+00   1.7216e-05   9.2937e+04
1.5000e+00   1.4126e-05   1.0619e+05
1.4000e+00   1.1950e-05   1.1715e+05
1.3000e+00   9.7151e-06   1.3381e+05
1.2000e+00   7.9169e-06   1.5157e+05
1.1000e+00   6.2926e-06   1.7481e+05
1.0000e+00   4.9289e-06   2.0289e+05
9.0000e-01   3.7204e-06   2.4191e+05
8.0000e-01   2.7539e-06   2.9050e+05
7.0000e-01   1.9168e-06   3.6519e+05
6.0000e-01   1.2986e-06   4.6204e+05
5.0000e-01   7.7028e-07   6.4911e+05
4.0000e-01   4.5908e-07   8.7131e+05
3.0000e-01   2.3898e-07   1.2553e+06
2.0000e-01   1.1500e-07   1.7391e+06
1.0000e-01   5.6861e-08   1.7587e+06
0.0000e+00   -9.3290e-10   -0.0000e+00
0.0000e+00   -5.6570e-10   -0.0000e+00
-1.0000e-01   -5.6155e-08   1.7808e+06
-2.0000e-01   -1.6196e-07   1.2349e+06
-3.0000e-01   -3.4748e-07   8.6336e+05
-4.0000e-01   -6.5920e-07   6.0680e+05
-5.0000e-01   -9.0030e-07   5.5537e+05
-6.0000e-01   -1.4407e-06   4.1646e+05
-7.0000e-01   -2.1290e-06   3.2879e+05
-8.0000e-01   -2.9940e-06   2.6720e+05
-9.0000e-01   -4.5874e-06   1.9619e+05
-1.0000e+00   -5.6866e-06   1.7585e+05
-1.1000e+00   -7.5712e-06   1.4529e+05
-1.2000e+00   -9.4760e-06   1.2664e+05
-1.3000e+00   -1.3264e-05   9.8010e+04
-1.4000e+00   -1.8290e-05   7.6545e+04
-1.5000e+00   -2.3254e-05   6.4505e+04
-1.6000e+00   -3.0666e-05   5.2175e+04
-1.7000e+00   -3.3410e-05   5.0883e+04
-1.8000e+00   -3.9310e-05   4.5790e+04
-1.9000e+00   -4.8356e-05   3.9292e+04
-2.0000e+00   -6.7256e-05   2.9737e+04
-2.0000e+00   -7.4484e-05   2.6851e+04
-1.9000e+00   -5.5486e-05   3.4243e+04
-1.8000e+00   -5.1484e-05   3.4962e+04
-1.7000e+00   -4.5536e-05   3.7333e+04
-1.6000e+00   -3.7144e-05   4.3076e+04
-1.5000e+00   -3.2242e-05   4.6523e+04
-1.4000e+00   -2.6994e-05   5.1863e+04
-1.3000e+00   -2.3192e-05   5.6054e+04
-1.2000e+00   -1.8060e-05   6.6445e+04
-1.1000e+00   -1.5354e-05   7.1643e+04
-1.0000e+00   -1.2600e-05   7.9365e+04
-9.0000e-01   -9.0162e-06   9.9820e+04
-8.0000e-01   -6.9630e-06   1.1489e+05
-7.0000e-01   -4.9511e-06   1.4138e+05
-6.0000e-01   -3.9136e-06   1.5331e+05
-5.0000e-01   -2.6760e-06   1.8685e+05
-4.0000e-01   -1.9524e-06   2.0488e+05
-3.0000e-01   -7.9586e-07   3.7695e+05
-2.0000e-01   -3.8962e-07   5.1332e+05
-1.0000e-01   -1.5062e-07   6.6392e+05
0.0000e+00   -1.2270e-09   -0.0000e+00
