  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739667.468067                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -4.4516e-10   -0.0000e+00
5.0000e-02   1.7864e-08   2.7990e+06
1.0000e-01   5.4337e-08   1.8404e+06
1.5000e-01   1.0406e-07   1.4415e+06
2.0000e-01   1.7924e-07   1.1158e+06
2.5000e-01   2.8482e-07   8.7775e+05
3.0000e-01   4.1826e-07   7.1726e+05
3.5000e-01   5.8120e-07   6.0220e+05
4.0000e-01   7.7516e-07   5.1602e+05
4.5000e-01   9.9056e-07   4.5429e+05
5.0000e-01   1.2325e-06   4.0568e+05
5.5000e-01   1.4908e-06   3.6893e+05
6.0000e-01   1.7143e-06   3.5000e+05
6.5000e-01   1.9176e-06   3.3897e+05
7.0000e-01   2.4487e-06   2.8587e+05
7.5000e-01   2.5831e-06   2.9035e+05
8.0000e-01   2.8368e-06   2.8201e+05
8.5000e-01   3.6282e-06   2.3428e+05
9.0000e-01   4.1989e-06   2.1434e+05
9.5000e-01   4.6472e-06   2.0442e+05
1.0000e+00   5.1501e-06   1.9417e+05
1.0000e+00   5.1916e-06   1.9262e+05
9.5000e-01   4.5436e-06   2.0909e+05
9.0000e-01   4.0049e-06   2.2472e+05
8.5000e-01   3.4620e-06   2.4552e+05
8.0000e-01   2.9398e-06   2.7213e+05
7.5000e-01   2.5291e-06   2.9655e+05
7.0000e-01   2.1591e-06   3.2421e+05
6.5000e-01   1.7483e-06   3.7179e+05
6.0000e-01   1.4619e-06   4.1042e+05
5.5000e-01   1.1373e-06   4.8360e+05
5.0000e-01   8.9076e-07   5.6132e+05
4.5000e-01   6.8794e-07   6.5413e+05
4.0000e-01   5.0928e-07   7.8542e+05
3.5000e-01   3.7448e-07   9.3463e+05
3.0000e-01   2.6056e-07   1.1514e+06
2.5000e-01   1.7778e-07   1.4062e+06
2.0000e-01   1.0770e-07   1.8570e+06
1.5000e-01   6.8389e-08   2.1933e+06
1.0000e-01   3.6490e-08   2.7405e+06
5.0000e-02   1.5002e-08   3.3330e+06
0.0000e+00   -4.4895e-10   -0.0000e+00
0.0000e+00   -2.9922e-10   -0.0000e+00
-5.0000e-02   -1.4296e-08   3.4976e+06
-1.0000e-01   -3.1822e-08   3.1425e+06
-1.5000e-01   -5.7073e-08   2.6282e+06
-2.0000e-01   -9.3072e-08   2.1489e+06
-2.5000e-01   -1.4406e-07   1.7354e+06
-3.0000e-01   -2.1530e-07   1.3934e+06
-3.5000e-01   -3.0996e-07   1.1292e+06
-4.0000e-01   -4.3792e-07   9.1341e+05
-4.5000e-01   -6.0718e-07   7.4113e+05
-5.0000e-01   -8.1726e-07   6.1180e+05
-5.5000e-01   -1.0409e-06   5.2837e+05
-6.0000e-01   -1.3685e-06   4.3844e+05
-6.5000e-01   -1.7424e-06   3.7305e+05
-7.0000e-01   -2.1334e-06   3.2811e+05
-7.5000e-01   -2.5229e-06   2.9728e+05
-8.0000e-01   -2.9951e-06   2.6710e+05
-8.5000e-01   -3.6131e-06   2.3526e+05
-9.0000e-01   -4.1300e-06   2.1792e+05
-9.5000e-01   -4.8518e-06   1.9580e+05
-1.0000e+00   -5.5799e-06   1.7921e+05
-1.0000e+00   -5.5894e-06   1.7891e+05
-9.5000e-01   -4.8502e-06   1.9587e+05
-9.0000e-01   -4.1497e-06   2.1688e+05
-8.5000e-01   -3.7324e-06   2.2774e+05
-8.0000e-01   -3.1428e-06   2.5455e+05
-7.5000e-01   -2.9021e-06   2.5843e+05
-7.0000e-01   -1.9504e-06   3.5890e+05
-6.5000e-01   -1.6544e-06   3.9289e+05
-6.0000e-01   -1.2891e-06   4.6544e+05
-5.5000e-01   -1.0235e-06   5.3737e+05
-5.0000e-01   -7.6642e-07   6.5238e+05
-4.5000e-01   -6.2518e-07   7.1979e+05
-4.0000e-01   -4.2210e-07   9.4764e+05
-3.5000e-01   -3.0694e-07   1.1403e+06
-3.0000e-01   -2.1746e-07   1.3796e+06
-2.5000e-01   -1.5198e-07   1.6450e+06
-2.0000e-01   -1.0112e-07   1.9778e+06
-1.5000e-01   -6.3732e-08   2.3536e+06
-1.0000e-01   -3.5860e-08   2.7886e+06
-5.0000e-02   -1.5663e-08   3.1923e+06
0.0000e+00   -2.3298e-10   -0.0000e+00
