  Measurement Number     Measurement type
                  30                DC IV

      Measurement ID             SeriesID
       739667.472622                   66

         MeasureMode                Bias1                Bias2
                   2                  2.5                 -2.5

                Step  Positive compliance  Negative compliance
                 0.1                0.001                0.001

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -6.4857e-10   -0.0000e+00
1.0000e-01   6.1463e-08   1.6270e+06
2.0000e-01   1.7034e-07   1.1741e+06
3.0000e-01   3.8368e-07   7.8190e+05
4.0000e-01   6.9738e-07   5.7358e+05
5.0000e-01   1.1414e-06   4.3806e+05
6.0000e-01   1.7476e-06   3.4333e+05
7.0000e-01   2.9095e-06   2.4059e+05
8.0000e-01   3.5267e-06   2.2684e+05
9.0000e-01   4.3617e-06   2.0634e+05
1.0000e+00   5.7215e-06   1.7478e+05
1.1000e+00   6.9270e-06   1.5880e+05
1.2000e+00   8.5340e-06   1.4061e+05
1.3000e+00   1.1214e-05   1.1593e+05
1.4000e+00   1.3868e-05   1.0095e+05
1.5000e+00   1.4856e-05   1.0097e+05
1.6000e+00   1.5912e-05   1.0055e+05
1.7000e+00   1.8798e-05   9.0435e+04
1.8000e+00   2.2710e-05   7.9260e+04
1.9000e+00   2.6724e-05   7.1097e+04
2.0000e+00   1.0000e-03   2.0000e+03
2.1000e+00   9.9998e-04   2.1000e+03
2.2000e+00   1.0000e-03   2.2000e+03
2.3000e+00   1.0000e-03   2.2999e+03
2.4000e+00   1.0000e-03   2.4000e+03
2.5000e+00   1.0000e-03   2.5000e+03
2.5000e+00   1.0000e-03   2.5000e+03
2.4000e+00   9.9996e-04   2.4001e+03
2.3000e+00   1.0000e-03   2.3000e+03
2.2000e+00   1.0000e-03   2.1999e+03
2.1000e+00   9.9996e-04   2.1001e+03
2.0000e+00   9.9994e-04   2.0001e+03
1.9000e+00   1.0000e-03   1.8999e+03
1.8000e+00   9.9996e-04   1.8001e+03
1.7000e+00   9.9998e-04   1.7000e+03
1.6000e+00   1.0000e-03   1.6000e+03
1.5000e+00   9.7192e-04   1.5433e+03
1.4000e+00   8.9286e-04   1.5680e+03
1.3000e+00   8.1398e-04   1.5971e+03
1.2000e+00   7.3004e-04   1.6437e+03
1.1000e+00   6.5136e-04   1.6888e+03
1.0000e+00   5.7540e-04   1.7379e+03
9.0000e-01   4.9944e-04   1.8020e+03
8.0000e-01   4.2758e-04   1.8710e+03
7.0000e-01   3.5730e-04   1.9591e+03
6.0000e-01   2.9200e-04   2.0548e+03
5.0000e-01   2.3162e-04   2.1587e+03
4.0000e-01   1.7614e-04   2.2709e+03
3.0000e-01   1.2542e-04   2.3920e+03
2.0000e-01   7.9610e-05   2.5122e+03
1.0000e-01   3.8102e-05   2.6245e+03
0.0000e+00   -4.4496e-07   -0.0000e+00
0.0000e+00   -4.3430e-07   -0.0000e+00
-1.0000e-01   -3.8954e-05   2.5671e+03
-2.0000e-01   -8.0284e-05   2.4912e+03
-3.0000e-01   -1.2540e-04   2.3923e+03
-4.0000e-01   -1.7548e-04   2.2795e+03
-5.0000e-01   -2.3002e-04   2.1737e+03
-6.0000e-01   -2.8800e-04   2.0833e+03
-7.0000e-01   -3.5106e-04   1.9940e+03
-8.0000e-01   -4.1666e-04   1.9200e+03
-9.0000e-01   -4.8554e-04   1.8536e+03
-1.0000e+00   -5.5852e-04   1.7904e+03
-1.1000e+00   -6.2004e-04   1.7741e+03
-1.2000e+00   -5.5194e-04   2.1741e+03
-1.3000e+00   -4.6898e-04   2.7720e+03
-1.4000e+00   -3.8352e-04   3.6504e+03
-1.5000e+00   -2.8668e-04   5.2323e+03
-1.6000e+00   -3.0188e-04   5.3001e+03
-1.7000e+00   -1.1330e-04   1.5004e+04
-1.8000e+00   -2.1114e-04   8.5251e+03
-1.9000e+00   -9.0700e-05   2.0948e+04
-2.0000e+00   -8.6014e-05   2.3252e+04
-2.1000e+00   -1.1324e-04   1.8545e+04
-2.2000e+00   -1.3224e-04   1.6636e+04
-2.3000e+00   -1.1506e-04   1.9990e+04
-2.4000e+00   -1.3926e-04   1.7234e+04
-2.5000e+00   -1.6620e-04   1.5042e+04
-2.5000e+00   -1.7506e-04   1.4281e+04
-2.4000e+00   -1.7470e-04   1.3738e+04
-2.3000e+00   -1.5242e-04   1.5090e+04
-2.2000e+00   -1.3266e-04   1.6584e+04
-2.1000e+00   -1.1872e-04   1.7689e+04
-2.0000e+00   -1.0276e-04   1.9463e+04
-1.9000e+00   -9.1730e-05   2.0713e+04
-1.8000e+00   -7.9032e-05   2.2776e+04
-1.7000e+00   -6.8814e-05   2.4704e+04
-1.6000e+00   -5.9602e-05   2.6845e+04
-1.5000e+00   -5.2524e-05   2.8558e+04
-1.4000e+00   -4.3426e-05   3.2239e+04
-1.3000e+00   -3.7042e-05   3.5095e+04
-1.2000e+00   -3.1396e-05   3.8221e+04
-1.1000e+00   -2.5144e-05   4.3748e+04
-1.0000e+00   -2.0804e-05   4.8068e+04
-9.0000e-01   -1.6396e-05   5.4891e+04
-8.0000e-01   -1.3010e-05   6.1491e+04
-7.0000e-01   -7.9568e-06   8.7975e+04
-6.0000e-01   -6.1002e-06   9.8357e+04
-5.0000e-01   -5.2440e-06   9.5347e+04
-4.0000e-01   -3.2307e-06   1.2381e+05
-3.0000e-01   -2.0054e-06   1.4960e+05
-2.0000e-01   -5.0702e-07   3.9446e+05
-1.0000e-01   -1.6880e-07   5.9242e+05
0.0000e+00   -1.5454e-09   -0.0000e+00
