  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739667.471610                   68

         MeasureMode                Bias1                Bias2
                   2                  2.5                 -2.5

                Step  Positive compliance  Negative compliance
                 0.1                0.001                0.001

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -1.6738e-09   -0.0000e+00
1.0000e-01   1.5450e-07   6.4725e+05
2.0000e-01   4.2046e-07   4.7567e+05
3.0000e-01   8.2654e-07   3.6296e+05
4.0000e-01   1.5333e-06   2.6088e+05
5.0000e-01   2.3330e-06   2.1432e+05
6.0000e-01   3.2955e-06   1.8207e+05
7.0000e-01   3.5166e-06   1.9906e+05
8.0000e-01   4.9053e-06   1.6309e+05
9.0000e-01   5.9597e-06   1.5101e+05
1.0000e+00   6.4342e-06   1.5542e+05
1.1000e+00   8.1000e-06   1.3580e+05
1.2000e+00   9.6761e-06   1.2402e+05
1.3000e+00   1.0364e-05   1.2543e+05
1.4000e+00   1.1138e-05   1.2570e+05
1.5000e+00   1.3116e-05   1.1436e+05
1.6000e+00   1.4436e-05   1.1083e+05
1.7000e+00   1.8830e-05   9.0281e+04
1.8000e+00   1.0001e-03   1.7998e+03
1.9000e+00   1.0000e-03   1.8999e+03
2.0000e+00   1.0000e-03   2.0000e+03
2.1000e+00   9.9996e-04   2.1001e+03
2.2000e+00   9.9998e-04   2.2000e+03
2.3000e+00   1.0000e-03   2.3000e+03
2.4000e+00   1.0000e-03   2.4000e+03
2.5000e+00   9.9998e-04   2.5001e+03
2.5000e+00   1.0000e-03   2.5000e+03
2.4000e+00   1.0000e-03   2.4000e+03
2.3000e+00   9.9998e-04   2.3000e+03
2.2000e+00   1.0000e-03   2.2000e+03
2.1000e+00   9.9996e-04   2.1001e+03
2.0000e+00   9.9998e-04   2.0000e+03
1.9000e+00   9.9998e-04   1.9000e+03
1.8000e+00   9.9998e-04   1.8000e+03
1.7000e+00   9.9998e-04   1.7000e+03
1.6000e+00   9.9998e-04   1.6000e+03
1.5000e+00   9.9998e-04   1.5000e+03
1.4000e+00   9.9996e-04   1.4001e+03
1.3000e+00   9.3372e-04   1.3923e+03
1.2000e+00   8.5834e-04   1.3980e+03
1.1000e+00   7.8154e-04   1.4075e+03
1.0000e+00   7.0692e-04   1.4146e+03
9.0000e-01   6.3064e-04   1.4271e+03
8.0000e-01   5.5480e-04   1.4420e+03
7.0000e-01   4.7980e-04   1.4589e+03
6.0000e-01   4.0622e-04   1.4770e+03
5.0000e-01   3.3394e-04   1.4973e+03
4.0000e-01   2.6344e-04   1.5184e+03
3.0000e-01   1.9492e-04   1.5391e+03
2.0000e-01   1.2818e-04   1.5603e+03
1.0000e-01   6.3050e-05   1.5860e+03
0.0000e+00   -5.6358e-07   -0.0000e+00
0.0000e+00   -5.6976e-07   -0.0000e+00
-1.0000e-01   -6.4304e-05   1.5551e+03
-2.0000e-01   -1.2852e-04   1.5562e+03
-3.0000e-01   -1.9410e-04   1.5456e+03
-4.0000e-01   -2.6102e-04   1.5324e+03
-5.0000e-01   -3.2938e-04   1.5180e+03
-6.0000e-01   -3.9874e-04   1.5047e+03
-7.0000e-01   -4.6944e-04   1.4911e+03
-8.0000e-01   -5.3918e-04   1.4837e+03
-9.0000e-01   -6.0822e-04   1.4797e+03
-1.0000e+00   -6.5170e-04   1.5344e+03
-1.1000e+00   -6.1344e-04   1.7932e+03
-1.2000e+00   -3.3034e-04   3.6326e+03
-1.3000e+00   -2.5904e-04   5.0185e+03
-1.4000e+00   -2.4774e-04   5.6511e+03
-1.5000e+00   -2.0444e-04   7.3371e+03
-1.6000e+00   -1.5062e-04   1.0623e+04
-1.7000e+00   -1.9446e-04   8.7422e+03
-1.8000e+00   -2.1254e-04   8.4690e+03
-1.9000e+00   -2.1142e-04   8.9869e+03
-2.0000e+00   -2.0524e-04   9.7447e+03
-2.1000e+00   -2.0284e-04   1.0353e+04
-2.2000e+00   -1.8640e-04   1.1803e+04
-2.3000e+00   -1.9210e-04   1.1973e+04
-2.4000e+00   -1.9220e-04   1.2487e+04
-2.5000e+00   -2.2882e-04   1.0926e+04
-2.5000e+00   -3.0556e-04   8.1817e+03
-2.4000e+00   -2.8832e-04   8.3241e+03
-2.3000e+00   -2.6896e-04   8.5515e+03
-2.2000e+00   -2.4460e-04   8.9943e+03
-2.1000e+00   -2.1234e-04   9.8898e+03
-2.0000e+00   -1.9494e-04   1.0260e+04
-1.9000e+00   -1.7772e-04   1.0691e+04
-1.8000e+00   -1.6214e-04   1.1102e+04
-1.7000e+00   -1.4042e-04   1.2107e+04
-1.6000e+00   -1.2770e-04   1.2529e+04
-1.5000e+00   -1.1734e-04   1.2783e+04
-1.4000e+00   -9.8616e-05   1.4196e+04
-1.3000e+00   -8.7584e-05   1.4843e+04
-1.2000e+00   -7.4610e-05   1.6084e+04
-1.1000e+00   -6.2142e-05   1.7701e+04
-1.0000e+00   -5.1370e-05   1.9467e+04
-9.0000e-01   -4.1150e-05   2.1871e+04
-8.0000e-01   -3.3826e-05   2.3650e+04
-7.0000e-01   -2.6114e-05   2.6806e+04
-6.0000e-01   -1.9144e-05   3.1341e+04
-5.0000e-01   -1.3306e-05   3.7577e+04
-4.0000e-01   -5.9941e-06   6.6732e+04
-3.0000e-01   -3.5031e-06   8.5638e+04
-2.0000e-01   -1.1809e-06   1.6936e+05
-1.0000e-01   -3.1760e-07   3.1486e+05
0.0000e+00   -2.1682e-09   -0.0000e+00
