  Measurement Number     Measurement type
                  21                DC IV

      Measurement ID             SeriesID
       739668.785626                    0

         MeasureMode                Bias1                Bias2
                   2                    4                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   -3.1300e-12   -0.0000e+00
5.0000e-02   3.5708e-10   1.4002e+08
1.0000e-01   7.8196e-10   1.2788e+08
1.5000e-01   1.3161e-09   1.1397e+08
2.0000e-01   2.0561e-09   9.7272e+07
2.5000e-01   3.3099e-09   7.5531e+07
3.0000e-01   5.3281e-09   5.6305e+07
3.5000e-01   5.5113e-09   6.3506e+07
4.0000e-01   1.1898e-08   3.3619e+07
4.5000e-01   1.6893e-08   2.6638e+07
5.0000e-01   2.6006e-08   1.9226e+07
5.5000e-01   3.6826e-08   1.4935e+07
6.0000e-01   4.8021e-08   1.2494e+07
6.5000e-01   4.2016e-08   1.5470e+07
7.0000e-01   4.8823e-08   1.4338e+07
7.5000e-01   5.5810e-08   1.3438e+07
8.0000e-01   7.1611e-08   1.1172e+07
8.5000e-01   9.1842e-08   9.2550e+06
9.0000e-01   1.1028e-07   8.1610e+06
9.5000e-01   1.3260e-07   7.1644e+06
1.0000e+00   1.6358e-07   6.1132e+06
1.0500e+00   2.2638e-07   4.6382e+06
1.1000e+00   2.5050e-07   4.3912e+06
1.1500e+00   2.7516e-07   4.1794e+06
1.2000e+00   3.5296e-07   3.3998e+06
1.2500e+00   5.8712e-07   2.1290e+06
1.3000e+00   6.0776e-07   2.1390e+06
1.3500e+00   5.2642e-07   2.5645e+06
1.4000e+00   5.2884e-07   2.6473e+06
1.4500e+00   6.0550e-07   2.3947e+06
1.5000e+00   7.0698e-07   2.1217e+06
1.5500e+00   7.9850e-07   1.9411e+06
1.6000e+00   9.1754e-07   1.7438e+06
1.6500e+00   9.9999e-06   1.6500e+05
1.7000e+00   9.9999e-06   1.7000e+05
1.7500e+00   9.9999e-06   1.7500e+05
1.8000e+00   9.9999e-06   1.8000e+05
1.8500e+00   9.9998e-06   1.8500e+05
1.9000e+00   9.9999e-06   1.9000e+05
1.9500e+00   9.9998e-06   1.9500e+05
2.0000e+00   1.0000e-05   2.0000e+05
2.0500e+00   9.9998e-06   2.0500e+05
2.1000e+00   9.9998e-06   2.1000e+05
2.1500e+00   9.9999e-06   2.1500e+05
2.2000e+00   1.0000e-05   2.2000e+05
2.2500e+00   1.0000e-05   2.2500e+05
2.3000e+00   9.9998e-06   2.3000e+05
2.3500e+00   1.0000e-05   2.3500e+05
2.4000e+00   1.0000e-05   2.4000e+05
2.4500e+00   9.9999e-06   2.4500e+05
2.5000e+00   1.0000e-05   2.5000e+05
2.5500e+00   1.0000e-05   2.5500e+05
2.6000e+00   9.9997e-06   2.6001e+05
2.6500e+00   9.9999e-06   2.6500e+05
2.7000e+00   1.0000e-05   2.7000e+05
2.7500e+00   9.9998e-06   2.7501e+05
2.8000e+00   9.9999e-06   2.8000e+05
2.8500e+00   1.0000e-05   2.8500e+05
2.9000e+00   9.9999e-06   2.9000e+05
2.9500e+00   9.9999e-06   2.9500e+05
3.0000e+00   1.0002e-05   2.9993e+05
3.0500e+00   9.9967e-06   3.0510e+05
3.1000e+00   1.0000e-05   3.0999e+05
3.1500e+00   9.9987e-06   3.1504e+05
3.2000e+00   1.0001e-05   3.1998e+05
3.2500e+00   1.0004e-05   3.2485e+05
3.3000e+00   1.0001e-05   3.2997e+05
3.3500e+00   9.9992e-06   3.3503e+05
3.4000e+00   9.9954e-06   3.4016e+05
3.4500e+00   9.9998e-06   3.4501e+05
3.5000e+00   9.9999e-06   3.5000e+05
3.5500e+00   9.9996e-06   3.5501e+05
3.6000e+00   9.9921e-06   3.6028e+05
3.6500e+00   9.9999e-06   3.6500e+05
3.7000e+00   1.0000e-05   3.7000e+05
3.7500e+00   1.0000e-05   3.7500e+05
3.8000e+00   9.9999e-06   3.8000e+05
3.8500e+00   9.9998e-06   3.8501e+05
3.9000e+00   9.9999e-06   3.9000e+05
3.9500e+00   9.9999e-06   3.9500e+05
4.0000e+00   1.0000e-05   4.0000e+05
4.0000e+00   9.9999e-06   4.0000e+05
3.9500e+00   1.0000e-05   3.9500e+05
3.9000e+00   9.9999e-06   3.9000e+05
3.8500e+00   9.9999e-06   3.8500e+05
3.8000e+00   9.9999e-06   3.8000e+05
3.7500e+00   9.9999e-06   3.7500e+05
3.7000e+00   9.9999e-06   3.7000e+05
3.6500e+00   9.9998e-06   3.6501e+05
3.6000e+00   9.9999e-06   3.6000e+05
3.5500e+00   9.9999e-06   3.5500e+05
3.5000e+00   9.9999e-06   3.5000e+05
3.4500e+00   9.9999e-06   3.4500e+05
3.4000e+00   9.9999e-06   3.4000e+05
3.3500e+00   9.9997e-06   3.3501e+05
3.3000e+00   1.0000e-05   3.3000e+05
3.2500e+00   9.9999e-06   3.2500e+05
3.2000e+00   9.9998e-06   3.2001e+05
3.1500e+00   9.9999e-06   3.1500e+05
3.1000e+00   1.0000e-05   3.1000e+05
3.0500e+00   9.9998e-06   3.0501e+05
3.0000e+00   1.0000e-05   3.0000e+05
2.9500e+00   9.9999e-06   2.9500e+05
2.9000e+00   1.0000e-05   2.9000e+05
2.8500e+00   1.0000e-05   2.8500e+05
2.8000e+00   1.0000e-05   2.8000e+05
2.7500e+00   9.9999e-06   2.7500e+05
2.7000e+00   1.0000e-05   2.7000e+05
2.6500e+00   9.9998e-06   2.6501e+05
2.6000e+00   1.0000e-05   2.6000e+05
2.5500e+00   9.9998e-06   2.5501e+05
2.5000e+00   9.9998e-06   2.5001e+05
2.4500e+00   9.9999e-06   2.4500e+05
2.4000e+00   1.0000e-05   2.4000e+05
2.3500e+00   1.0000e-05   2.3500e+05
2.3000e+00   1.0000e-05   2.3000e+05
2.2500e+00   1.0000e-05   2.2500e+05
2.2000e+00   9.9998e-06   2.2000e+05
2.1500e+00   1.0000e-05   2.1500e+05
2.1000e+00   9.9999e-06   2.1000e+05
2.0500e+00   9.9999e-06   2.0500e+05
2.0000e+00   9.9999e-06   2.0000e+05
1.9500e+00   9.9999e-06   1.9500e+05
1.9000e+00   1.0000e-05   1.9000e+05
1.8500e+00   1.0000e-05   1.8500e+05
1.8000e+00   9.9999e-06   1.8000e+05
1.7500e+00   9.9999e-06   1.7500e+05
1.7000e+00   9.9999e-06   1.7000e+05
1.6500e+00   1.0000e-05   1.6500e+05
1.6000e+00   9.9999e-06   1.6000e+05
1.5500e+00   9.9999e-06   1.5500e+05
1.5000e+00   1.0000e-05   1.5000e+05
1.4500e+00   9.9998e-06   1.4500e+05
1.4000e+00   9.9999e-06   1.4000e+05
1.3500e+00   9.9998e-06   1.3500e+05
1.3000e+00   9.9998e-06   1.3000e+05
1.2500e+00   9.9999e-06   1.2500e+05
1.2000e+00   9.9998e-06   1.2000e+05
1.1500e+00   1.0000e-05   1.1500e+05
1.1000e+00   9.9996e-06   1.1000e+05
1.0500e+00   9.9999e-06   1.0500e+05
1.0000e+00   1.0000e-05   1.0000e+05
9.5000e-01   1.0000e-05   9.5000e+04
9.0000e-01   9.9998e-06   9.0002e+04
8.5000e-01   1.0000e-05   8.5000e+04
8.0000e-01   1.0000e-05   7.9999e+04
7.5000e-01   9.9999e-06   7.5001e+04
7.0000e-01   9.9998e-06   7.0001e+04
6.5000e-01   9.9998e-06   6.5001e+04
6.0000e-01   9.9996e-06   6.0002e+04
5.5000e-01   9.9999e-06   5.5001e+04
5.0000e-01   9.9999e-06   5.0001e+04
4.5000e-01   9.9999e-06   4.5000e+04
4.0000e-01   9.9999e-06   4.0000e+04
3.5000e-01   9.9998e-06   3.5001e+04
3.0000e-01   9.9999e-06   3.0000e+04
2.5000e-01   9.9999e-06   2.5000e+04
2.0000e-01   9.9998e-06   2.0000e+04
1.5000e-01   9.9998e-06   1.5000e+04
1.0000e-01   9.9999e-06   1.0000e+04
5.0000e-02   6.0681e-06   8.2398e+03
0.0000e+00   1.1506e-08   0.0000e+00
0.0000e+00   1.3830e-10   0.0000e+00
-5.0000e-02   -1.2970e-07   3.8551e+05
-1.0000e-01   -1.8530e-07   5.3967e+05
-1.5000e-01   -5.4120e-07   2.7716e+05
-2.0000e-01   -7.3184e-07   2.7328e+05
-2.5000e-01   -1.0603e-06   2.3579e+05
-3.0000e-01   -1.2295e-06   2.4400e+05
-3.5000e-01   -1.7354e-06   2.0168e+05
-4.0000e-01   -1.3280e-06   3.0120e+05
-4.5000e-01   -8.2580e-07   5.4493e+05
-5.0000e-01   -1.3890e-06   3.5997e+05
-5.5000e-01   -3.2356e-07   1.6998e+06
-6.0000e-01   -4.4368e-07   1.3523e+06
-6.5000e-01   -4.1330e-07   1.5727e+06
-7.0000e-01   -1.3359e-06   5.2399e+05
-7.5000e-01   -1.6233e-06   4.6202e+05
-8.0000e-01   -1.6742e-06   4.7784e+05
-8.5000e-01   -8.2112e-07   1.0352e+06
-9.0000e-01   -1.0401e-06   8.6530e+05
-9.5000e-01   -1.7121e-06   5.5487e+05
-1.0000e+00   -2.2745e-06   4.3966e+05
