  Measurement Number     Measurement type
                  37                DC IV

      Measurement ID             SeriesID
       739668.777656                   10

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -5.1000e-12   -0.0000e+00
5.0000e-02   1.6300e-12   3.0675e+10
1.0000e-01   1.0420e-11   9.5969e+09
1.5000e-01   3.3000e-12   4.5455e+10
2.0000e-01   2.3300e-12   8.5837e+10
2.5000e-01   2.6000e-13   9.6154e+11
3.0000e-01   1.0150e-11   2.9557e+10
3.5000e-01   1.7850e-11   1.9608e+10
4.0000e-01   3.9000e-12   1.0256e+11
4.5000e-01   1.1480e-11   3.9199e+10
5.0000e-01   1.8120e-11   2.7594e+10
5.5000e-01   4.4526e-10   1.2352e+09
6.0000e-01   1.9746e-09   3.0386e+08
6.5000e-01   3.1920e-11   2.0363e+10
7.0000e-01   9.4580e-11   7.4011e+09
7.5000e-01   2.0122e-09   3.7273e+08
8.0000e-01   1.6389e-06   4.8813e+05
8.5000e-01   2.4807e-06   3.4265e+05
9.0000e-01   7.0229e-06   1.2815e+05
9.5000e-01   8.0794e-06   1.1758e+05
1.0000e+00   6.9731e-06   1.4341e+05
1.0500e+00   2.6780e-07   3.9208e+06
1.1000e+00   2.9546e-07   3.7230e+06
1.1500e+00   3.2894e-07   3.4961e+06
1.2000e+00   2.1418e-07   5.6028e+06
1.2500e+00   3.0804e-07   4.0579e+06
1.3000e+00   1.5572e-07   8.3483e+06
1.3500e+00   3.5538e-06   3.7988e+05
1.4000e+00   1.0000e-05   1.3999e+05
1.4500e+00   9.9994e-06   1.4501e+05
1.5000e+00   9.9998e-06   1.5000e+05
1.5500e+00   9.9993e-06   1.5501e+05
1.6000e+00   1.0000e-05   1.6000e+05
1.6500e+00   9.9999e-06   1.6500e+05
1.7000e+00   1.0001e-05   1.6999e+05
1.7500e+00   1.0000e-05   1.7500e+05
1.8000e+00   9.9998e-06   1.8000e+05
1.8500e+00   9.9995e-06   1.8501e+05
1.9000e+00   9.9999e-06   1.9000e+05
1.9500e+00   9.9998e-06   1.9500e+05
2.0000e+00   9.9984e-06   2.0003e+05
2.0000e+00   1.0000e-05   1.9999e+05
1.9500e+00   9.9998e-06   1.9500e+05
1.9000e+00   1.0001e-05   1.8998e+05
1.8500e+00   9.9999e-06   1.8500e+05
1.8000e+00   9.9998e-06   1.8000e+05
1.7500e+00   1.0000e-05   1.7500e+05
1.7000e+00   1.0000e-05   1.7000e+05
1.6500e+00   9.9992e-06   1.6501e+05
