  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739668.775520                   64

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -6.0500e-12   -0.0000e+00
5.0000e-02   -7.7000e-13   -6.4935e+10
1.0000e-01   6.3700e-12   1.5699e+10
1.5000e-01   1.5380e-11   9.7529e+09
2.0000e-01   1.4540e-11   1.3755e+10
2.5000e-01   6.1400e-12   4.0717e+10
3.0000e-01   9.2500e-12   3.2432e+10
3.5000e-01   2.1940e-11   1.5953e+10
4.0000e-01   2.8300e-11   1.4134e+10
4.5000e-01   2.1060e-11   2.1368e+10
5.0000e-01   2.4970e-11   2.0024e+10
5.5000e-01   4.3540e-11   1.2632e+10
6.0000e-01   5.4850e-11   1.0939e+10
6.5000e-01   6.7720e-11   9.5983e+09
7.0000e-01   1.0785e-10   6.4905e+09
7.5000e-01   1.2949e-10   5.7920e+09
8.0000e-01   6.6783e-06   1.1979e+05
8.5000e-01   7.2781e-06   1.1679e+05
9.0000e-01   9.9754e-06   9.0222e+04
9.5000e-01   9.9990e-06   9.5010e+04
1.0000e+00   9.9997e-06   1.0000e+05
1.0500e+00   9.9999e-06   1.0500e+05
1.1000e+00   9.9999e-06   1.1000e+05
1.1500e+00   9.9998e-06   1.1500e+05
1.2000e+00   9.9998e-06   1.2000e+05
1.2500e+00   9.9998e-06   1.2500e+05
1.3000e+00   9.9996e-06   1.3001e+05
1.3500e+00   1.0000e-05   1.3500e+05
1.4000e+00   9.9999e-06   1.4000e+05
1.4500e+00   9.9997e-06   1.4500e+05
1.5000e+00   1.0000e-05   1.5000e+05
1.5500e+00   1.0000e-05   1.5500e+05
1.6000e+00   1.0000e-05   1.6000e+05
1.6500e+00   1.0001e-05   1.6499e+05
1.7000e+00   9.9999e-06   1.7000e+05
1.7500e+00   9.9998e-06   1.7500e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.8500e+00   1.0000e-05   1.8500e+05
1.9000e+00   9.9998e-06   1.9000e+05
1.9500e+00   1.0000e-05   1.9500e+05
2.0000e+00   9.9992e-06   2.0002e+05
2.0000e+00   1.0001e-05   1.9998e+05
1.9500e+00   9.9997e-06   1.9501e+05
1.9000e+00   9.9999e-06   1.9000e+05
1.8500e+00   1.0001e-05   1.8499e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.7500e+00   1.0000e-05   1.7500e+05
1.7000e+00   9.9999e-06   1.7000e+05
1.6500e+00   9.9998e-06   1.6500e+05
