  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739668.770443                   92

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   3.6300e-12   0.0000e+00
5.0000e-02   9.1200e-12   5.4825e+09
1.0000e-01   2.4200e-12   4.1322e+10
1.5000e-01   2.8500e-12   5.2632e+10
2.0000e-01   2.8300e-12   7.0671e+10
2.5000e-01   1.3440e-11   1.8601e+10
3.0000e-01   1.9430e-11   1.5440e+10
3.5000e-01   9.5600e-12   3.6611e+10
4.0000e-01   1.8650e-11   2.1448e+10
4.5000e-01   1.5350e-11   2.9316e+10
5.0000e-01   2.4050e-11   2.0790e+10
5.5000e-01   2.3480e-11   2.3424e+10
6.0000e-01   2.2860e-11   2.6247e+10
6.5000e-01   3.5750e-11   1.8182e+10
7.0000e-01   3.8650e-11   1.8111e+10
7.5000e-01   3.9270e-11   1.9099e+10
8.0000e-01   3.3370e-11   2.3974e+10
8.5000e-01   4.1230e-11   2.0616e+10
9.0000e-01   6.9550e-11   1.2940e+10
9.5000e-01   7.1650e-11   1.3259e+10
1.0000e+00   7.2190e-11   1.3852e+10
1.0500e+00   9.7210e-11   1.0801e+10
1.1000e+00   1.2570e-10   8.7510e+09
1.1500e+00   1.4528e-10   7.9157e+09
1.2000e+00   1.7340e-10   6.9204e+09
1.2500e+00   2.0277e-10   6.1646e+09
1.3000e+00   3.2266e-10   4.0290e+09
1.3500e+00   3.6873e-10   3.6612e+09
1.4000e+00   5.4088e-10   2.5884e+09
1.4500e+00   6.5555e-10   2.2119e+09
1.5000e+00   5.3072e-10   2.8263e+09
1.5500e+00   6.2876e-10   2.4652e+09
1.6000e+00   8.1040e-10   1.9743e+09
1.6500e+00   1.7164e-09   9.6131e+08
1.7000e+00   9.8000e-09   1.7347e+08
1.7500e+00   9.9998e-06   1.7500e+05
1.8000e+00   9.9999e-06   1.8000e+05
1.8500e+00   9.9999e-06   1.8500e+05
1.9000e+00   9.9998e-06   1.9000e+05
1.9500e+00   9.9999e-06   1.9500e+05
2.0000e+00   1.0000e-05   2.0000e+05
2.0000e+00   9.9999e-06   2.0000e+05
1.9500e+00   9.9998e-06   1.9500e+05
1.9000e+00   9.9999e-06   1.9000e+05
1.8500e+00   9.9999e-06   1.8500e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.7500e+00   9.9999e-06   1.7500e+05
1.7000e+00   9.9999e-06   1.7000e+05
1.6500e+00   9.9999e-06   1.6500e+05
