  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739668.770224                   92

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.5690e-11   0.0000e+00
5.0000e-02   1.5490e-11   3.2279e+09
1.0000e-01   1.1500e-11   8.6957e+09
1.5000e-01   4.2500e-12   3.5294e+10
2.0000e-01   4.3900e-12   4.5558e+10
2.5000e-01   1.5800e-11   1.5823e+10
3.0000e-01   1.2860e-11   2.3328e+10
3.5000e-01   9.4500e-12   3.7037e+10
4.0000e-01   7.3700e-12   5.4274e+10
4.5000e-01   1.5340e-11   2.9335e+10
5.0000e-01   1.9890e-11   2.5138e+10
5.5000e-01   1.6000e-11   3.4375e+10
6.0000e-01   2.6060e-11   2.3024e+10
6.5000e-01   1.4970e-11   4.3420e+10
7.0000e-01   2.7530e-11   2.5427e+10
7.5000e-01   3.3190e-11   2.2597e+10
8.0000e-01   3.5610e-11   2.2466e+10
8.5000e-01   4.5680e-11   1.8608e+10
9.0000e-01   1.1843e-08   7.5997e+07
9.5000e-01   1.5935e-08   5.9616e+07
1.0000e+00   1.6964e-08   5.8948e+07
1.0500e+00   2.2620e-08   4.6418e+07
1.1000e+00   2.8728e-08   3.8290e+07
1.1500e+00   3.3945e-08   3.3878e+07
1.2000e+00   3.6242e-08   3.3111e+07
1.2500e+00   3.6855e-08   3.3917e+07
1.3000e+00   4.7605e-08   2.7308e+07
1.3500e+00   6.2586e-08   2.1570e+07
1.4000e+00   1.1894e-07   1.1771e+07
1.4500e+00   2.7462e-07   5.2800e+06
1.5000e+00   2.1192e-07   7.0781e+06
1.5500e+00   2.6154e-07   5.9264e+06
1.6000e+00   2.4353e-06   6.5700e+05
1.6500e+00   1.0000e-08   1.6500e+08
1.7000e+00   7.7788e-06   2.1854e+05
1.7500e+00   1.0000e-05   1.7500e+05
1.8000e+00   9.9998e-06   1.8000e+05
1.8500e+00   9.9998e-06   1.8500e+05
1.9000e+00   1.0000e-05   1.9000e+05
1.9500e+00   9.9998e-06   1.9500e+05
2.0000e+00   1.0000e-05   2.0000e+05
2.0000e+00   1.0000e-05   2.0000e+05
1.9500e+00   9.9999e-06   1.9500e+05
1.9000e+00   9.9999e-06   1.9000e+05
1.8500e+00   1.0000e-05   1.8500e+05
1.8000e+00   9.9999e-06   1.8000e+05
1.7500e+00   1.0000e-05   1.7500e+05
1.7000e+00   9.9999e-06   1.7000e+05
1.6500e+00   9.9999e-06   1.6500e+05
