  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739668.768901                    0

         MeasureMode                Bias1                Bias2
                   2                  2.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   3.9200e-12   0.0000e+00
5.0000e-02   1.0000e-12   5.0000e+10
1.0000e-01   -6.0000e-13   -1.6667e+11
1.5000e-01   1.0800e-11   1.3889e+10
2.0000e-01   7.5200e-12   2.6596e+10
2.5000e-01   -6.4000e-13   -3.9062e+11
3.0000e-01   -3.3800e-12   -8.8757e+10
3.5000e-01   3.2100e-12   1.0903e+11
4.0000e-01   5.1200e-12   7.8125e+10
4.5000e-01   -7.7400e-12   -5.8140e+10
5.0000e-01   6.5000e-13   7.6923e+11
5.5000e-01   3.9900e-12   1.3784e+11
6.0000e-01   6.0000e-12   1.0000e+11
6.5000e-01   4.6100e-12   1.4100e+11
7.0000e-01   2.0600e-12   3.3981e+11
7.5000e-01   1.4850e-11   5.0505e+10
8.0000e-01   1.4470e-11   5.5287e+10
8.5000e-01   8.3700e-12   1.0155e+11
9.0000e-01   1.1740e-11   7.6661e+10
9.5000e-01   2.5540e-11   3.7197e+10
1.0000e+00   2.8670e-11   3.4880e+10
1.0500e+00   3.2990e-11   3.1828e+10
1.1000e+00   7.8160e-11   1.4074e+10
1.1500e+00   1.3208e-10   8.7068e+09
1.2000e+00   1.2361e-10   9.7080e+09
1.2500e+00   1.1297e-10   1.1065e+10
1.3000e+00   2.2113e-10   5.8789e+09
1.3500e+00   2.1686e-10   6.2252e+09
1.4000e+00   1.9530e-10   7.1685e+09
1.4500e+00   1.8588e-10   7.8007e+09
1.5000e+00   3.2609e-10   4.6000e+09
1.5500e+00   5.6830e-10   2.7274e+09
1.6000e+00   1.9742e-10   8.1045e+09
1.6500e+00   2.5430e-10   6.4884e+09
1.7000e+00   4.0444e-10   4.2033e+09
1.7500e+00   1.6896e-09   1.0357e+09
1.8000e+00   2.1047e-09   8.5523e+08
