  Measurement Number     Measurement type
                  12                DC IV

      Measurement ID             SeriesID
       739668.759079                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   6.3500e-12   0.0000e+00
5.0000e-02   1.0370e-11   4.8216e+09
1.0000e-01   8.4300e-12   1.1862e+10
1.5000e-01   3.2300e-12   4.6440e+10
2.0000e-01   2.0140e-11   9.9305e+09
2.5000e-01   1.2170e-11   2.0542e+10
3.0000e-01   2.1880e-11   1.3711e+10
3.5000e-01   2.2770e-11   1.5371e+10
4.0000e-01   9.9999e-06   4.0000e+04
4.5000e-01   9.9999e-06   4.5000e+04
5.0000e-01   9.9990e-06   5.0005e+04
5.5000e-01   9.9992e-06   5.5004e+04
6.0000e-01   1.0000e-05   5.9999e+04
6.5000e-01   1.0000e-05   6.5000e+04
7.0000e-01   9.9998e-06   7.0001e+04
7.5000e-01   9.9999e-06   7.5001e+04
8.0000e-01   9.9999e-06   8.0001e+04
8.5000e-01   9.9999e-06   8.5001e+04
9.0000e-01   1.0000e-05   9.0000e+04
9.5000e-01   9.9999e-06   9.5001e+04
1.0000e+00   1.0000e-05   1.0000e+05
1.0000e+00   1.0000e-05   9.9999e+04
9.5000e-01   9.9999e-06   9.5001e+04
9.0000e-01   9.9998e-06   9.0002e+04
8.5000e-01   1.0000e-05   8.4999e+04
8.0000e-01   1.0001e-05   7.9990e+04
7.5000e-01   9.9998e-06   7.5002e+04
7.0000e-01   9.9999e-06   7.0001e+04
6.5000e-01   9.9999e-06   6.5001e+04
6.0000e-01   9.9999e-06   6.0001e+04
5.5000e-01   9.9998e-06   5.5001e+04
5.0000e-01   9.9998e-06   5.0001e+04
4.5000e-01   9.9996e-06   4.5002e+04
4.0000e-01   1.0000e-05   4.0000e+04
3.5000e-01   9.9998e-06   3.5001e+04
3.0000e-01   9.9999e-06   3.0000e+04
2.5000e-01   1.0000e-05   2.5000e+04
2.0000e-01   9.9999e-06   2.0000e+04
1.5000e-01   1.0000e-05   1.5000e+04
1.0000e-01   9.9999e-06   1.0000e+04
5.0000e-02   1.0000e-05   5.0000e+03
0.0000e+00   -9.3700e-12   -0.0000e+00
0.0000e+00   2.0900e-12   0.0000e+00
-5.0000e-02   3.0900e-12   -1.6181e+10
-1.0000e-01   2.7600e-12   -3.6232e+10
-1.5000e-01   -1.3640e-11   1.0997e+10
-2.0000e-01   -1.3020e-11   1.5361e+10
-2.5000e-01   -8.4400e-12   2.9621e+10
-3.0000e-01   -7.6600e-12   3.9164e+10
-3.5000e-01   -8.0300e-12   4.3587e+10
-4.0000e-01   -2.8720e-11   1.3928e+10
-4.5000e-01   -3.2260e-11   1.3949e+10
-5.0000e-01   -3.1540e-11   1.5853e+10
-5.5000e-01   -3.3230e-11   1.6551e+10
-6.0000e-01   -4.8730e-11   1.2313e+10
-6.5000e-01   -5.7060e-11   1.1392e+10
-7.0000e-01   -6.7490e-11   1.0372e+10
-7.5000e-01   -8.0430e-11   9.3249e+09
-8.0000e-01   -1.5003e-10   5.3323e+09
-8.5000e-01   -1.7371e-10   4.8932e+09
-9.0000e-01   -1.8477e-10   4.8709e+09
-9.5000e-01   -1.7882e-10   5.3126e+09
-1.0000e+00   -2.1082e-10   4.7434e+09
-1.0000e+00   -2.1231e-10   4.7101e+09
-9.5000e-01   -1.5472e-10   6.1401e+09
-9.0000e-01   -9.2400e-11   9.7403e+09
-8.5000e-01   -8.2810e-11   1.0264e+10
-8.0000e-01   -8.2620e-11   9.6829e+09
-7.5000e-01   -6.2370e-11   1.2025e+10
-7.0000e-01   -5.3220e-11   1.3153e+10
-6.5000e-01   -3.4310e-11   1.8945e+10
-6.0000e-01   -2.7630e-11   2.1716e+10
-5.5000e-01   -2.2490e-11   2.4455e+10
-5.0000e-01   -2.1790e-11   2.2946e+10
-4.5000e-01   -1.2970e-11   3.4695e+10
-4.0000e-01   -3.3300e-12   1.2012e+11
-3.5000e-01   2.2400e-12   -1.5625e+11
-3.0000e-01   -1.7600e-12   1.7045e+11
-2.5000e-01   -4.8500e-12   5.1546e+10
-2.0000e-01   2.3400e-12   -8.5470e+10
-1.5000e-01   5.9400e-12   -2.5253e+10
-1.0000e-01   8.5000e-13   -1.1765e+11
-5.0000e-02   3.0400e-12   -1.6447e+10
0.0000e+00   9.1300e-12   0.0000e+00
