  Measurement Number     Measurement type
                  28                DC IV

      Measurement ID             SeriesID
       739668.761243                   82

         MeasureMode                Bias1                Bias2
                   2                    1                 -1.5

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   1.2680e-11   0.0000e+00
5.0000e-02   4.1300e-12   1.2107e+10
1.0000e-01   8.0300e-12   1.2453e+10
1.5000e-01   7.5200e-12   1.9947e+10
2.0000e-01   1.7200e-11   1.1628e+10
2.5000e-01   2.0600e-11   1.2136e+10
3.0000e-01   9.9300e-12   3.0211e+10
3.5000e-01   1.4350e-11   2.4390e+10
4.0000e-01   1.9510e-11   2.0502e+10
4.5000e-01   2.0530e-11   2.1919e+10
5.0000e-01   3.2590e-11   1.5342e+10
5.5000e-01   2.8190e-11   1.9510e+10
6.0000e-01   2.6130e-11   2.2962e+10
6.5000e-01   2.3210e-11   2.8005e+10
7.0000e-01   3.4140e-11   2.0504e+10
7.5000e-01   4.3300e-11   1.7321e+10
8.0000e-01   3.4920e-11   2.2910e+10
8.5000e-01   5.1610e-11   1.6470e+10
9.0000e-01   5.8980e-11   1.5259e+10
9.5000e-01   7.9730e-11   1.1915e+10
1.0000e+00   1.0351e-10   9.6609e+09
1.0000e+00   1.0376e-10   9.6376e+09
9.5000e-01   6.4480e-11   1.4733e+10
9.0000e-01   5.6570e-11   1.5909e+10
8.5000e-01   4.9110e-11   1.7308e+10
8.0000e-01   2.1070e-11   3.7969e+10
7.5000e-01   2.2030e-11   3.4044e+10
7.0000e-01   1.8810e-11   3.7214e+10
6.5000e-01   1.2800e-11   5.0781e+10
6.0000e-01   3.1800e-12   1.8868e+11
5.5000e-01   -3.1000e-12   -1.7742e+11
5.0000e-01   5.9200e-12   8.4459e+10
4.5000e-01   4.6900e-12   9.5949e+10
4.0000e-01   -6.2500e-12   -6.4000e+10
3.5000e-01   -1.2130e-11   -2.8854e+10
3.0000e-01   -9.5500e-12   -3.1414e+10
2.5000e-01   -1.5800e-12   -1.5823e+11
2.0000e-01   3.3600e-12   5.9524e+10
1.5000e-01   -2.5700e-12   -5.8366e+10
1.0000e-01   -8.2500e-12   -1.2121e+10
5.0000e-02   -1.4030e-11   -3.5638e+09
0.0000e+00   -3.7900e-12   -0.0000e+00
0.0000e+00   -1.2830e-11   -0.0000e+00
-5.0000e-02   -1.7180e-11   2.9104e+09
-1.0000e-01   -1.1250e-11   8.8889e+09
-1.5000e-01   -9.6800e-12   1.5496e+10
-2.0000e-01   -1.9440e-11   1.0288e+10
-2.5000e-01   -2.1760e-11   1.1489e+10
-3.0000e-01   -1.9580e-11   1.5322e+10
-3.5000e-01   -1.9750e-11   1.7722e+10
-4.0000e-01   -1.7520e-11   2.2831e+10
-4.5000e-01   -1.9000e-11   2.3684e+10
-5.0000e-01   -2.6310e-11   1.9004e+10
-5.5000e-01   -3.3600e-11   1.6369e+10
-6.0000e-01   -3.6600e-11   1.6393e+10
-6.5000e-01   -3.2130e-11   2.0230e+10
-7.0000e-01   -4.5670e-11   1.5327e+10
-7.5000e-01   -5.0290e-11   1.4914e+10
-8.0000e-01   -5.6670e-11   1.4117e+10
-8.5000e-01   -5.4490e-11   1.5599e+10
-9.0000e-01   -6.2620e-11   1.4372e+10
-9.5000e-01   -8.5090e-11   1.1165e+10
-1.0000e+00   -9.8140e-11   1.0190e+10
-1.0500e+00   -1.0476e-10   1.0023e+10
-1.1000e+00   -1.1901e-10   9.2429e+09
-1.1500e+00   -1.4380e-10   7.9972e+09
-1.2000e+00   -1.7626e-10   6.8081e+09
-1.2500e+00   -1.9600e-10   6.3776e+09
-1.3000e+00   -2.2054e-10   5.8946e+09
-1.3500e+00   -2.9692e-10   4.5467e+09
-1.4000e+00   -3.7304e-10   3.7529e+09
-1.4500e+00   -4.0106e-10   3.6154e+09
-1.5000e+00   -5.0764e-10   2.9548e+09
-1.5000e+00   -4.9255e-10   3.0454e+09
-1.4500e+00   -3.9487e-10   3.6721e+09
-1.4000e+00   -3.0764e-10   4.5508e+09
-1.3500e+00   -2.5446e-10   5.3054e+09
-1.3000e+00   -2.0556e-10   6.3242e+09
-1.2500e+00   -1.7353e-10   7.2034e+09
-1.2000e+00   -1.4340e-10   8.3682e+09
-1.1500e+00   -1.2600e-10   9.1270e+09
-1.1000e+00   -1.0474e-10   1.0502e+10
-1.0500e+00   -7.9040e-11   1.3284e+10
-1.0000e+00   -5.5500e-11   1.8018e+10
-9.5000e-01   -4.6980e-11   2.0221e+10
-9.0000e-01   -3.5240e-11   2.5539e+10
-8.5000e-01   -1.7810e-11   4.7726e+10
-8.0000e-01   -1.3030e-11   6.1397e+10
-7.5000e-01   -9.2400e-12   8.1169e+10
-7.0000e-01   -1.1050e-11   6.3348e+10
-6.5000e-01   -1.2610e-11   5.1546e+10
-6.0000e-01   8.6700e-12   -6.9204e+10
-5.5000e-01   6.7000e-12   -8.2090e+10
-5.0000e-01   -5.9000e-13   8.4746e+11
-4.5000e-01   -2.3800e-12   1.8908e+11
-4.0000e-01   3.9700e-12   -1.0076e+11
-3.5000e-01   1.3160e-11   -2.6596e+10
-3.0000e-01   6.6000e-12   -4.5455e+10
-2.5000e-01   6.5000e-12   -3.8462e+10
-2.0000e-01   4.4600e-12   -4.4843e+10
-1.5000e-01   1.5690e-11   -9.5602e+09
-1.0000e-01   1.8280e-11   -5.4705e+09
-5.0000e-02   9.0700e-12   -5.5127e+09
0.0000e+00   9.5400e-12   0.0000e+00
