  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739668.757722                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -3.8000e-12   -0.0000e+00
5.0000e-02   8.4100e-12   5.9453e+09
1.0000e-01   7.1200e-12   1.4045e+10
1.5000e-01   5.3500e-12   2.8037e+10
2.0000e-01   3.4700e-12   5.7637e+10
2.5000e-01   3.6600e-12   6.8306e+10
3.0000e-01   1.4590e-11   2.0562e+10
3.5000e-01   1.4160e-11   2.4718e+10
4.0000e-01   1.0820e-11   3.6969e+10
4.5000e-01   5.1900e-12   8.6705e+10
5.0000e-01   1.2690e-11   3.9401e+10
5.5000e-01   2.3190e-11   2.3717e+10
6.0000e-01   1.7580e-11   3.4130e+10
6.5000e-01   2.2030e-11   2.9505e+10
7.0000e-01   2.4960e-11   2.8045e+10
7.5000e-01   3.9400e-11   1.9036e+10
8.0000e-01   7.6670e-11   1.0434e+10
8.5000e-01   5.4510e-11   1.5593e+10
9.0000e-01   4.4190e-11   2.0367e+10
9.5000e-01   5.6360e-11   1.6856e+10
1.0000e+00   6.5310e-11   1.5312e+10
1.0000e+00   5.6670e-11   1.7646e+10
9.5000e-01   4.0720e-11   2.3330e+10
9.0000e-01   5.1540e-11   1.7462e+10
8.5000e-01   6.4910e-11   1.3095e+10
8.0000e-01   4.0960e-11   1.9531e+10
7.5000e-01   6.0130e-11   1.2473e+10
7.0000e-01   6.0360e-11   1.1597e+10
6.5000e-01   4.8760e-11   1.3331e+10
6.0000e-01   2.2690e-11   2.6443e+10
5.5000e-01   1.0800e-11   5.0926e+10
5.0000e-01   -6.9000e-13   -7.2464e+11
4.5000e-01   5.0400e-12   8.9286e+10
4.0000e-01   7.1100e-12   5.6259e+10
3.5000e-01   7.2800e-12   4.8077e+10
3.0000e-01   7.9000e-13   3.7975e+11
2.5000e-01   -1.2880e-11   -1.9410e+10
2.0000e-01   -1.3290e-11   -1.5049e+10
1.5000e-01   -1.4470e-11   -1.0366e+10
1.0000e-01   -5.8000e-12   -1.7241e+10
5.0000e-02   -3.6300e-12   -1.3774e+10
0.0000e+00   -1.2820e-11   -0.0000e+00
0.0000e+00   5.1200e-12   0.0000e+00
-5.0000e-02   -4.3000e-13   1.1628e+11
-1.0000e-01   -2.4800e-12   4.0323e+10
-1.5000e-01   -8.4400e-12   1.7773e+10
-2.0000e-01   -1.3730e-11   1.4567e+10
-2.5000e-01   -6.0500e-12   4.1322e+10
-3.0000e-01   -1.0780e-11   2.7829e+10
-3.5000e-01   -1.2860e-11   2.7216e+10
-4.0000e-01   -2.4280e-11   1.6474e+10
-4.5000e-01   -2.1260e-11   2.1167e+10
-5.0000e-01   -1.6780e-11   2.9797e+10
-5.5000e-01   -2.9100e-11   1.8900e+10
-6.0000e-01   -2.6200e-11   2.2901e+10
-6.5000e-01   -3.1100e-11   2.0900e+10
-7.0000e-01   -2.8470e-11   2.4587e+10
-7.5000e-01   -3.0880e-11   2.4288e+10
-8.0000e-01   -4.5220e-11   1.7691e+10
-8.5000e-01   -3.1870e-11   2.6671e+10
-9.0000e-01   -5.2030e-11   1.7298e+10
-9.5000e-01   -6.3470e-11   1.4968e+10
-1.0000e+00   -7.9830e-11   1.2527e+10
-1.0000e+00   -6.6890e-11   1.4950e+10
-9.5000e-01   -4.9550e-11   1.9173e+10
-9.0000e-01   -3.6470e-11   2.4678e+10
-8.5000e-01   -3.1750e-11   2.6772e+10
-8.0000e-01   -3.1440e-11   2.5445e+10
-7.5000e-01   -8.6700e-12   8.6505e+10
-7.0000e-01   -5.4100e-12   1.2939e+11
-6.5000e-01   -5.7600e-12   1.1285e+11
-6.0000e-01   -6.7500e-12   8.8889e+10
-5.5000e-01   -4.5500e-12   1.2088e+11
-5.0000e-01   8.5600e-12   -5.8411e+10
-4.5000e-01   9.5400e-12   -4.7170e+10
-4.0000e-01   5.2000e-12   -7.6923e+10
-3.5000e-01   4.6300e-12   -7.5594e+10
-3.0000e-01   3.2600e-12   -9.2025e+10
-2.5000e-01   1.6010e-11   -1.5615e+10
-2.0000e-01   1.2560e-11   -1.5924e+10
-1.5000e-01   1.6160e-11   -9.2822e+09
-1.0000e-01   1.3770e-11   -7.2622e+09
-5.0000e-02   6.9500e-12   -7.1942e+09
0.0000e+00   1.2510e-11   0.0000e+00
