  Measurement Number     Measurement type
                  14                DC IV

      Measurement ID             SeriesID
       739688.792369                    0

         MeasureMode                Bias1                Bias2
                   1                    0                  3.5

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                  72

        Bias        Current     Resistance
0.0000e+00   3.3700e-12   0.0000e+00
1.0000e-01   4.2480e-11   2.3540e+09
2.0000e-01   1.7382e-10   1.1506e+09
3.0000e-01   4.3049e-10   6.9688e+08
4.0000e-01   7.2347e-10   5.5289e+08
5.0000e-01   1.2418e-09   4.0264e+08
6.0000e-01   1.1776e-09   5.0951e+08
7.0000e-01   2.6262e-09   2.6654e+08
8.0000e-01   3.4087e-09   2.3469e+08
9.0000e-01   2.9651e-09   3.0353e+08
1.0000e+00   3.9474e-09   2.5333e+08
1.1000e+00   5.1151e-09   2.1505e+08
1.2000e+00   6.2809e-09   1.9106e+08
1.3000e+00   7.2893e-09   1.7834e+08
1.4000e+00   8.9767e-09   1.5596e+08
1.5000e+00   1.2608e-08   1.1897e+08
1.6000e+00   1.4857e-08   1.0769e+08
1.7000e+00   1.7167e-08   9.9026e+07
1.8000e+00   2.4946e-08   7.2155e+07
1.9000e+00   3.0149e-08   6.3021e+07
2.0000e+00   3.4705e-08   5.7629e+07
2.1000e+00   4.1699e-08   5.0361e+07
2.2000e+00   5.3158e-08   4.1386e+07
2.3000e+00   6.1881e-08   3.7168e+07
2.4000e+00   8.6819e-08   2.7644e+07
2.5000e+00   1.0624e-07   2.3532e+07
2.6000e+00   1.3108e-07   1.9835e+07
2.7000e+00   2.1792e-07   1.2390e+07
2.8000e+00   3.4356e-07   8.1500e+06
2.9000e+00   2.2704e-07   1.2773e+07
3.0000e+00   2.8120e-07   1.0669e+07
3.1000e+00   2.2272e-07   1.3919e+07
3.2000e+00   2.9300e-07   1.0922e+07
3.3000e+00   3.7418e-07   8.8193e+06
3.4000e+00   4.9870e-07   6.8177e+06
3.5000e+00   9.9996e-07   3.5001e+06
3.5000e+00   9.9994e-07   3.5002e+06
3.4000e+00   9.9996e-07   3.4001e+06
3.3000e+00   9.9998e-07   3.3001e+06
3.2000e+00   1.0000e-06   3.1999e+06
3.1000e+00   9.9994e-07   3.1002e+06
3.0000e+00   9.9996e-07   3.0001e+06
2.9000e+00   9.9996e-07   2.9001e+06
2.8000e+00   8.1012e-07   3.4563e+06
2.7000e+00   6.3674e-07   4.2403e+06
2.6000e+00   5.6304e-07   4.6178e+06
2.5000e+00   5.3330e-07   4.6878e+06
2.4000e+00   4.9640e-07   4.8348e+06
2.3000e+00   3.9612e-07   5.8063e+06
2.2000e+00   3.7142e-07   5.9232e+06
2.1000e+00   3.3972e-07   6.1816e+06
2.0000e+00   2.8206e-07   7.0907e+06
1.9000e+00   2.2920e-07   8.2897e+06
1.8000e+00   1.2832e-07   1.4027e+07
1.7000e+00   1.3952e-07   1.2185e+07
1.6000e+00   7.3760e-08   2.1692e+07
1.5000e+00   6.2690e-08   2.3927e+07
1.4000e+00   5.8721e-08   2.3841e+07
1.3000e+00   2.9431e-08   4.4171e+07
1.2000e+00   1.3868e-08   8.6530e+07
1.1000e+00   1.0879e-08   1.0111e+08
1.0000e+00   6.7804e-09   1.4748e+08
9.0000e-01   5.0912e-09   1.7678e+08
8.0000e-01   3.7798e-09   2.1165e+08
7.0000e-01   2.2908e-09   3.0557e+08
6.0000e-01   1.1913e-09   5.0365e+08
5.0000e-01   6.2977e-10   7.9394e+08
4.0000e-01   2.4858e-10   1.6091e+09
3.0000e-01   1.2670e-11   2.3678e+10
2.0000e-01   -6.5880e-11   -3.0358e+09
1.0000e-01   -1.1011e-10   -9.0818e+08
0.0000e+00   -1.2399e-10   -0.0000e+00
