  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739688.724265                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   2.3680e-11   0.0000e+00
5.0000e-02   3.4280e-11   1.4586e+09
1.0000e-01   3.3080e-11   3.0230e+09
1.5000e-01   6.3510e-11   2.3618e+09
2.0000e-01   1.0084e-10   1.9833e+09
2.5000e-01   1.1827e-10   2.1138e+09
3.0000e-01   1.7727e-10   1.6923e+09
3.5000e-01   2.1911e-10   1.5974e+09
4.0000e-01   3.0051e-10   1.3311e+09
4.5000e-01   3.6785e-10   1.2233e+09
5.0000e-01   4.7582e-10   1.0508e+09
5.5000e-01   6.3086e-10   8.7183e+08
6.0000e-01   7.8854e-10   7.6090e+08
6.5000e-01   1.0150e-09   6.4039e+08
7.0000e-01   1.1906e-09   5.8794e+08
7.5000e-01   1.5658e-09   4.7899e+08
8.0000e-01   1.9054e-09   4.1986e+08
8.5000e-01   2.2202e-09   3.8285e+08
9.0000e-01   2.6069e-09   3.4524e+08
9.5000e-01   3.3501e-09   2.8357e+08
1.0000e+00   3.7533e-09   2.6643e+08
1.0500e+00   4.5328e-09   2.3164e+08
1.1000e+00   5.5198e-09   1.9928e+08
1.1500e+00   7.8255e-09   1.4696e+08
1.2000e+00   9.0243e-09   1.3297e+08
1.2500e+00   8.8152e-09   1.4180e+08
1.3000e+00   1.0347e-08   1.2564e+08
1.3500e+00   1.2050e-08   1.1204e+08
1.4000e+00   1.3486e-08   1.0381e+08
1.4500e+00   1.4994e-08   9.6704e+07
1.5000e+00   1.6372e-08   9.1621e+07
1.5500e+00   1.8496e-08   8.3801e+07
1.6000e+00   1.9537e-08   8.1895e+07
1.6500e+00   2.1225e-08   7.7738e+07
1.7000e+00   2.3223e-08   7.3204e+07
1.7500e+00   2.5405e-08   6.8885e+07
1.8000e+00   2.8700e-08   6.2719e+07
1.8500e+00   3.0991e-08   5.9695e+07
1.9000e+00   3.5041e-08   5.4223e+07
1.9500e+00   3.7360e-08   5.2195e+07
2.0000e+00   4.2631e-08   4.6914e+07
2.0000e+00   4.2153e-08   4.7447e+07
1.9500e+00   4.6226e-08   4.2184e+07
1.9000e+00   4.0503e-08   4.6910e+07
1.8500e+00   3.3655e-08   5.4970e+07
1.8000e+00   2.9704e-08   6.0597e+07
1.7500e+00   2.4608e-08   7.1115e+07
1.7000e+00   2.8737e-08   5.9158e+07
1.6500e+00   2.6185e-08   6.3014e+07
