  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739688.794087                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                  44

        Bias        Current     Resistance
0.0000e+00   1.7100e-11   0.0000e+00
1.0000e-01   2.0702e-08   4.8305e+06
2.0000e-01   4.0613e-08   4.9245e+06
3.0000e-01   6.0211e-08   4.9825e+06
4.0000e-01   7.0533e-08   5.6711e+06
5.0000e-01   1.3274e-07   3.7668e+06
6.0000e-01   9.9998e-07   6.0001e+05
7.0000e-01   9.9996e-07   7.0003e+05
8.0000e-01   1.0000e-06   8.0000e+05
9.0000e-01   9.9996e-07   9.0004e+05
1.0000e+00   9.9998e-07   1.0000e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.0000e-01   9.9996e-07   9.0004e+05
8.0000e-01   9.9996e-07   8.0003e+05
7.0000e-01   9.9996e-07   7.0003e+05
6.0000e-01   9.9998e-07   6.0001e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.0000e-01   9.9996e-07   4.0002e+05
3.0000e-01   5.5584e-07   5.3972e+05
2.0000e-01   1.9856e-07   1.0073e+06
1.0000e-01   3.2248e-08   3.1009e+06
0.0000e+00   7.4100e-12   0.0000e+00
0.0000e+00   3.7400e-12   0.0000e+00
-1.0000e-01   -9.5548e-09   1.0466e+07
-2.0000e-01   -2.3387e-08   8.5517e+06
-3.0000e-01   -6.7057e-08   4.4738e+06
-4.0000e-01   -1.5902e-07   2.5154e+06
-5.0000e-01   -2.3042e-07   2.1700e+06
-6.0000e-01   -1.7252e-07   3.4779e+06
-7.0000e-01   -2.8558e-07   2.4512e+06
-8.0000e-01   -4.8164e-07   1.6610e+06
-9.0000e-01   -9.9990e-07   9.0009e+05
-1.0000e+00   -9.9994e-07   1.0001e+06
-1.0000e+00   -9.9994e-07   1.0001e+06
-9.0000e-01   -9.9998e-07   9.0002e+05
-8.0000e-01   -9.9994e-07   8.0005e+05
-7.0000e-01   -8.8802e-07   7.8827e+05
-6.0000e-01   -6.2646e-07   9.5776e+05
-5.0000e-01   -4.3350e-07   1.1534e+06
-4.0000e-01   -3.4156e-07   1.1711e+06
-3.0000e-01   -2.2294e-07   1.3457e+06
-2.0000e-01   -1.3934e-07   1.4353e+06
-1.0000e-01   -7.4536e-08   1.3416e+06
0.0000e+00   2.6680e-11   0.0000e+00
