  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739688.769137                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -8.8400e-12   -0.0000e+00
5.0000e-02   2.3586e-10   2.1199e+08
1.0000e-01   5.3546e-10   1.8676e+08
1.5000e-01   9.8240e-10   1.5269e+08
2.0000e-01   1.5545e-09   1.2866e+08
2.5000e-01   2.2803e-09   1.0963e+08
3.0000e-01   3.2553e-09   9.2157e+07
3.5000e-01   4.4686e-09   7.8324e+07
4.0000e-01   5.9862e-09   6.6820e+07
4.5000e-01   7.8233e-09   5.7520e+07
5.0000e-01   9.6790e-09   5.1658e+07
5.5000e-01   1.1878e-08   4.6303e+07
6.0000e-01   1.4140e-08   4.2432e+07
6.5000e-01   1.6280e-08   3.9926e+07
7.0000e-01   1.9169e-08   3.6518e+07
7.5000e-01   2.2395e-08   3.3489e+07
8.0000e-01   2.5249e-08   3.1685e+07
8.5000e-01   3.7866e-08   2.2448e+07
9.0000e-01   5.0688e-08   1.7756e+07
9.5000e-01   2.0882e-07   4.5494e+06
1.0000e+00   4.7902e-07   2.0876e+06
1.0000e+00   5.1348e-07   1.9475e+06
9.5000e-01   2.1548e-07   4.4088e+06
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   9.9998e-07   8.0002e+05
7.5000e-01   1.0000e-06   7.5000e+05
7.0000e-01   2.6780e-07   2.6139e+06
6.5000e-01   1.6548e-07   3.9280e+06
6.0000e-01   1.1136e-07   5.3879e+06
5.5000e-01   5.1099e-08   1.0763e+07
5.0000e-01   3.9144e-08   1.2773e+07
4.5000e-01   4.6887e-08   9.5976e+06
4.0000e-01   3.4880e-08   1.1468e+07
3.5000e-01   2.9927e-08   1.1695e+07
3.0000e-01   2.2494e-08   1.3337e+07
2.5000e-01   1.3632e-08   1.8339e+07
2.0000e-01   9.8504e-09   2.0304e+07
1.5000e-01   1.0718e-08   1.3995e+07
1.0000e-01   5.5158e-09   1.8130e+07
5.0000e-02   4.4493e-10   1.1238e+08
0.0000e+00   -3.7000e-12   -0.0000e+00
0.0000e+00   -1.2010e-11   -0.0000e+00
-5.0000e-02   -2.4831e-10   2.0136e+08
-1.0000e-01   -6.3017e-10   1.5869e+08
-1.5000e-01   -1.2395e-09   1.2102e+08
-2.0000e-01   -2.1206e-09   9.4313e+07
-2.5000e-01   -3.2452e-09   7.7037e+07
-3.0000e-01   -4.5388e-09   6.6097e+07
-3.5000e-01   -6.3514e-09   5.5106e+07
-4.0000e-01   -8.2201e-09   4.8661e+07
-4.5000e-01   -1.1009e-08   4.0876e+07
-5.0000e-01   -1.3558e-08   3.6878e+07
-5.5000e-01   -1.6528e-08   3.3278e+07
-6.0000e-01   -2.0001e-08   2.9999e+07
-6.5000e-01   -2.3596e-08   2.7547e+07
-7.0000e-01   -2.7532e-08   2.5425e+07
-7.5000e-01   -3.2186e-08   2.3302e+07
-8.0000e-01   -3.6592e-08   2.1863e+07
-8.5000e-01   -4.1322e-08   2.0570e+07
-9.0000e-01   -4.6254e-08   1.9458e+07
-9.5000e-01   -5.1735e-08   1.8363e+07
-1.0000e+00   -5.7050e-08   1.7528e+07
-1.0000e+00   -5.7515e-08   1.7387e+07
-9.5000e-01   -5.2988e-08   1.7929e+07
-9.0000e-01   -4.7887e-08   1.8794e+07
-8.5000e-01   -4.1359e-08   2.0552e+07
-8.0000e-01   -3.5963e-08   2.2245e+07
-7.5000e-01   -3.1511e-08   2.3801e+07
-7.0000e-01   -2.7782e-08   2.5197e+07
-6.5000e-01   -2.3487e-08   2.7674e+07
-6.0000e-01   -1.9746e-08   3.0387e+07
-5.5000e-01   -1.6351e-08   3.3636e+07
-5.0000e-01   -1.3415e-08   3.7271e+07
-4.5000e-01   -1.0654e-08   4.2238e+07
-4.0000e-01   -8.3549e-09   4.7876e+07
-3.5000e-01   -6.3717e-09   5.4930e+07
-3.0000e-01   -4.5825e-09   6.5466e+07
-2.5000e-01   -3.2231e-09   7.7565e+07
-2.0000e-01   -2.0868e-09   9.5841e+07
-1.5000e-01   -1.1713e-09   1.2806e+08
-1.0000e-01   -6.4017e-10   1.5621e+08
-5.0000e-02   -2.5226e-10   1.9821e+08
0.0000e+00   1.4900e-11   0.0000e+00
