  Measurement Number     Measurement type
                  14           CVSweepNew

      Measurement ID             SeriesID
       739688.773558                    0

         MeasureMode                Start                 Stop
                   1                    0                   -1

                Step           Sweep mode            Frequency
                0.05                    3                 1000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                  42

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.9600e-03 4.6996e+07 4.8022e+05 3.4950e-02 1.0000e+03
-4.4968e-02 4.5675e+07 4.8030e+05 3.4951e-02 1.0000e+03
-9.4808e-02 3.8475e+07 4.8015e+05 3.4950e-02 1.0000e+03
-1.4475e-01 3.2788e+07 4.8001e+05 3.4949e-02 1.0000e+03
-1.9472e-01 2.7592e+07 4.7979e+05 3.4950e-02 1.0000e+03
-2.4550e-01 2.3630e+07 4.7944e+05 3.4950e-02 1.0000e+03
-2.9535e-01 2.0507e+07 4.7915e+05 3.4950e-02 1.0000e+03
-3.4526e-01 1.8415e+07 4.7873e+05 3.4950e-02 1.0000e+03
-3.9502e-01 1.6282e+07 4.7850e+05 3.4950e-02 1.0000e+03
-4.4486e-01 1.4639e+07 4.7792e+05 3.4948e-02 1.0000e+03
-4.9558e-01 1.3137e+07 4.7766e+05 3.4949e-02 1.0000e+03
-5.4559e-01 1.2089e+07 4.7719e+05 3.4950e-02 1.0000e+03
-5.9541e-01 1.1177e+07 4.7641e+05 3.4950e-02 1.0000e+03
-6.4523e-01 1.0558e+07 4.7577e+05 3.4949e-02 1.0000e+03
-6.9510e-01 9.8852e+06 4.7562e+05 3.4950e-02 1.0000e+03
-7.4612e-01 9.5092e+06 4.7513e+05 3.4950e-02 1.0000e+03
-7.9572e-01 8.7208e+06 4.7350e+05 3.4950e-02 1.0000e+03
-8.4573e-01 8.5199e+06 4.7371e+05 3.4951e-02 1.0000e+03
-8.9569e-01 8.1849e+06 4.7309e+05 3.4949e-02 1.0000e+03
-9.4536e-01 7.9680e+06 4.7231e+05 3.4949e-02 1.0000e+03
-9.9625e-01 7.5642e+06 4.7101e+05 3.4949e-02 1.0000e+03
-9.9638e-01 8.0734e+06 4.7155e+05 3.4950e-02 1.0000e+03
-9.4542e-01 8.6369e+06 4.7249e+05 3.4950e-02 1.0000e+03
-8.9569e-01 8.5242e+06 4.7359e+05 3.4949e-02 1.0000e+03
-8.4582e-01 9.0551e+06 4.7435e+05 3.4951e-02 1.0000e+03
-7.9582e-01 9.3507e+06 4.7425e+05 3.4951e-02 1.0000e+03
-7.4613e-01 9.8473e+06 4.7484e+05 3.4950e-02 1.0000e+03
-6.9498e-01 1.0146e+07 4.7571e+05 3.4949e-02 1.0000e+03
-6.4539e-01 1.0745e+07 4.7656e+05 3.4949e-02 1.0000e+03
-5.9546e-01 1.1781e+07 4.7694e+05 3.4950e-02 1.0000e+03
-5.4555e-01 1.2584e+07 4.7744e+05 3.4950e-02 1.0000e+03
-4.9563e-01 1.3792e+07 4.7772e+05 3.4949e-02 1.0000e+03
-4.4478e-01 1.5312e+07 4.7823e+05 3.4950e-02 1.0000e+03
-3.9522e-01 1.6683e+07 4.7857e+05 3.4950e-02 1.0000e+03
-3.4522e-01 1.8870e+07 4.7885e+05 3.4950e-02 1.0000e+03
-2.9545e-01 2.1107e+07 4.7925e+05 3.4950e-02 1.0000e+03
-2.4549e-01 2.4469e+07 4.7931e+05 3.4951e-02 1.0000e+03
-1.9477e-01 2.7231e+07 4.7953e+05 3.4950e-02 1.0000e+03
-1.4470e-01 3.0958e+07 4.7966e+05 3.4950e-02 1.0000e+03
-9.4768e-02 3.6741e+07 4.7976e+05 3.4948e-02 1.0000e+03
-4.5104e-02 4.4117e+07 4.7967e+05 3.4951e-02 1.0000e+03
4.7680e-03 4.5530e+07 4.7938e+05 3.4950e-02 1.0000e+03




