  Measurement Number     Measurement type
                  24                DC IV

      Measurement ID             SeriesID
       739688.790043                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -1.1490e-11   -0.0000e+00
5.0000e-02   2.0778e-10   2.4064e+08
1.0000e-01   4.7586e-10   2.1015e+08
1.5000e-01   8.8004e-10   1.7045e+08
2.0000e-01   1.4573e-09   1.3724e+08
2.5000e-01   2.2288e-09   1.1217e+08
3.0000e-01   3.4725e-09   8.6393e+07
3.5000e-01   3.9370e-09   8.8900e+07
4.0000e-01   5.4778e-09   7.3022e+07
4.5000e-01   3.1585e-08   1.4247e+07
5.0000e-01   5.6874e-08   8.7914e+06
5.5000e-01   9.0960e-08   6.0466e+06
6.0000e-01   1.7178e-07   3.4928e+06
6.5000e-01   3.3946e-07   1.9148e+06
7.0000e-01   3.1068e-07   2.2531e+06
7.5000e-01   3.4366e-07   2.1824e+06
8.0000e-01   4.3150e-07   1.8540e+06
8.5000e-01   6.1616e-07   1.3795e+06
9.0000e-01   7.3714e-07   1.2209e+06
9.5000e-01   7.2446e-07   1.3113e+06
1.0000e+00   1.0000e-06   1.0000e+06
1.0500e+00   9.9994e-07   1.0501e+06
1.1000e+00   9.9998e-07   1.1000e+06
1.1500e+00   9.9996e-07   1.1500e+06
1.2000e+00   9.9992e-07   1.2001e+06
1.2500e+00   9.9996e-07   1.2501e+06
1.3000e+00   9.9996e-07   1.3001e+06
1.3500e+00   1.0000e-06   1.3500e+06
1.4000e+00   9.9994e-07   1.4001e+06
1.4500e+00   9.9996e-07   1.4501e+06
1.5000e+00   9.9996e-07   1.5001e+06
1.5000e+00   9.9996e-07   1.5001e+06
1.4500e+00   9.9998e-07   1.4500e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.3500e+00   9.9996e-07   1.3501e+06
1.3000e+00   9.9996e-07   1.3001e+06
1.2500e+00   9.9996e-07   1.2501e+06
1.2000e+00   9.9996e-07   1.2000e+06
1.1500e+00   9.9996e-07   1.1500e+06
1.1000e+00   9.9994e-07   1.1001e+06
1.0500e+00   9.9998e-07   1.0500e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.5000e-01   9.9998e-07   9.5002e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   9.9996e-07   8.5003e+05
8.0000e-01   9.9996e-07   8.0003e+05
7.5000e-01   9.9996e-07   7.5003e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.9996e-07   6.0002e+05
5.5000e-01   9.9996e-07   5.5002e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.5000e-01   8.4482e-07   5.3266e+05
4.0000e-01   7.1800e-07   5.5710e+05
3.5000e-01   5.4882e-07   6.3773e+05
3.0000e-01   3.9424e-07   7.6096e+05
2.5000e-01   3.1442e-07   7.9511e+05
2.0000e-01   2.2914e-07   8.7283e+05
1.5000e-01   1.1592e-07   1.2940e+06
1.0000e-01   5.3029e-08   1.8858e+06
5.0000e-02   1.9069e-08   2.6221e+06
0.0000e+00   -1.1950e-11   -0.0000e+00
0.0000e+00   6.1800e-12   0.0000e+00
-5.0000e-02   -5.6954e-10   8.7790e+07
-1.0000e-01   -1.0913e-09   9.1634e+07
-1.5000e-01   -1.2589e-09   1.1915e+08
-2.0000e-01   -2.3651e-09   8.4563e+07
-2.5000e-01   -2.7741e-09   9.0119e+07
-3.0000e-01   -3.9826e-09   7.5328e+07
-3.5000e-01   -5.6200e-09   6.2278e+07
-4.0000e-01   -7.4707e-09   5.3543e+07
-4.5000e-01   -9.6290e-09   4.6734e+07
-5.0000e-01   -1.2064e-08   4.1447e+07
-5.5000e-01   -1.4999e-08   3.6669e+07
-6.0000e-01   -1.8048e-08   3.3245e+07
-6.5000e-01   -2.1447e-08   3.0308e+07
-7.0000e-01   -2.4992e-08   2.8009e+07
-7.5000e-01   -2.8952e-08   2.5905e+07
-8.0000e-01   -3.2941e-08   2.4286e+07
-8.5000e-01   -3.7414e-08   2.2719e+07
-9.0000e-01   -4.2141e-08   2.1357e+07
-9.5000e-01   -4.6186e-08   2.0569e+07
-1.0000e+00   -5.1315e-08   1.9487e+07
-1.0000e+00   -5.1043e-08   1.9591e+07
-9.5000e-01   -4.5891e-08   2.0701e+07
-9.0000e-01   -4.1835e-08   2.1513e+07
-8.5000e-01   -3.7375e-08   2.2743e+07
-8.0000e-01   -3.2877e-08   2.4333e+07
-7.5000e-01   -2.8812e-08   2.6031e+07
-7.0000e-01   -2.4935e-08   2.8073e+07
-6.5000e-01   -2.1134e-08   3.0757e+07
-6.0000e-01   -1.7964e-08   3.3399e+07
-5.5000e-01   -1.4901e-08   3.6911e+07
-5.0000e-01   -1.2112e-08   4.1283e+07
-4.5000e-01   -9.6211e-09   4.6772e+07
-4.0000e-01   -7.3772e-09   5.4221e+07
-3.5000e-01   -5.5748e-09   6.2783e+07
-3.0000e-01   -4.0160e-09   7.4701e+07
-2.5000e-01   -2.7301e-09   9.1572e+07
-2.0000e-01   -1.7138e-09   1.1670e+08
-1.5000e-01   -1.0606e-09   1.4143e+08
-1.0000e-01   -5.6286e-10   1.7766e+08
-5.0000e-02   -2.3166e-10   2.1583e+08
0.0000e+00   4.9000e-13   0.0000e+00
