  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739688.725852                   82

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.6870e-11   0.0000e+00
5.0000e-02   1.7870e-11   2.7980e+09
1.0000e-01   1.2400e-11   8.0645e+09
1.5000e-01   2.5830e-11   5.8072e+09
2.0000e-01   3.8970e-11   5.1322e+09
2.5000e-01   4.3850e-11   5.7013e+09
3.0000e-01   4.6490e-11   6.4530e+09
3.5000e-01   7.5960e-11   4.6077e+09
4.0000e-01   1.2487e-10   3.2033e+09
4.5000e-01   1.5945e-10   2.8222e+09
5.0000e-01   1.9697e-10   2.5385e+09
5.5000e-01   2.4823e-10   2.2157e+09
6.0000e-01   4.1828e-09   1.4344e+08
6.5000e-01   1.0661e-08   6.0970e+07
7.0000e-01   6.1974e-07   1.1295e+06
7.5000e-01   2.1678e-06   3.4597e+05
8.0000e-01   1.0000e-05   7.9998e+04
8.5000e-01   9.9998e-06   8.5002e+04
9.0000e-01   9.9995e-06   9.0005e+04
9.5000e-01   9.9998e-06   9.5002e+04
1.0000e+00   9.9989e-06   1.0001e+05
1.0000e+00   9.9989e-06   1.0001e+05
9.5000e-01   9.9995e-06   9.5005e+04
9.0000e-01   1.0001e-05   8.9988e+04
8.5000e-01   1.0000e-05   8.5000e+04
8.0000e-01   9.9999e-06   8.0001e+04
7.5000e-01   9.9999e-06   7.5001e+04
7.0000e-01   9.9998e-06   7.0001e+04
6.5000e-01   9.9995e-06   6.5003e+04
6.0000e-01   1.0000e-05   5.9999e+04
5.5000e-01   9.9994e-06   5.5003e+04
5.0000e-01   9.9998e-06   5.0001e+04
4.5000e-01   1.0000e-05   4.5000e+04
4.0000e-01   9.9998e-06   4.0001e+04
3.5000e-01   9.9997e-06   3.5001e+04
3.0000e-01   9.9998e-06   3.0001e+04
2.5000e-01   9.2634e-06   2.6988e+04
2.0000e-01   6.4566e-06   3.0976e+04
1.5000e-01   4.7640e-06   3.1486e+04
1.0000e-01   2.8591e-06   3.4976e+04
5.0000e-02   1.4020e-06   3.5663e+04
0.0000e+00   -1.8350e-11   -0.0000e+00
0.0000e+00   1.0320e-11   0.0000e+00
-5.0000e-02   -2.0200e-12   2.4752e+10
-1.0000e-01   -1.8060e-11   5.5371e+09
-1.5000e-01   -1.5540e-11   9.6525e+09
-2.0000e-01   -2.1110e-11   9.4742e+09
-2.5000e-01   -4.6770e-11   5.3453e+09
-3.0000e-01   -7.3800e-11   4.0650e+09
-3.5000e-01   -9.2550e-11   3.7817e+09
-4.0000e-01   -1.0888e-10   3.6738e+09
-4.5000e-01   -1.5740e-10   2.8590e+09
-5.0000e-01   -2.2629e-10   2.2096e+09
-5.5000e-01   -3.1654e-10   1.7375e+09
-6.0000e-01   -4.1406e-10   1.4491e+09
-6.5000e-01   -5.0751e-10   1.2808e+09
-7.0000e-01   -6.6322e-10   1.0555e+09
-7.5000e-01   -8.1482e-10   9.2045e+08
-8.0000e-01   -1.0549e-09   7.5837e+08
-8.5000e-01   -1.4294e-09   5.9466e+08
-9.0000e-01   -1.6876e-09   5.3330e+08
-9.5000e-01   -2.0417e-09   4.6530e+08
-1.0000e+00   -2.2767e-09   4.3923e+08
-1.0000e+00   -2.3664e-09   4.2258e+08
-9.5000e-01   -2.1641e-09   4.3898e+08
-9.0000e-01   -1.7067e-09   5.2733e+08
-8.5000e-01   -1.4237e-09   5.9704e+08
-8.0000e-01   -1.1231e-09   7.1231e+08
-7.5000e-01   -9.4061e-10   7.9735e+08
-7.0000e-01   -7.0862e-10   9.8784e+08
-6.5000e-01   -4.7990e-10   1.3544e+09
-6.0000e-01   -3.4652e-10   1.7315e+09
-5.5000e-01   -3.0641e-10   1.7950e+09
-5.0000e-01   -1.9914e-10   2.5108e+09
-4.5000e-01   -1.6306e-10   2.7597e+09
-4.0000e-01   -8.9940e-11   4.4474e+09
-3.5000e-01   -4.9940e-11   7.0084e+09
-3.0000e-01   -3.5340e-11   8.4890e+09
-2.5000e-01   -2.5150e-11   9.9404e+09
-2.0000e-01   -8.3800e-12   2.3866e+10
-1.5000e-01   9.9700e-12   -1.5045e+10
-1.0000e-01   1.4800e-11   -6.7568e+09
-5.0000e-02   1.2230e-11   -4.0883e+09
0.0000e+00   3.4700e-12   0.0000e+00
