  Measurement Number     Measurement type
                  20                DC IV

      Measurement ID             SeriesID
       739688.730650                   92

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.0790e-11   -0.0000e+00
5.0000e-02   1.8085e-09   2.7647e+07
1.0000e-01   3.6979e-09   2.7042e+07
1.5000e-01   6.0780e-09   2.4679e+07
2.0000e-01   8.4781e-09   2.3590e+07
2.5000e-01   1.1837e-08   2.1120e+07
3.0000e-01   1.4768e-08   2.0314e+07
3.5000e-01   1.8689e-08   1.8728e+07
4.0000e-01   2.2542e-08   1.7744e+07
4.5000e-01   2.7625e-08   1.6290e+07
5.0000e-01   3.4315e-08   1.4571e+07
5.5000e-01   4.0920e-08   1.3441e+07
6.0000e-01   5.4816e-08   1.0946e+07
6.5000e-01   7.5788e-08   8.5766e+06
7.0000e-01   3.8780e-07   1.8051e+06
7.5000e-01   5.2728e-07   1.4224e+06
8.0000e-01   9.9994e-07   8.0005e+05
8.5000e-01   9.9994e-07   8.5005e+05
9.0000e-01   9.9982e-07   9.0016e+05
9.5000e-01   9.9994e-07   9.5006e+05
1.0000e+00   9.9990e-07   1.0001e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.5000e-01   9.9996e-07   9.5004e+05
9.0000e-01   9.9996e-07   9.0004e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   9.9998e-07   8.0002e+05
7.5000e-01   9.9996e-07   7.5003e+05
7.0000e-01   1.0001e-06   6.9992e+05
6.5000e-01   9.9996e-07   6.5003e+05
6.0000e-01   9.9994e-07   6.0004e+05
5.5000e-01   9.9996e-07   5.5002e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.5000e-01   1.0000e-06   4.5000e+05
4.0000e-01   1.0000e-06   4.0000e+05
3.5000e-01   9.9996e-07   3.5001e+05
3.0000e-01   9.9998e-07   3.0001e+05
2.5000e-01   1.0000e-06   2.5000e+05
2.0000e-01   9.7056e-07   2.0607e+05
1.5000e-01   5.2912e-07   2.8349e+05
1.0000e-01   3.9308e-07   2.5440e+05
5.0000e-02   1.3264e-08   3.7697e+06
0.0000e+00   -1.0130e-11   -0.0000e+00
0.0000e+00   1.1380e-11   0.0000e+00
-5.0000e-02   -1.8721e-09   2.6708e+07
-1.0000e-01   -3.9756e-09   2.5153e+07
-1.5000e-01   -6.3350e-09   2.3678e+07
-2.0000e-01   -8.9011e-09   2.2469e+07
-2.5000e-01   -1.2269e-08   2.0377e+07
-3.0000e-01   -1.5825e-08   1.8957e+07
-3.5000e-01   -1.9686e-08   1.7779e+07
-4.0000e-01   -2.4260e-08   1.6488e+07
-4.5000e-01   -2.9736e-08   1.5133e+07
-5.0000e-01   -3.4833e-08   1.4354e+07
-5.5000e-01   -4.0515e-08   1.3575e+07
-6.0000e-01   -4.7011e-08   1.2763e+07
-6.5000e-01   -5.4073e-08   1.2021e+07
-7.0000e-01   -6.0481e-08   1.1574e+07
-7.5000e-01   -6.8714e-08   1.0915e+07
-8.0000e-01   -7.7463e-08   1.0328e+07
-8.5000e-01   -8.9153e-08   9.5341e+06
-9.0000e-01   -1.0312e-07   8.7277e+06
-9.5000e-01   -1.0996e-07   8.6395e+06
-1.0000e+00   -1.2486e-07   8.0090e+06
-1.0000e+00   -1.2246e-07   8.1659e+06
-9.5000e-01   -1.1370e-07   8.3553e+06
-9.0000e-01   -1.0712e-07   8.4020e+06
-8.5000e-01   -9.7234e-08   8.7418e+06
-8.0000e-01   -8.5688e-08   9.3362e+06
-7.5000e-01   -7.1885e-08   1.0433e+07
-7.0000e-01   -6.0944e-08   1.1486e+07
-6.5000e-01   -5.2426e-08   1.2398e+07
-6.0000e-01   -4.3824e-08   1.3691e+07
-5.5000e-01   -3.5951e-08   1.5299e+07
-5.0000e-01   -3.1179e-08   1.6036e+07
-4.5000e-01   -2.6017e-08   1.7296e+07
-4.0000e-01   -2.1930e-08   1.8240e+07
-3.5000e-01   -1.7857e-08   1.9600e+07
-3.0000e-01   -1.4230e-08   2.1083e+07
-2.5000e-01   -1.0968e-08   2.2794e+07
-2.0000e-01   -8.4424e-09   2.3690e+07
-1.5000e-01   -5.8783e-09   2.5518e+07
-1.0000e-01   -3.6711e-09   2.7240e+07
-5.0000e-02   -1.6977e-09   2.9452e+07
0.0000e+00   6.2900e-12   0.0000e+00
