  Measurement Number     Measurement type
                  20                DC IV

      Measurement ID             SeriesID
       739688.747376                    0

         MeasureMode                Bias1                Bias2
                   2                    1                 -0.5

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  64

        Bias        Current     Resistance
0.0000e+00   7.8900e-12   0.0000e+00
5.0000e-02   1.9200e-11   2.6042e+09
1.0000e-01   8.7940e-11   1.1371e+09
1.5000e-01   4.4190e-10   3.3944e+08
2.0000e-01   5.1351e-10   3.8948e+08
2.5000e-01   1.3367e-09   1.8703e+08
3.0000e-01   1.8618e-09   1.6113e+08
3.5000e-01   1.0714e-09   3.2668e+08
4.0000e-01   2.4391e-09   1.6399e+08
4.5000e-01   5.8937e-09   7.6353e+07
5.0000e-01   1.3159e-08   3.7996e+07
5.5000e-01   1.5424e-07   3.5659e+06
6.0000e-01   2.0882e-07   2.8733e+06
6.5000e-01   6.3908e-07   1.0171e+06
7.0000e-01   6.8676e-07   1.0193e+06
7.5000e-01   8.1982e-07   9.1483e+05
8.0000e-01   1.0000e-06   8.0000e+05
8.5000e-01   1.0000e-06   8.5000e+05
9.0000e-01   1.0000e-06   9.0000e+05
9.5000e-01   1.0000e-06   9.5000e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.5000e-01   1.0000e-06   9.5000e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   9.9998e-07   8.0002e+05
7.5000e-01   9.9998e-07   7.5002e+05
7.0000e-01   1.0000e-06   7.0000e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.9996e-07   6.0002e+05
5.5000e-01   1.0000e-06   5.5000e+05
5.0000e-01   9.9996e-07   5.0002e+05
4.5000e-01   8.5060e-07   5.2904e+05
4.0000e-01   7.1312e-07   5.6092e+05
3.5000e-01   5.8868e-07   5.9455e+05
3.0000e-01   4.4720e-07   6.7084e+05
2.5000e-01   2.9646e-07   8.4328e+05
2.0000e-01   2.0256e-07   9.8736e+05
1.5000e-01   1.2198e-07   1.2297e+06
1.0000e-01   2.0645e-08   4.8438e+06
5.0000e-02   3.1179e-09   1.6036e+07
0.0000e+00   -3.8200e-12   -0.0000e+00
0.0000e+00   1.0000e-14   0.0000e+00
-5.0000e-02   -1.6359e-09   3.0564e+07
-1.0000e-01   -3.0565e-09   3.2717e+07
-1.5000e-01   -4.9227e-09   3.0471e+07
-2.0000e-01   -6.8040e-09   2.9394e+07
-2.5000e-01   -9.2700e-09   2.6969e+07
-3.0000e-01   -1.2353e-08   2.4285e+07
-3.5000e-01   -1.4653e-08   2.3886e+07
-4.0000e-01   -1.8106e-08   2.2093e+07
-4.5000e-01   -2.1717e-08   2.0721e+07
-5.0000e-01   -2.7276e-08   1.8331e+07
-5.0000e-01   -2.6384e-08   1.8951e+07
-4.5000e-01   -2.0999e-08   2.1430e+07
-4.0000e-01   -1.7974e-08   2.2255e+07
-3.5000e-01   -1.4167e-08   2.4706e+07
-3.0000e-01   -1.1732e-08   2.5572e+07
-2.5000e-01   -9.1224e-09   2.7405e+07
-2.0000e-01   -7.1832e-09   2.7843e+07
-1.5000e-01   -4.9843e-09   3.0094e+07
-1.0000e-01   -3.0066e-09   3.3260e+07
-5.0000e-02   -1.3700e-09   3.6496e+07
0.0000e+00   5.1000e-13   0.0000e+00
