  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739688.734982                   10

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.8600e-12   -0.0000e+00
5.0000e-02   3.4860e-11   1.4343e+09
1.0000e-01   6.8240e-11   1.4654e+09
1.5000e-01   9.3700e-11   1.6009e+09
2.0000e-01   1.3469e-10   1.4849e+09
2.5000e-01   2.0663e-10   1.2099e+09
3.0000e-01   2.8328e-10   1.0590e+09
3.5000e-01   4.0074e-10   8.7338e+08
4.0000e-01   5.3417e-10   7.4883e+08
4.5000e-01   6.8086e-10   6.6093e+08
5.0000e-01   8.6865e-10   5.7561e+08
5.5000e-01   1.1194e-09   4.9133e+08
6.0000e-01   1.3756e-09   4.3617e+08
6.5000e-01   1.6343e-09   3.9772e+08
7.0000e-01   2.0065e-09   3.4887e+08
7.5000e-01   2.3781e-09   3.1538e+08
8.0000e-01   2.8469e-09   2.8101e+08
8.5000e-01   3.3050e-09   2.5719e+08
9.0000e-01   3.7460e-09   2.4026e+08
9.5000e-01   4.3369e-09   2.1905e+08
1.0000e+00   4.9743e-09   2.0103e+08
1.0000e+00   4.7825e-09   2.0910e+08
9.5000e-01   1.0000e-06   9.5000e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   9.9998e-07   8.0002e+05
7.5000e-01   9.9996e-07   7.5003e+05
7.0000e-01   9.9996e-07   7.0003e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   1.0000e-06   6.0000e+05
5.5000e-01   1.0000e-06   5.5000e+05
5.0000e-01   6.9812e-07   7.1621e+05
4.5000e-01   6.3274e-07   7.1119e+05
4.0000e-01   1.9664e-07   2.0342e+06
3.5000e-01   1.2048e-07   2.9050e+06
3.0000e-01   1.1394e-07   2.6330e+06
2.5000e-01   1.0906e-07   2.2923e+06
2.0000e-01   1.1462e-09   1.7449e+08
1.5000e-01   1.1219e-10   1.3370e+09
1.0000e-01   2.2060e-11   4.5331e+09
5.0000e-02   -6.0700e-12   -8.2372e+09
0.0000e+00   -3.6320e-11   -0.0000e+00
0.0000e+00   -1.0460e-11   -0.0000e+00
-5.0000e-02   -4.2220e-11   1.1843e+09
-1.0000e-01   -6.0980e-11   1.6399e+09
-1.5000e-01   -9.1520e-11   1.6390e+09
-2.0000e-01   -1.5205e-10   1.3154e+09
-2.5000e-01   -2.4241e-10   1.0313e+09
-3.0000e-01   -3.3626e-10   8.9217e+08
-3.5000e-01   -4.6375e-10   7.5472e+08
-4.0000e-01   -6.2531e-10   6.3968e+08
-4.5000e-01   -8.1973e-10   5.4896e+08
-5.0000e-01   -1.0127e-09   4.9373e+08
-5.5000e-01   -1.2925e-09   4.2553e+08
-6.0000e-01   -1.5431e-09   3.8883e+08
-6.5000e-01   -1.8962e-09   3.4279e+08
-7.0000e-01   -2.2374e-09   3.1286e+08
-7.5000e-01   -2.6608e-09   2.8187e+08
-8.0000e-01   -3.0390e-09   2.6324e+08
-8.5000e-01   -3.4161e-09   2.4882e+08
-9.0000e-01   -4.0476e-09   2.2235e+08
-9.5000e-01   -4.6036e-09   2.0636e+08
-1.0000e+00   -5.0564e-09   1.9777e+08
-1.0000e+00   -5.1100e-09   1.9569e+08
-9.5000e-01   -4.5042e-09   2.1091e+08
-9.0000e-01   -3.9779e-09   2.2625e+08
-8.5000e-01   -3.4612e-09   2.4558e+08
-8.0000e-01   -2.9875e-09   2.6778e+08
-7.5000e-01   -2.7983e-09   2.6802e+08
-7.0000e-01   -2.1220e-09   3.2988e+08
-6.5000e-01   -1.8553e-09   3.5035e+08
-6.0000e-01   -1.5137e-09   3.9638e+08
-5.5000e-01   -1.2131e-09   4.5338e+08
-5.0000e-01   -9.9370e-10   5.0317e+08
-4.5000e-01   -7.6938e-10   5.8489e+08
-4.0000e-01   -5.7384e-10   6.9706e+08
-3.5000e-01   -4.3946e-10   7.9643e+08
-3.0000e-01   -3.0063e-10   9.9790e+08
-2.5000e-01   -1.9982e-10   1.2511e+09
-2.0000e-01   -1.0539e-10   1.8977e+09
-1.5000e-01   -6.1950e-11   2.4213e+09
-1.0000e-01   -3.5560e-11   2.8121e+09
-5.0000e-02   2.4300e-12   -2.0576e+10
0.0000e+00   3.0270e-11   0.0000e+00
