  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739688.736077                   28

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   4.1000e-12   0.0000e+00
5.0000e-02   3.6260e-11   1.3789e+09
1.0000e-01   6.9470e-11   1.4395e+09
1.5000e-01   8.9960e-11   1.6674e+09
2.0000e-01   1.3552e-10   1.4758e+09
2.5000e-01   1.9941e-10   1.2537e+09
3.0000e-01   2.7966e-10   1.0727e+09
3.5000e-01   4.0397e-10   8.6640e+08
4.0000e-01   5.3143e-10   7.5269e+08
4.5000e-01   7.3287e-10   6.1402e+08
5.0000e-01   9.7061e-10   5.1514e+08
5.5000e-01   1.0939e-09   5.0279e+08
6.0000e-01   1.3769e-09   4.3576e+08
6.5000e-01   1.6872e-09   3.8525e+08
7.0000e-01   1.9914e-09   3.5151e+08
7.5000e-01   2.4090e-09   3.1133e+08
8.0000e-01   2.6265e-09   3.0459e+08
8.5000e-01   3.2899e-09   2.5837e+08
9.0000e-01   3.7424e-09   2.4049e+08
9.5000e-01   6.3344e-07   1.4997e+06
1.0000e+00   7.0802e-07   1.4124e+06
1.0500e+00   7.7300e-07   1.3583e+06
1.1000e+00   8.6250e-07   1.2754e+06
1.1500e+00   9.7274e-07   1.1822e+06
1.2000e+00   1.0000e-06   1.2000e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   9.9996e-07   1.3001e+06
1.3500e+00   1.0000e-06   1.3500e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.5000e+00   9.9996e-07   1.5001e+06
1.5000e+00   9.9994e-07   1.5001e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.4000e+00   9.9998e-07   1.4000e+06
1.3500e+00   9.9996e-07   1.3501e+06
1.3000e+00   9.9996e-07   1.3001e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.2000e+00   1.0000e-06   1.2000e+06
1.1500e+00   4.9454e-07   2.3254e+06
1.1000e+00   7.6012e-07   1.4471e+06
1.0500e+00   8.0220e-07   1.3089e+06
1.0000e+00   6.3506e-07   1.5747e+06
9.5000e-01   6.3816e-07   1.4887e+06
9.0000e-01   5.7902e-07   1.5544e+06
8.5000e-01   5.2010e-07   1.6343e+06
8.0000e-01   4.7202e-07   1.6948e+06
7.5000e-01   4.0712e-07   1.8422e+06
7.0000e-01   3.6458e-07   1.9200e+06
6.5000e-01   3.2460e-07   2.0025e+06
6.0000e-01   2.9458e-07   2.0368e+06
5.5000e-01   2.4390e-07   2.2550e+06
5.0000e-01   1.8958e-07   2.6374e+06
4.5000e-01   1.6894e-07   2.6637e+06
4.0000e-01   1.3864e-07   2.8852e+06
3.5000e-01   1.0762e-07   3.2522e+06
3.0000e-01   8.0467e-08   3.7282e+06
2.5000e-01   6.3035e-08   3.9661e+06
2.0000e-01   4.2365e-08   4.7208e+06
1.5000e-01   2.7972e-08   5.3624e+06
1.0000e-01   1.4647e-08   6.8272e+06
5.0000e-02   6.3043e-09   7.9311e+06
0.0000e+00   -2.0390e-11   -0.0000e+00
0.0000e+00   -1.0700e-11   -0.0000e+00
-5.0000e-02   -3.4690e-11   1.4413e+09
-1.0000e-01   -6.6440e-11   1.5051e+09
-1.5000e-01   -9.5100e-11   1.5773e+09
-2.0000e-01   -1.5175e-10   1.3180e+09
-2.5000e-01   -2.2534e-10   1.1094e+09
-3.0000e-01   -3.4693e-10   8.6473e+08
-3.5000e-01   -4.4459e-10   7.8724e+08
-4.0000e-01   -6.4756e-10   6.1770e+08
-4.5000e-01   -8.1977e-10   5.4893e+08
-5.0000e-01   -1.0446e-09   4.7865e+08
-5.5000e-01   -1.3348e-09   4.1205e+08
-6.0000e-01   -1.5584e-09   3.8501e+08
-6.5000e-01   -1.9101e-09   3.4030e+08
-7.0000e-01   -2.2003e-09   3.1814e+08
-7.5000e-01   -2.6597e-09   2.8199e+08
-8.0000e-01   -3.2887e-09   2.4326e+08
-8.5000e-01   -3.6364e-09   2.3375e+08
-9.0000e-01   -4.1884e-09   2.1488e+08
-9.5000e-01   -4.7072e-09   2.0182e+08
-1.0000e+00   -5.4304e-09   1.8415e+08
-1.0000e+00   -5.3593e-09   1.8659e+08
-9.5000e-01   -4.7688e-09   1.9921e+08
-9.0000e-01   -4.2339e-09   2.1257e+08
-8.5000e-01   -3.6723e-09   2.3146e+08
-8.0000e-01   -3.0763e-09   2.6005e+08
-7.5000e-01   -2.6724e-09   2.8065e+08
-7.0000e-01   -2.2964e-09   3.0482e+08
-6.5000e-01   -1.9058e-09   3.4106e+08
-6.0000e-01   -1.4958e-09   4.0112e+08
-5.5000e-01   -1.3167e-09   4.1771e+08
-5.0000e-01   -1.0306e-09   4.8515e+08
-4.5000e-01   -7.8360e-10   5.7427e+08
-4.0000e-01   -5.9296e-10   6.7458e+08
-3.5000e-01   -4.3235e-10   8.0953e+08
-3.0000e-01   -3.0711e-10   9.7685e+08
-2.5000e-01   -1.8363e-10   1.3614e+09
-2.0000e-01   -1.2664e-10   1.5793e+09
-1.5000e-01   -7.8670e-11   1.9067e+09
-1.0000e-01   -2.4420e-11   4.0950e+09
-5.0000e-02   9.4100e-12   -5.3135e+09
0.0000e+00   3.2540e-11   0.0000e+00
