  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739688.794889                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                  44

        Bias        Current     Resistance
0.0000e+00   -8.8200e-12   -0.0000e+00
1.0000e-01   5.0214e-08   1.9915e+06
2.0000e-01   1.1550e-07   1.7316e+06
3.0000e-01   2.4772e-07   1.2110e+06
4.0000e-01   9.9996e-07   4.0002e+05
5.0000e-01   9.9998e-07   5.0001e+05
6.0000e-01   9.9998e-07   6.0001e+05
7.0000e-01   9.9996e-07   7.0003e+05
8.0000e-01   1.0000e-06   8.0000e+05
9.0000e-01   9.9998e-07   9.0002e+05
1.0000e+00   9.9994e-07   1.0001e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.0000e-01   9.9996e-07   9.0004e+05
8.0000e-01   9.9996e-07   8.0003e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.0000e-01   9.9996e-07   6.0002e+05
5.0000e-01   9.9998e-07   5.0001e+05
4.0000e-01   9.9998e-07   4.0001e+05
3.0000e-01   9.9996e-07   3.0001e+05
2.0000e-01   9.7934e-07   2.0422e+05
1.0000e-01   2.7398e-07   3.6499e+05
0.0000e+00   -1.7200e-11   -0.0000e+00
0.0000e+00   1.4300e-12   0.0000e+00
-1.0000e-01   -5.9529e-08   1.6799e+06
-2.0000e-01   -1.3446e-07   1.4874e+06
-3.0000e-01   -2.0130e-07   1.4903e+06
-4.0000e-01   -3.0442e-07   1.3140e+06
-5.0000e-01   -4.2462e-07   1.1775e+06
-6.0000e-01   -5.3894e-07   1.1133e+06
-7.0000e-01   -7.0236e-07   9.9664e+05
-8.0000e-01   -8.9238e-07   8.9648e+05
-9.0000e-01   -9.9994e-07   9.0005e+05
-1.0000e+00   -9.9994e-07   1.0001e+06
-1.0000e+00   -9.9994e-07   1.0001e+06
-9.0000e-01   -9.9996e-07   9.0004e+05
-8.0000e-01   -8.1208e-07   9.8512e+05
-7.0000e-01   -6.0500e-07   1.1570e+06
-6.0000e-01   -4.5852e-07   1.3086e+06
-5.0000e-01   -3.3264e-07   1.5031e+06
-4.0000e-01   -2.8236e-07   1.4166e+06
-3.0000e-01   -1.8360e-07   1.6340e+06
-2.0000e-01   -1.3004e-07   1.5380e+06
-1.0000e-01   -4.9763e-08   2.0095e+06
0.0000e+00   1.0580e-11   0.0000e+00
