  Measurement Number     Measurement type
                  13               PQPUND

      Measurement ID                     
       739688.752664                     

          First Bias          Second Bias                Steps           Repetition
                   4                   -4                  100                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  198
    Voltages     CurrentP     CurrentC
           0   2.6479e-06   1.7621e-06
    0.080808   9.0459e-05   1.5439e-05
     0.16162   0.00017692   2.8061e-05
     0.24242   0.00026386   4.1152e-05
     0.32323   0.00035118   5.6445e-05
     0.40404   0.00043922   7.2662e-05
     0.48485   0.00052776    9.011e-05
     0.56566   0.00061616   0.00010828
     0.64646   0.00070629   0.00012718
     0.72727   0.00079612   0.00014807
     0.80808   0.00088833   0.00017138
     0.88889   0.00097917   0.00019443
      0.9697    0.0010714    0.0002183
      1.0505    0.0011637   0.00024563
      1.1313    0.0012566   0.00027417
      1.2121    0.0013501    0.0003037
      1.2929     0.001444   0.00033595
      1.3737    0.0015386   0.00037059
      1.4545    0.0016326   0.00040717
      1.5354    0.0017276   0.00044797
      1.6162    0.0018236   0.00049087
       1.697    0.0019208   0.00053723
      1.7778    0.0020172   0.00058544
      1.8586     0.002114   0.00063775
      1.9394     0.002212   0.00069317
      2.0202    0.0023102   0.00075303
       2.101    0.0024073    0.0008168
      2.1818    0.0025065   0.00088323
      2.2626    0.0026064   0.00095141
      2.3434     0.002706     0.001025
      2.4242    0.0028055    0.0010991
      2.5051    0.0029061    0.0011746
      2.5859    0.0030078    0.0012539
      2.6667    0.0031083    0.0013397
      2.7475    0.0032096    0.0014269
      2.8283    0.0033133    0.0015182
      2.9091    0.0034174    0.0016124
      2.9899    0.0035199    0.0017076
      3.0707    0.0036197    0.0018065
      3.1515    0.0037175    0.0019055
      3.2323    0.0038193    0.0020066
      3.3131    0.0039252    0.0021151
      3.3939    0.0040359     0.002225
      3.4747     0.004148     0.002337
      3.5556     0.004259    0.0024459
      3.6364    0.0043596    0.0025456
      3.7172    0.0044359    0.0031418
       3.798    0.0044821    0.0029976
      3.8788    0.0044114    0.0029666
      3.9596    0.0042263    0.0033733
      3.9596    0.0038308    0.0030788
      3.8788    0.0034488    0.0027705
       3.798    0.0031705    0.0036707
      3.7172    0.0028918    0.0034013
      3.6364    0.0026952    0.0032132
      3.5556    0.0025373    0.0030677
      3.4747    0.0024073    0.0029352
      3.3939    0.0022787    0.0028119
      3.3131    0.0021554    0.0026962
      3.2323    0.0020428    0.0025813
      3.1515    0.0019392    0.0024689
      3.0707    0.0018317    0.0023677
      2.9899    0.0017296    0.0022668
      2.9091    0.0016285    0.0021671
      2.8283    0.0015325    0.0020682
      2.7475    0.0014386    0.0019716
      2.6667     0.001348    0.0018741
      2.5859    0.0012607    0.0017789
      2.5051    0.0011777    0.0016832
      2.4242    0.0010977    0.0015941
      2.3434    0.0010205    0.0015051
      2.2626   0.00094602    0.0014182
      2.1818   0.00087424    0.0013301
       2.101   0.00080678    0.0012424
      2.0202   0.00074209      0.00116
      1.9394   0.00068185    0.0010777
      1.8586   0.00062621   0.00099564
      1.7778   0.00057362   0.00091048
       1.697   0.00052429   0.00083669
      1.6162   0.00047749   0.00076307
      1.5354   0.00043478   0.00069096
      1.4545   0.00039492   0.00062246
      1.3737   0.00035831   0.00056263
      1.2929    0.0003228     0.000502
      1.2121   0.00029079   0.00044733
      1.1313   0.00026083   0.00039185
      1.0505   0.00023192   0.00034604
      0.9697   0.00020582   0.00030482
     0.88889   0.00018131   0.00026579
     0.80808   0.00015754   0.00022944
     0.72727   0.00013414   0.00019553
     0.64646   0.00011356   0.00016491
     0.56566   9.4259e-05   0.00013623
     0.48485   7.5955e-05   0.00010975
     0.40404   5.8173e-05   8.5772e-05
     0.32323   4.2343e-05   6.3033e-05
     0.24242   2.8364e-05   4.2314e-05
     0.16162   1.4576e-05   2.3872e-05
    0.080808   1.8597e-06   7.0135e-06
           0  -1.0046e-05  -9.6794e-06
   -0.080808  -2.7009e-05  -0.00010799
    -0.16162  -4.4692e-05  -0.00021475
    -0.24242  -6.2605e-05  -0.00031936
    -0.32323  -8.2929e-05  -0.00042501
    -0.40404  -0.00010484  -0.00052964
    -0.48485   -0.0001296  -0.00063509
    -0.56566  -0.00015398  -0.00073964
    -0.64646  -0.00018137  -0.00084407
    -0.72727  -0.00021167  -0.00094897
    -0.80808  -0.00024235   -0.0010527
    -0.88889  -0.00027754   -0.0011575
     -0.9697  -0.00031557    -0.001261
     -1.0505  -0.00036037   -0.0013654
     -1.1313  -0.00041573   -0.0014692
     -1.2121  -0.00048483   -0.0015728
     -1.2929  -0.00055134   -0.0016763
     -1.3737  -0.00061307   -0.0017802
     -1.4545  -0.00067346    -0.001883
     -1.5354  -0.00073435   -0.0019854
     -1.6162  -0.00079477   -0.0020883
      -1.697  -0.00085441   -0.0021911
     -1.7778  -0.00091774   -0.0022932
     -1.8586  -0.00098601   -0.0023952
     -1.9394   -0.0010589   -0.0024976
     -2.0202   -0.0011932   -0.0025999
      -2.101   -0.0012745   -0.0027008
     -2.1818    -0.001364   -0.0028021
     -2.2626   -0.0014704   -0.0029036
     -2.3434    -0.001567   -0.0030035
     -2.4242   -0.0016638   -0.0031041
     -2.5051   -0.0017654   -0.0032047
     -2.5859   -0.0018964   -0.0033043
     -2.6667   -0.0018137   -0.0034035
     -2.7475   -0.0016604   -0.0035028
     -2.8283   -0.0017007   -0.0036018
     -2.9091   -0.0017837   -0.0036997
     -2.9899   -0.0018521   -0.0037979
     -3.0707   -0.0019371   -0.0038944
     -3.1515   -0.0020176   -0.0039913
     -3.2323   -0.0020932   -0.0040889
     -3.3131   -0.0021071   -0.0041826
     -3.3939   -0.0009363   -0.0042713
     -3.4747  -0.00088321   -0.0043305
     -3.5556   -0.0010951   -0.0040445
     -3.6364  -0.00092781   -0.0023161
     -3.7172   -0.0044844  -0.00021586
      -3.798   -0.0043067   -0.0062129
     -3.8788   -0.0036419   -0.0075568
     -3.9596   -0.0047227   -0.0076886
     -3.9596    -0.004505   -0.0064982
     -3.8788   -0.0042931  -0.00020063
      -3.798   -0.0046107  -0.00026043
     -3.7172   -0.0047445   -0.0045603
     -3.6364   -0.0046016   -0.0038764
     -3.5556   -0.0044406   -0.0015661
     -3.4747   -0.0030045  -9.7745e-05
     -3.3939   -0.0043153  -7.9439e-05
     -3.3131   -0.0042073  -6.9834e-05
     -3.2323   -0.0041024  -6.1991e-05
     -3.1515   -0.0039918  -5.3859e-05
     -3.0707   -0.0038894   -4.665e-05
     -2.9899   -0.0037901  -4.2131e-05
     -2.9091   -0.0036913  -3.6905e-05
     -2.8283   -0.0035924  -3.2085e-05
     -2.7475   -0.0034926  -2.8318e-05
     -2.6667   -0.0033928  -2.5681e-05
     -2.5859   -0.0032937  -2.2475e-05
     -2.5051   -0.0031933  -1.9191e-05
     -2.4242   -0.0030938  -1.7141e-05
     -2.3434   -0.0029931   -1.514e-05
     -2.2626   -0.0028927  -1.3616e-05
     -2.1818   -0.0027914  -1.1811e-05
      -2.101   -0.0026895  -1.0087e-05
     -2.0202   -0.0025889  -8.4737e-06
     -1.9394    -0.002487  -7.6353e-06
     -1.8586   -0.0023844  -6.0874e-06
     -1.7778   -0.0022826  -4.7221e-06
      -1.697     -0.00218  -3.8057e-06
     -1.6162   -0.0020774  -2.8578e-06
     -1.5354   -0.0019749  -2.3874e-06
     -1.4545   -0.0018723  -9.5591e-07
     -1.3737   -0.0017688  -4.8966e-07
     -1.2929   -0.0016647   7.0837e-07
     -1.2121   -0.0015618   9.9481e-07
     -1.1313   -0.0014589   1.7963e-06
     -1.0505   -0.0013545   2.4396e-06
     -0.9697   -0.0012502   2.9518e-06
    -0.88889   -0.0011466   3.7142e-06
    -0.80808   -0.0010425   4.1031e-06
    -0.72727  -0.00093797   4.3575e-06
    -0.64646  -0.00083373   5.4378e-06
    -0.56566  -0.00072917   4.6955e-06
    -0.48485  -0.00062425   5.6336e-06
    -0.40404  -0.00052003   6.0329e-06
    -0.32323  -0.00041473   5.9375e-06
    -0.24242  -0.00030958   5.9193e-06
    -0.16162  -0.00020428   6.0985e-06
   -0.080808   -0.0001005   6.4253e-06
             Leak IV        Points number                  198
    Voltages     CurrentP     CurrentC
   -0.040404  -4.6906e-05  -1.1265e-05
    0.040404   4.3258e-05   4.0021e-06
     0.12121   0.00012995   1.7184e-05
     0.20202    0.0002164    3.012e-05
     0.28283    0.0003036   4.3596e-05
     0.36364     0.000392   5.9852e-05
     0.44444   0.00047988   7.6797e-05
     0.52525   0.00056756   9.4065e-05
     0.60606   0.00065726   0.00011348
     0.68687   0.00074763   0.00013288
     0.76768   0.00083842   0.00015477
     0.84848   0.00092961   0.00017807
     0.92929     0.001021   0.00020216
      1.0101    0.0011145   0.00022797
      1.0909    0.0012066   0.00025523
      1.1717    0.0012995   0.00028469
      1.2525    0.0013932    0.0003147
      1.3333    0.0014876   0.00034866
      1.4141    0.0015824   0.00038464
      1.4949    0.0016766   0.00042298
      1.5758    0.0017722   0.00046519
      1.6566    0.0018698   0.00050901
      1.7374    0.0019661   0.00055646
      1.8182    0.0020625   0.00060754
       1.899    0.0021597    0.0006612
      1.9798    0.0022586   0.00071912
      2.0606     0.002355   0.00078167
      2.1414    0.0024528   0.00084515
      2.2222    0.0025526   0.00091319
       2.303    0.0026543   0.00098511
      2.3838     0.002753    0.0010579
      2.4646    0.0028524    0.0011328
      2.5455    0.0029531    0.0012105
      2.6263    0.0030548    0.0012932
      2.7071    0.0031545    0.0013796
      2.7879    0.0032602    0.0014697
      2.8687    0.0033627    0.0015616
      2.9495    0.0034668    0.0016581
      3.0303    0.0035679    0.0017522
      3.1111    0.0036654    0.0018521
      3.1919    0.0037648    0.0019548
      3.2727    0.0038677     0.002058
      3.3535    0.0039787    0.0021685
      3.4343     0.004089    0.0022765
      3.5152    0.0042045    0.0023953
       3.596    0.0043091    0.0024927
      3.6768    0.0043975    0.0030792
      3.7576    0.0044659    0.0030565
      3.8384    0.0044575    0.0029596
      3.9192    0.0043397    0.0031985
           4    0.0040984    0.0032853
      3.9192    0.0036358    0.0029088
      3.8384    0.0032705    0.0032598
      3.7576    0.0030317      0.00353
      3.6768    0.0027893    0.0033031
       3.596    0.0026152    0.0031428
