  Measurement Number     Measurement type
                   5               PQPUND

      Measurement ID                     
       739688.751483                     

          First Bias          Second Bias                Steps           Repetition
                   3                   -3                   60                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-06                1e-06                1e-06                1e-06

                  IV        Points number                  118
    Voltages     CurrentP     CurrentC
           0   4.9449e-05   2.4953e-05
     0.10169   5.4268e-05   3.4337e-05
     0.20339   5.9374e-05   4.0652e-05
     0.30508   6.3909e-05   4.5368e-05
     0.40678   6.8271e-05   4.9974e-05
     0.50847   7.1354e-05   5.3185e-05
     0.61017   7.4607e-05   5.7925e-05
     0.71186   7.7111e-05   6.2135e-05
     0.81356   7.8903e-05   6.6519e-05
     0.91525   8.0361e-05   7.0853e-05
      1.0169   8.2026e-05   7.3397e-05
      1.1186   8.3308e-05   7.4976e-05
      1.2203   8.4572e-05   7.6739e-05
       1.322   8.6442e-05   7.8076e-05
      1.4237   8.7032e-05   7.8813e-05
      1.5254   8.8724e-05   7.9876e-05
      1.6271   8.9618e-05   8.0142e-05
      1.7288   9.0405e-05   8.0526e-05
      1.8305   9.0834e-05   8.0896e-05
      1.9322   9.2029e-05   8.1617e-05
      2.0339   9.4047e-05   8.1665e-05
      2.1356   9.8383e-05   8.2746e-05
      2.2373   0.00010439   8.2549e-05
       2.339   0.00010956   8.3288e-05
      2.4407    0.0001112   8.3218e-05
      2.5424   0.00011011   8.3561e-05
      2.6441   0.00010507   8.2884e-05
      2.7458   0.00010003    8.352e-05
      2.8475   0.00010005   8.3576e-05
      2.9492   0.00010764    8.816e-05
      2.9492  -1.8428e-05    0.0011536
      2.8475  -3.9981e-05    0.0011536
      2.7458  -4.7695e-05    0.0011536
      2.6441  -5.0918e-05    0.0011536
      2.5424  -5.5508e-05    0.0011536
      2.4407  -5.7815e-05    0.0011536
       2.339  -6.0659e-05    0.0011536
      2.2373  -6.2964e-05    0.0011536
      2.1356  -6.4414e-05    0.0011536
      2.0339  -6.6945e-05    0.0011536
      1.9322  -6.8821e-05    0.0011459
      1.8305  -7.0081e-05    0.0010572
      1.7288  -7.1435e-05   0.00093789
      1.6271   -7.259e-05   0.00082257
      1.5254  -7.3202e-05   0.00071944
      1.4237  -7.4967e-05   0.00061344
       1.322  -7.5589e-05   0.00051606
      1.2203  -7.5856e-05   0.00042929
      1.1186   -7.744e-05   0.00034339
      1.0169  -7.7508e-05   0.00026827
     0.91525  -7.8744e-05   0.00019475
     0.81356  -7.9259e-05   0.00013214
     0.71186  -8.0077e-05   7.7848e-05
     0.61017  -8.0484e-05   3.1485e-05
     0.50847  -8.1586e-05  -3.7318e-06
     0.40678   -8.249e-05  -3.1617e-05
     0.30508  -8.3888e-05  -5.1519e-05
     0.20339  -8.5092e-05   -6.703e-05
     0.10169  -8.5973e-05  -7.7167e-05
           0    -8.89e-05  -8.5079e-05
    -0.10169  -9.0981e-05  -3.0587e-05
    -0.20339  -0.00010004  -4.3437e-05
    -0.30508  -0.00011812  -4.9796e-05
    -0.40678  -0.00013713  -5.3852e-05
    -0.50847  -0.00016056  -5.6668e-05
    -0.61017  -0.00018613    -5.88e-05
    -0.71186    -0.000218  -6.1865e-05
