  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739688.759675                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   6.3000e-13   0.0000e+00
5.0000e-02   2.9000e-13   1.7241e+11
1.0000e-01   1.8800e-12   5.3191e+10
1.5000e-01   4.9000e-13   3.0612e+11
2.0000e-01   1.2200e-12   1.6393e+11
2.5000e-01   -1.8700e-12   -1.3369e+11
3.0000e-01   -3.0000e-14   -1.0000e+13
3.5000e-01   2.3600e-12   1.4831e+11
4.0000e-01   -7.6000e-13   -5.2632e+11
4.5000e-01   1.4200e-12   3.1690e+11
5.0000e-01   2.0000e-13   2.5000e+12
5.5000e-01   3.0000e-13   1.8333e+12
6.0000e-01   4.9200e-12   1.2195e+11
6.5000e-01   8.1000e-13   8.0247e+11
7.0000e-01   2.5100e-12   2.7888e+11
7.5000e-01   1.6900e-12   4.4379e+11
8.0000e-01   3.5700e-12   2.2409e+11
8.5000e-01   4.2000e-12   2.0238e+11
9.0000e-01   -7.8000e-13   -1.1538e+12
9.5000e-01   5.1200e-12   1.8555e+11
1.0000e+00   6.0900e-12   1.6420e+11
1.0000e+00   3.1600e-12   3.1646e+11
9.5000e-01   -4.4000e-13   -2.1591e+12
9.0000e-01   1.9800e-12   4.5455e+11
8.5000e-01   1.8000e-13   4.7222e+12
8.0000e-01   3.0000e-14   2.6667e+13
7.5000e-01   -2.8000e-13   -2.6786e+12
7.0000e-01   -2.1500e-12   -3.2558e+11
6.5000e-01   5.1000e-13   1.2745e+12
6.0000e-01   -4.0000e-14   -1.5000e+13
5.5000e-01   -4.9000e-13   -1.1224e+12
5.0000e-01   -3.3000e-13   -1.5152e+12
4.5000e-01   5.1000e-13   8.8235e+11
4.0000e-01   8.2000e-13   4.8780e+11
3.5000e-01   -1.9700e-12   -1.7766e+11
3.0000e-01   1.1000e-13   2.7273e+12
2.5000e-01   -1.2600e-12   -1.9841e+11
2.0000e-01   1.4000e-13   1.4286e+12
1.5000e-01   -2.2300e-12   -6.7265e+10
1.0000e-01   -5.6100e-12   -1.7825e+10
5.0000e-02   -2.0000e-13   -2.5000e+11
0.0000e+00   -1.1400e-12   -0.0000e+00
0.0000e+00   2.8000e-13   0.0000e+00
-5.0000e-02   -9.0000e-14   5.5556e+11
-1.0000e-01   -2.4000e-13   4.1667e+11
-1.5000e-01   1.0000e-13   -1.5000e+12
-2.0000e-01   2.0000e-14   -1.0000e+13
-2.5000e-01   -8.6000e-13   2.9070e+11
-3.0000e-01   -2.7700e-12   1.0830e+11
-3.5000e-01   -3.7400e-12   9.3583e+10
-4.0000e-01   -2.3800e-12   1.6807e+11
-4.5000e-01   -1.0000e-14   4.5000e+13
-5.0000e-01   -2.1100e-12   2.3697e+11
-5.5000e-01   -4.9700e-12   1.1066e+11
-6.0000e-01   -1.4800e-12   4.0541e+11
-6.5000e-01   -1.5700e-12   4.1401e+11
-7.0000e-01   -1.6500e-12   4.2424e+11
-7.5000e-01   -1.1300e-12   6.6372e+11
-8.0000e-01   -2.1500e-12   3.7209e+11
-8.5000e-01   -2.1000e-13   4.0476e+12
-9.0000e-01   -7.0900e-12   1.2694e+11
-9.5000e-01   -3.4500e-12   2.7536e+11
-1.0000e+00   -2.4900e-12   4.0161e+11
-1.0000e+00   -2.8800e-12   3.4722e+11
-9.5000e-01   -3.4100e-12   2.7859e+11
-9.0000e-01   -1.3900e-12   6.4748e+11
-8.5000e-01   4.9000e-13   -1.7347e+12
-8.0000e-01   3.1100e-12   -2.5723e+11
-7.5000e-01   1.4000e-12   -5.3571e+11
-7.0000e-01   -3.2000e-12   2.1875e+11
-6.5000e-01   -1.2900e-12   5.0388e+11
-6.0000e-01   -8.4000e-13   7.1429e+11
-5.5000e-01   -1.5100e-12   3.6424e+11
-5.0000e-01   -1.8100e-12   2.7624e+11
-4.5000e-01   1.2000e-13   -3.7500e+12
-4.0000e-01   3.1700e-12   -1.2618e+11
-3.5000e-01   2.2300e-12   -1.5695e+11
-3.0000e-01   3.0000e-13   -1.0000e+12
-2.5000e-01   5.8000e-13   -4.3103e+11
-2.0000e-01   3.0000e-12   -6.6667e+10
-1.5000e-01   2.5500e-12   -5.8824e+10
-1.0000e-01   -5.2000e-13   1.9231e+11
-5.0000e-02   -1.0000e-14   5.0000e+12
0.0000e+00   1.9000e-13   0.0000e+00
