  Measurement Number     Measurement type
                  10               PQPUND

      Measurement ID                     
       739688.760630                     

          First Bias          Second Bias                Steps           Repetition
                   3                   -3                   50                   10

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                  980
    Voltages     CurrentP     CurrentC
           0    4.645e-06   3.6506e-06
     0.12245   6.5758e-06   6.3345e-06
      0.2449   6.9861e-06   6.9272e-06
     0.36735   7.0623e-06    7.044e-06
      0.4898   7.0844e-06   7.0584e-06
     0.61224   7.1102e-06   7.0777e-06
     0.73469   7.1218e-06   7.0864e-06
     0.85714   7.1231e-06   7.0602e-06
     0.97959   7.1556e-06    7.093e-06
       1.102   7.1601e-06   7.0822e-06
      1.2245   7.1761e-06   7.0866e-06
      1.3469   7.2264e-06   7.1113e-06
      1.4694   7.2216e-06    7.076e-06
      1.5918   7.2827e-06   7.1077e-06
      1.7143   7.2863e-06   7.1011e-06
      1.8367   7.2906e-06   7.0962e-06
      1.9592   7.3484e-06   7.1172e-06
      2.0816   7.3908e-06    7.103e-06
      2.2041   7.4304e-06   7.1006e-06
      2.3265   7.4383e-06   7.1169e-06
       2.449   7.3833e-06   7.1005e-06
      2.5714   7.3644e-06   7.1182e-06
      2.6939   7.3262e-06   7.1201e-06
      2.8163    7.256e-06   7.1054e-06
      2.9388   7.2393e-06   7.1472e-06
      2.9388  -4.0283e-06  -4.0495e-06
      2.8163  -6.1367e-06   -6.138e-06
      2.6939  -6.7334e-06  -6.7367e-06
      2.5714  -6.9016e-06  -6.8973e-06
       2.449  -6.9472e-06  -6.9502e-06
      2.3265  -6.9708e-06  -6.9671e-06
      2.2041  -6.9647e-06   -6.961e-06
      2.0816  -6.9941e-06  -7.0046e-06
      1.9592  -6.9852e-06  -6.9868e-06
      1.8367  -6.9805e-06  -6.9818e-06
      1.7143  -6.9862e-06  -6.9932e-06
      1.5918  -6.9981e-06  -6.9976e-06
      1.4694  -6.9871e-06  -6.9838e-06
      1.3469  -7.0065e-06  -7.0059e-06
      1.2245  -7.0005e-06  -6.9966e-06
       1.102  -6.9931e-06  -6.9976e-06
     0.97959  -7.0227e-06  -7.0248e-06
     0.85714  -6.9964e-06  -6.9922e-06
     0.73469  -7.0227e-06  -7.0155e-06
     0.61224  -7.0199e-06  -7.0249e-06
      0.4898  -7.0192e-06  -7.0175e-06
     0.36735  -7.0434e-06  -7.0364e-06
      0.2449  -7.0321e-06  -7.0254e-06
     0.12245  -7.0723e-06  -7.0596e-06
           0  -7.0736e-06  -7.0562e-06
    -0.12245  -7.0665e-06   -4.059e-06
     -0.2449  -7.0994e-06  -6.1541e-06
    -0.36735  -7.1511e-06  -6.7457e-06
     -0.4898  -7.2033e-06  -6.8907e-06
    -0.61224  -7.2666e-06  -6.9679e-06
    -0.73469   -7.289e-06  -6.9681e-06
    -0.85714  -7.2846e-06  -6.9739e-06
    -0.97959  -7.2784e-06  -6.9885e-06
      -1.102  -7.2215e-06  -6.9779e-06
     -1.2245  -7.2041e-06  -7.0076e-06
     -1.3469  -7.1987e-06  -7.0076e-06
     -1.4694   -7.184e-06  -6.9904e-06
     -1.5918  -7.2118e-06  -7.0159e-06
     -1.7143  -7.1742e-06  -6.9983e-06
     -1.8367  -7.1321e-06  -7.0062e-06
     -1.9592  -7.1236e-06    -7.01e-06
     -2.0816  -7.0958e-06  -7.0023e-06
     -2.2041  -7.1066e-06  -7.0163e-06
     -2.3265  -7.1077e-06  -7.0257e-06
      -2.449  -7.1047e-06  -7.0122e-06
     -2.5714  -7.1363e-06  -7.0409e-06
     -2.6939  -7.1062e-06  -7.0252e-06
     -2.8163  -7.1029e-06  -7.0269e-06
