  Measurement Number     Measurement type
                  13           PUNDDouble

      Measurement ID                     
       739688.761802                     

        Voltage High          Voltage Low          Repetitions
                   3                   -3                 1000

         Pulse Width     Pulse Separation               Trails
               1e-05                1e-05                1e-06

     Measured points                 1000
         P          U          N          D
7.0481e-11 1.0406e-11 -7.1069e-11 3.1792e-12
8.3709e-11 3.5713e-12 -8.1839e-11 -6.2043e-12
7.6433e-11 1.1183e-11 -7.6342e-11 2.2198e-12
8.6146e-11 1.1176e-11 -8.5936e-11 -1.0252e-11
1.0014e-10 -5.6371e-12 -9.3155e-11 -1.2128e-11
9.6503e-11 -5.0349e-12 -8.7399e-11 3.0741e-12
 7.233e-11 9.4185e-12 -8.5221e-11 -3.7814e-12
7.9346e-11 8.5151e-12 -8.2785e-11 4.1035e-12
7.3478e-11 1.5077e-11 -7.8765e-11 3.9914e-13
7.9108e-11 1.4972e-11 -9.6349e-11 -4.6917e-12
7.4788e-11 8.9213e-12 -9.0501e-11 -6.3163e-12
1.0279e-10 5.8962e-12 -7.6419e-11 -8.6272e-12
9.0312e-11 1.6876e-12 -7.518e-11 -1.7584e-11
9.3408e-11 3.1652e-12 -8.4521e-11 -7.7028e-13
8.9808e-11 2.5349e-12 -7.3632e-11 -9.4885e-12
9.1951e-11 2.3809e-12 -9.2693e-11 -1.0077e-11
9.3429e-11 -4.8528e-12 -8.4094e-11  5.469e-12
9.0578e-11 -8.6832e-13 -8.6993e-11 1.7647e-12
8.4024e-11 1.3515e-11 -8.8688e-11 4.7408e-12
8.5404e-11 1.4215e-12 -7.9808e-11  8.249e-12
7.7561e-11 3.9914e-13 -9.0081e-11 -5.6371e-12
8.9381e-11 -5.2729e-12 -9.1482e-11 -4.0545e-12
 9.172e-11 9.4605e-12 -9.0088e-11 -9.1174e-12
7.3947e-11 8.3961e-12 -8.9255e-11 -8.7042e-12
8.1538e-11 6.6385e-12 -9.3513e-11 7.4017e-12
8.9052e-11 -6.8135e-12 -7.6083e-11 -3.5643e-12
8.8688e-11  5.518e-12 -7.8296e-11 1.4915e-12
 8.492e-11 4.5727e-12 -7.8198e-11 7.1706e-12
9.1818e-11 3.1302e-12 -8.9913e-11 -2.5139e-12
9.2651e-11 -9.6566e-12 -8.408e-11 3.1021e-12
1.0226e-10 -2.668e-12 -7.9087e-11 -5.469e-12
9.6076e-11 3.2212e-13 -8.5873e-11 -1.1694e-12
9.1174e-11 2.2282e-11 -8.6853e-11 1.8627e-12
7.9038e-11 8.5782e-12 -1.0087e-10 -2.3109e-12
9.5459e-11 1.6561e-11 -8.0565e-11 -3.3332e-12
8.0243e-11 1.3732e-11 -7.401e-11 -9.8037e-13
9.0102e-11 -2.584e-12 -7.7358e-11 1.1204e-12
8.6496e-11 1.4663e-11 -8.2532e-11 -7.6328e-12
7.5292e-11 2.2016e-11 -8.5642e-11 -9.3064e-12
9.0754e-11 -3.9565e-12 -7.7974e-11 -1.8816e-11
8.9136e-11 -4.2506e-12 -8.8681e-11 7.4927e-13
9.0389e-11 -6.5194e-12 -7.0376e-11 4.0895e-12
7.5488e-11 8.4311e-12 -9.7861e-11 -1.299e-11
9.2553e-11 9.8036e-13 -8.3345e-11 -3.2772e-12
8.2785e-11 7.9059e-12 -8.5614e-11 -4.4536e-12
9.2175e-11 1.3655e-12 -8.1342e-11 -1.5756e-12
8.8121e-11 7.9549e-12 -8.686e-11 2.2898e-12
8.1979e-11 1.7086e-12 -7.5411e-11 -1.2696e-11
8.6307e-11 -3.6413e-12 -7.2414e-11 -3.5014e-14
8.1328e-11 1.2297e-11 -8.8884e-11 -1.5896e-12
7.7729e-11 7.2267e-12 -8.7721e-11 1.3445e-12
8.6734e-11 5.0489e-12 -9.333e-11 -7.3387e-12
8.4941e-11 1.2255e-11 -7.8814e-11 -3.2422e-12
8.3415e-11 9.3134e-13 -8.7301e-11 -5.8332e-12
   8.2e-11 7.4788e-12 -8.7469e-11 -8.9773e-12
1.0011e-10  2.633e-12 -8.5684e-11 -1.8795e-11
8.7315e-11 6.3303e-12 -7.7883e-11 2.2828e-12
8.9556e-11 9.8316e-12 -8.2869e-11 4.7548e-12
9.5851e-11 -4.0615e-13 -7.761e-11 5.7631e-12
8.8387e-11  1.049e-11 -6.8863e-11 -5.1959e-12
7.8261e-11  2.689e-12 -8.2273e-11 -1.1519e-11
 9.443e-11 6.8485e-12 -8.7924e-11 -7.1216e-12
9.5844e-11 1.0819e-11 -7.8009e-11 2.0448e-12
8.6671e-11  1.119e-11 -8.7322e-11 -5.9452e-12
 8.525e-11 5.8261e-12 -8.5691e-11 -4.0055e-12
8.9605e-11  8.144e-12 -8.9437e-11 -5.427e-12
8.2533e-11 1.4222e-11 -8.9794e-11  1.306e-11
9.4654e-11  2.759e-12 -8.3247e-11 -5.511e-12
1.0042e-10 3.1512e-12 -7.9178e-11 -2.2254e-11
8.6559e-11 7.7029e-12 -7.9998e-11 1.5196e-12
7.9192e-11 4.3346e-12 -9.6125e-11 7.0656e-12
8.7224e-11 4.5727e-12 -9.5788e-11 6.1903e-12
8.3394e-11 4.4606e-12 -7.9276e-11 -5.1819e-13
7.7014e-11 -4.3976e-12 -9.0326e-11 9.3905e-12
 7.964e-11 7.6608e-12  -7.56e-11 -1.4006e-14
8.5292e-11 6.1973e-12 -8.4654e-11 -5.5811e-12
7.5292e-11 1.0994e-11 -8.3548e-11 -4.7338e-12
8.3786e-11  2.829e-12 -8.3184e-11 4.3976e-12
7.7624e-11 4.9438e-12 -8.1657e-11 -9.3555e-12
8.9052e-11 1.4866e-11 -7.317e-11 6.5544e-12
  7.06e-11 5.7771e-12  -8.88e-11 3.1092e-12
8.8415e-11 7.0516e-12 -9.7084e-11 6.8905e-12
8.3114e-11 5.6511e-12 -9.1783e-11 -5.1819e-12
7.6384e-11 3.6764e-12 -8.4094e-11 -2.9761e-12
9.6846e-11 6.0502e-12 -8.9878e-11 -8.8653e-12
9.7217e-11 7.0306e-12 -8.2259e-11 3.0111e-13
8.8009e-11 6.1133e-12 -9.3814e-11 -1.3228e-11
7.7141e-11 1.4439e-11 -8.7098e-11 4.3556e-12
8.2007e-11 1.7801e-11 -8.8191e-11 3.9074e-12
7.9879e-11 1.5049e-11 -1.003e-10 -4.9928e-12
8.1664e-11 -1.4705e-12 -9.0081e-11 -1.217e-11
  9.77e-11 9.8176e-12 -8.025e-11 -1.3725e-12
 8.345e-11 -2.5489e-12 -8.9584e-11 -8.9983e-12
9.7987e-11 -4.6427e-12 -8.9955e-11 -1.2241e-11
7.7995e-11 1.3921e-11 -8.8009e-11 5.1259e-12
8.5053e-11 5.1469e-12 -9.8001e-11 -4.1455e-12
9.4297e-11 7.0726e-13 -9.2385e-11 -1.5056e-12
8.6426e-11 3.3472e-12 -9.5529e-11 -8.6272e-12
8.9115e-11  1.521e-11 -9.6286e-11 1.3935e-12
7.5145e-11 9.5235e-12 -8.7287e-11 3.7044e-12
9.1846e-11 7.4718e-12 -8.3198e-11 -5.6301e-12
1.0188e-10 -1.1764e-12 -9.2385e-11 8.5081e-12
9.1293e-11 3.7464e-12 -8.039e-11 1.1918e-11
9.3884e-11 -2.584e-12 -8.4423e-11 1.6666e-12
 9.644e-11 9.6776e-12 -8.8947e-11 -1.4986e-12
 9.562e-11 -4.9508e-12 -9.5158e-11 5.9522e-13
7.6699e-11 3.9285e-12 -8.5411e-11 -2.0307e-12
7.7806e-11 7.7589e-12 -9.0733e-11 -9.3274e-12
8.8009e-11 -1.7997e-12 -7.7505e-11 -7.1146e-12
9.4486e-11 2.4579e-12 -8.3044e-11 1.2815e-12
8.3359e-11 9.3975e-12 -8.5642e-11 -7.0866e-12
9.1041e-11 8.8443e-12 -9.2455e-11 7.6258e-12
8.5221e-11 1.8879e-11 -8.9143e-11 6.2463e-12
7.6783e-11 1.8487e-11 -8.436e-11 -2.696e-12
7.1798e-11 7.5208e-12 -8.2792e-11 -1.7436e-12
9.6916e-11  8.088e-12 -7.9752e-11 -2.2128e-12
9.6664e-11 -8.4031e-13 -7.8751e-11 -5.9522e-13
 9.228e-11 4.5937e-12 -8.3821e-11 2.8007e-14
8.1419e-11 3.7744e-12 -8.5292e-11 -1.689e-11
9.9864e-11 -2.2968e-12 -1.0579e-10 -7.6328e-12
9.3905e-11 -8.116e-12 -8.2448e-11 -6.0362e-12
8.9213e-11 6.9046e-12 -7.6027e-11 -6.3794e-12
8.2932e-11 -2.3809e-12 -8.7609e-11  2.654e-12
9.2203e-11 7.7729e-12  -9.02e-11 9.1174e-12
