  Measurement Number     Measurement type
                  17           CVSweepNew

      Measurement ID             SeriesID
       739688.763204                    0

         MeasureMode                Start                 Stop
                   1                    3                   -3

                Step           Sweep mode            Frequency
                 0.1                    3                 1000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 122

     Voltage   Resistance    Reactance      ACLevel    Frequency
3.0070e+00 2.3438e+07 9.2080e+06 3.4994e-02 1.0000e+03
2.9062e+00 3.1035e+07 9.3155e+06 3.4993e-02 1.0000e+03
2.8066e+00 4.1169e+07 9.2918e+06 3.4994e-02 1.0000e+03
2.7056e+00 5.5547e+07 9.3275e+06 3.4994e-02 1.0000e+03
2.6060e+00 7.2629e+07 9.3697e+06 3.4994e-02 1.0000e+03
2.5065e+00 8.7309e+07 9.3796e+06 3.4993e-02 1.0000e+03
2.4057e+00 1.1568e+08 9.3489e+06 3.4993e-02 1.0000e+03
2.3060e+00 1.3387e+08 9.4079e+06 3.4993e-02 1.0000e+03
2.2052e+00 1.7067e+08 9.4168e+06 3.4994e-02 1.0000e+03
2.1056e+00 2.1961e+08 9.4227e+06 3.4995e-02 1.0000e+03
2.0059e+00 2.3284e+08 9.4178e+06 3.4994e-02 1.0000e+03
1.9051e+00 2.6937e+08 9.4430e+06 3.4993e-02 1.0000e+03
1.8055e+00 3.0803e+08 9.4703e+06 3.4993e-02 1.0000e+03
1.7048e+00 3.3354e+08 9.4801e+06 3.4994e-02 1.0000e+03
1.6050e+00 3.5266e+08 9.4392e+06 3.4995e-02 1.0000e+03
1.5055e+00 3.4225e+08 9.4783e+06 3.4994e-02 1.0000e+03
1.4047e+00 3.9260e+08 9.4631e+06 3.4993e-02 1.0000e+03
1.3048e+00 3.7871e+08 9.5247e+06 3.4993e-02 1.0000e+03
1.2042e+00 4.2820e+08 9.5111e+06 3.4994e-02 1.0000e+03
1.1044e+00 4.3147e+08 9.4520e+06 3.4994e-02 1.0000e+03
1.0047e+00 4.5446e+08 9.4528e+06 3.4993e-02 1.0000e+03
9.0412e-01 4.9166e+08 9.4943e+06 3.4994e-02 1.0000e+03
8.0437e-01 6.0284e+08 9.5113e+06 3.4993e-02 1.0000e+03
7.0380e-01 5.0392e+08 9.4865e+06 3.4994e-02 1.0000e+03
6.0391e-01 4.5254e+08 9.5109e+06 3.4995e-02 1.0000e+03
5.0419e-01 5.0666e+08 9.4734e+06 3.4994e-02 1.0000e+03
4.0351e-01 4.2799e+08 9.4905e+06 3.4994e-02 1.0000e+03
3.0370e-01 5.4833e+08 9.4412e+06 3.4995e-02 1.0000e+03
2.0313e-01 4.7264e+08 9.4244e+06 3.4994e-02 1.0000e+03
1.0334e-01 6.5358e+08 9.3973e+06 3.4994e-02 1.0000e+03
4.0240e-03 5.9529e+08 9.4320e+06 3.4995e-02 1.0000e+03
-9.5736e-02 4.8438e+08 9.3899e+06 3.4994e-02 1.0000e+03
-1.9570e-01 4.6091e+08 9.3806e+06 3.4993e-02 1.0000e+03
-2.9636e-01 4.7066e+08 9.3600e+06 3.4995e-02 1.0000e+03
-3.9623e-01 4.4358e+08 9.2514e+06 3.4995e-02 1.0000e+03
-4.9653e-01 4.5385e+08 9.2956e+06 3.4994e-02 1.0000e+03
-5.9644e-01 4.6756e+08 9.2703e+06 3.4995e-02 1.0000e+03
-6.9590e-01 5.1756e+08 9.2102e+06 3.4995e-02 1.0000e+03
-7.9683e-01 3.6531e+08 9.2003e+06 3.4994e-02 1.0000e+03
-8.9672e-01 3.6619e+08 9.1519e+06 3.4994e-02 1.0000e+03
-9.9723e-01 3.7228e+08 9.1481e+06 3.4993e-02 1.0000e+03
-1.0970e+00 2.9956e+08 9.1662e+06 3.4995e-02 1.0000e+03
-1.1966e+00 3.2352e+08 9.1752e+06 3.4993e-02 1.0000e+03
-1.2974e+00 2.9360e+08 9.2153e+06 3.4994e-02 1.0000e+03
-1.3971e+00 3.0396e+08 9.3264e+06 3.4996e-02 1.0000e+03
-1.4977e+00 3.1389e+08 9.4389e+06 3.4994e-02 1.0000e+03
-1.5977e+00 3.0289e+08 9.5807e+06 3.4993e-02 1.0000e+03
-1.6972e+00 3.2350e+08 9.6630e+06 3.4994e-02 1.0000e+03
-1.7982e+00 2.8547e+08 9.8174e+06 3.4993e-02 1.0000e+03
-1.8978e+00 2.8556e+08 9.8692e+06 3.4995e-02 1.0000e+03
-1.9983e+00 2.7142e+08 9.9750e+06 3.4995e-02 1.0000e+03
-2.0979e+00 2.2160e+08 1.0065e+07 3.4995e-02 1.0000e+03
-2.1977e+00 1.8372e+08 1.0098e+07 3.4994e-02 1.0000e+03
-2.2984e+00 1.7683e+08 1.0152e+07 3.4995e-02 1.0000e+03
-2.3982e+00 1.4335e+08 1.0210e+07 3.4994e-02 1.0000e+03
-2.4990e+00 1.1660e+08 1.0215e+07 3.4995e-02 1.0000e+03
-2.5986e+00 9.8464e+07 1.0230e+07 3.4995e-02 1.0000e+03
-2.6983e+00 7.9030e+07 1.0252e+07 3.4994e-02 1.0000e+03
-2.7990e+00 6.3168e+07 1.0168e+07 3.4995e-02 1.0000e+03
-2.8987e+00 5.1198e+07 1.0196e+07 3.4993e-02 1.0000e+03
-2.9993e+00 4.0627e+07 1.0238e+07 3.4995e-02 1.0000e+03
-2.9992e+00 4.1515e+07 1.0254e+07 3.4994e-02 1.0000e+03
-2.8987e+00 5.3982e+07 1.0297e+07 3.4994e-02 1.0000e+03
-2.7990e+00 6.9444e+07 1.0321e+07 3.4994e-02 1.0000e+03
-2.6983e+00 8.8341e+07 1.0339e+07 3.4993e-02 1.0000e+03
-2.5986e+00 1.0951e+08 1.0297e+07 3.4995e-02 1.0000e+03
-2.4988e+00 1.3493e+08 1.0361e+07 3.4994e-02 1.0000e+03
-2.3983e+00 1.6531e+08 1.0357e+07 3.4994e-02 1.0000e+03
-2.2984e+00 1.8787e+08 1.0350e+07 3.4992e-02 1.0000e+03
-2.1976e+00 2.2161e+08 1.0295e+07 3.4994e-02 1.0000e+03
-2.0980e+00 2.7089e+08 1.0317e+07 3.4993e-02 1.0000e+03
-1.9983e+00 3.3244e+08 1.0295e+07 3.4993e-02 1.0000e+03
-1.8976e+00 3.4992e+08 1.0284e+07 3.4994e-02 1.0000e+03
-1.7981e+00 4.3078e+08 1.0249e+07 3.4993e-02 1.0000e+03
-1.6973e+00 3.7514e+08 1.0242e+07 3.4994e-02 1.0000e+03
-1.5976e+00 5.5080e+08 1.0227e+07 3.4995e-02 1.0000e+03
-1.4977e+00 6.5105e+08 1.0216e+07 3.4993e-02 1.0000e+03
-1.3970e+00 6.6010e+08 1.0206e+07 3.4994e-02 1.0000e+03
-1.2974e+00 5.8883e+08 1.0144e+07 3.4995e-02 1.0000e+03
-1.1966e+00 7.5815e+08 1.0123e+07 3.4995e-02 1.0000e+03
-1.0970e+00 4.8833e+08 1.0197e+07 3.4994e-02 1.0000e+03
-9.9737e-01 4.8938e+08 1.0159e+07 3.4994e-02 1.0000e+03
-8.9659e-01 6.1442e+08 1.0111e+07 3.4994e-02 1.0000e+03
-7.9678e-01 6.0555e+08 1.0055e+07 3.4994e-02 1.0000e+03
-6.9590e-01 7.9454e+08 1.0063e+07 3.4994e-02 1.0000e+03
