  Measurement Number     Measurement type
                  18           CVSweepNew

      Measurement ID             SeriesID
       739688.763733                    0

         MeasureMode                Start                 Stop
                   1                   -3                    3

                Step           Sweep mode            Frequency
                 0.1                    3                 1000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 122

     Voltage   Resistance    Reactance      ACLevel    Frequency
-2.9991e+00 3.3302e+07 1.0132e+07 3.4994e-02 1.0000e+03
-2.8985e+00 4.6113e+07 1.0238e+07 3.4994e-02 1.0000e+03
-2.7986e+00 6.0166e+07 1.0326e+07 3.4994e-02 1.0000e+03
-2.6980e+00 7.7085e+07 1.0337e+07 3.4995e-02 1.0000e+03
-2.5983e+00 9.5711e+07 1.0312e+07 3.4994e-02 1.0000e+03
-2.4987e+00 1.1426e+08 1.0408e+07 3.4994e-02 1.0000e+03
-2.3981e+00 1.4705e+08 1.0353e+07 3.4994e-02 1.0000e+03
-2.2980e+00 1.6833e+08 1.0341e+07 3.4994e-02 1.0000e+03
-2.1974e+00 2.1180e+08 1.0338e+07 3.4995e-02 1.0000e+03
-2.0976e+00 2.5623e+08 1.0277e+07 3.4994e-02 1.0000e+03
-1.9981e+00 2.9934e+08 1.0311e+07 3.4994e-02 1.0000e+03
-1.8975e+00 3.5892e+08 1.0261e+07 3.4994e-02 1.0000e+03
-1.7978e+00 3.4142e+08 1.0222e+07 3.4995e-02 1.0000e+03
-1.6970e+00 4.2190e+08 1.0254e+07 3.4994e-02 1.0000e+03
-1.5973e+00 4.4252e+08 1.0213e+07 3.4995e-02 1.0000e+03
-1.4974e+00 5.7477e+08 1.0196e+07 3.4994e-02 1.0000e+03
-1.3968e+00 4.5410e+08 1.0183e+07 3.4995e-02 1.0000e+03
-1.2972e+00 6.8892e+08 1.0210e+07 3.4995e-02 1.0000e+03
-1.1964e+00 5.0373e+08 1.0139e+07 3.4994e-02 1.0000e+03
-1.0967e+00 5.8472e+08 1.0138e+07 3.4994e-02 1.0000e+03
-9.9703e-01 4.4968e+08 1.0107e+07 3.4995e-02 1.0000e+03
-8.9638e-01 7.5987e+08 1.0070e+07 3.4994e-02 1.0000e+03
-7.9657e-01 6.4955e+08 1.0069e+07 3.4994e-02 1.0000e+03
-6.9570e-01 6.1011e+08 1.0030e+07 3.4994e-02 1.0000e+03
-5.9618e-01 5.2381e+08 1.0033e+07 3.4994e-02 1.0000e+03
-4.9629e-01 5.6625e+08 9.9843e+06 3.4995e-02 1.0000e+03
-3.9574e-01 6.0665e+08 1.0008e+07 3.4995e-02 1.0000e+03
-2.9611e-01 4.4222e+08 9.9523e+06 3.4994e-02 1.0000e+03
-1.9545e-01 6.0513e+08 9.8662e+06 3.4995e-02 1.0000e+03
-9.5504e-02 6.1723e+08 9.8249e+06 3.4995e-02 1.0000e+03
4.3520e-03 5.4293e+08 9.8050e+06 3.4996e-02 1.0000e+03
1.0362e-01 5.7408e+08 9.7458e+06 3.4995e-02 1.0000e+03
2.0344e-01 5.8837e+08 9.7464e+06 3.4994e-02 1.0000e+03
3.0398e-01 5.2231e+08 9.6785e+06 3.4995e-02 1.0000e+03
4.0382e-01 4.8751e+08 9.6774e+06 3.4995e-02 1.0000e+03
5.0459e-01 4.3633e+08 9.5744e+06 3.4994e-02 1.0000e+03
6.0415e-01 4.2690e+08 9.5234e+06 3.4994e-02 1.0000e+03
7.0411e-01 5.2135e+08 9.4641e+06 3.4994e-02 1.0000e+03
8.0451e-01 4.5877e+08 9.4143e+06 3.4995e-02 1.0000e+03
9.0441e-01 3.7826e+08 9.3667e+06 3.4994e-02 1.0000e+03
1.0050e+00 3.8474e+08 9.3065e+06 3.4995e-02 1.0000e+03
1.1049e+00 3.8401e+08 9.2036e+06 3.4994e-02 1.0000e+03
1.2043e+00 3.7132e+08 9.1811e+06 3.4994e-02 1.0000e+03
1.3051e+00 3.1672e+08 9.1147e+06 3.4995e-02 1.0000e+03
1.4050e+00 3.1638e+08 9.0891e+06 3.4995e-02 1.0000e+03
1.5057e+00 3.0328e+08 9.0652e+06 3.4996e-02 1.0000e+03
1.6054e+00 2.6166e+08 9.0640e+06 3.4995e-02 1.0000e+03
1.7050e+00 2.4509e+08 9.0905e+06 3.4995e-02 1.0000e+03
1.8057e+00 2.5422e+08 9.1106e+06 3.4994e-02 1.0000e+03
1.9054e+00 2.4666e+08 9.1081e+06 3.4995e-02 1.0000e+03
2.0062e+00 1.9503e+08 9.2305e+06 3.4994e-02 1.0000e+03
2.1059e+00 1.9592e+08 9.2478e+06 3.4995e-02 1.0000e+03
2.2056e+00 1.9342e+08 9.3267e+06 3.4996e-02 1.0000e+03
2.3063e+00 1.5739e+08 9.3039e+06 3.4995e-02 1.0000e+03
2.4061e+00 1.2102e+08 9.3194e+06 3.4994e-02 1.0000e+03
2.5068e+00 9.5782e+07 9.3617e+06 3.4995e-02 1.0000e+03
2.6063e+00 6.1701e+07 9.3761e+06 3.4995e-02 1.0000e+03
2.7061e+00 4.7595e+07 9.3957e+06 3.4994e-02 1.0000e+03
2.8068e+00 3.4040e+07 9.4287e+06 3.4995e-02 1.0000e+03
2.9066e+00 2.4151e+07 9.3335e+06 3.4995e-02 1.0000e+03
3.0074e+00 1.8808e+07 9.2745e+06 3.4993e-02 1.0000e+03
3.0073e+00 1.7223e+07 9.4936e+06 3.4994e-02 1.0000e+03
2.9066e+00 2.2230e+07 9.4369e+06 3.4994e-02 1.0000e+03
2.8069e+00 2.9108e+07 9.3550e+06 3.4995e-02 1.0000e+03
2.7060e+00 4.2580e+07 9.5263e+06 3.4995e-02 1.0000e+03
2.6064e+00 5.5236e+07 9.4180e+06 3.4994e-02 1.0000e+03
2.5068e+00 5.9295e+07 9.4942e+06 3.4994e-02 1.0000e+03
2.4061e+00 7.3432e+07 9.6253e+06 3.4994e-02 1.0000e+03
2.3063e+00 9.9655e+07 9.4500e+06 3.4993e-02 1.0000e+03
2.2056e+00 1.1987e+08 9.5017e+06 3.4995e-02 1.0000e+03
2.1060e+00 1.3176e+08 9.5459e+06 3.4995e-02 1.0000e+03
2.0062e+00 1.2460e+08 9.5611e+06 3.4996e-02 1.0000e+03
1.9055e+00 1.5838e+08 9.5061e+06 3.4994e-02 1.0000e+03
1.8057e+00 2.1802e+08 9.4070e+06 3.4995e-02 1.0000e+03
1.7051e+00 1.8225e+08 9.5445e+06 3.4996e-02 1.0000e+03
1.6054e+00 2.2679e+08 9.5036e+06 3.4995e-02 1.0000e+03
1.5057e+00 2.4495e+08 9.5284e+06 3.4994e-02 1.0000e+03
1.4051e+00 2.5394e+08 9.4640e+06 3.4994e-02 1.0000e+03
1.3052e+00 3.6903e+08 9.4989e+06 3.4995e-02 1.0000e+03
1.2044e+00 3.6010e+08 9.5070e+06 3.4994e-02 1.0000e+03
1.1048e+00 4.0930e+08 9.5424e+06 3.4995e-02 1.0000e+03
1.0051e+00 4.8400e+08 9.5533e+06 3.4994e-02 1.0000e+03
9.0454e-01 5.6023e+08 9.5543e+06 3.4994e-02 1.0000e+03
8.0466e-01 3.9828e+08 9.5290e+06 3.4994e-02 1.0000e+03
7.0407e-01 5.4044e+08 9.4980e+06 3.4994e-02 1.0000e+03
