  Measurement Number     Measurement type
                   7               PQPUND

      Measurement ID                     
       739688.760318                     

          First Bias          Second Bias                Steps           Repetition
                 2.7                 -2.7                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
           0   4.1851e-06   3.3214e-06
      0.1102   5.9017e-06   5.6877e-06
     0.22041   6.2631e-06   6.2231e-06
     0.33061   6.3402e-06    6.318e-06
     0.44082   6.3478e-06   6.3387e-06
     0.55102   6.3836e-06   6.3624e-06
     0.66122   6.3661e-06   6.3441e-06
     0.77143   6.3867e-06   6.3522e-06
     0.88163   6.3905e-06   6.3506e-06
     0.99184   6.4235e-06   6.3778e-06
       1.102   6.4218e-06   6.3562e-06
      1.2122    6.441e-06   6.3705e-06
      1.3224   6.4742e-06   6.3703e-06
      1.4327   6.4717e-06   6.3687e-06
      1.5429   6.5121e-06    6.381e-06
      1.6531   6.5044e-06   6.3725e-06
      1.7633   6.5154e-06   6.3872e-06
      1.8735   6.5068e-06   6.3745e-06
      1.9837   6.5248e-06   6.3936e-06
      2.0939   6.5736e-06   6.3944e-06
      2.2041    6.592e-06    6.382e-06
      2.3143   6.6179e-06   6.3948e-06
      2.4245   6.5955e-06   6.3864e-06
      2.5347   6.5709e-06   6.4025e-06
      2.6449   6.4989e-06   6.4095e-06
      2.6449  -3.6187e-06  -3.6278e-06
      2.5347  -5.5499e-06   -5.556e-06
      2.4245  -6.0469e-06  -6.0499e-06
      2.3143  -6.2179e-06  -6.2254e-06
      2.2041  -6.2491e-06    -6.25e-06
      2.0939  -6.2918e-06  -6.2911e-06
      1.9837  -6.2816e-06  -6.2805e-06
      1.8735  -6.2699e-06  -6.2762e-06
      1.7633  -6.2991e-06  -6.2932e-06
      1.6531  -6.2771e-06  -6.2814e-06
      1.5429  -6.3068e-06  -6.3024e-06
      1.4327  -6.2737e-06  -6.2815e-06
      1.3224  -6.3014e-06  -6.3098e-06
      1.2122   -6.299e-06  -6.2978e-06
       1.102  -6.2913e-06  -6.2896e-06
     0.99184  -6.3036e-06  -6.3037e-06
     0.88163  -6.2944e-06  -6.2956e-06
     0.77143  -6.3098e-06  -6.3056e-06
     0.66122  -6.2917e-06   -6.302e-06
     0.55102  -6.3244e-06  -6.3249e-06
     0.44082  -6.3103e-06  -6.3066e-06
     0.33061  -6.3156e-06  -6.3159e-06
     0.22041  -6.3327e-06   -6.329e-06
      0.1102  -6.3311e-06  -6.3335e-06
           0  -6.3529e-06  -6.3335e-06
     -0.1102  -6.3358e-06  -3.6368e-06
    -0.22041  -6.3566e-06  -5.5447e-06
    -0.33061  -6.3801e-06   -6.056e-06
    -0.44082  -6.4332e-06  -6.2162e-06
    -0.55102  -6.4437e-06  -6.2624e-06
    -0.66122  -6.4687e-06  -6.2697e-06
    -0.77143  -6.4664e-06  -6.2803e-06
    -0.88163  -6.4605e-06  -6.2798e-06
    -0.99184  -6.4405e-06  -6.2831e-06
      -1.102  -6.4179e-06  -6.2829e-06
     -1.2122  -6.4415e-06  -6.3073e-06
     -1.3224  -6.4289e-06  -6.3017e-06
     -1.4327   -6.444e-06  -6.2949e-06
     -1.5429  -6.4404e-06  -6.3008e-06
     -1.6531  -6.4303e-06  -6.2947e-06
     -1.7633   -6.409e-06  -6.3027e-06
     -1.8735   -6.385e-06  -6.3012e-06
     -1.9837  -6.3928e-06  -6.3131e-06
     -2.0939   -6.362e-06   -6.304e-06
     -2.2041  -6.3669e-06  -6.3077e-06
     -2.3143  -6.3526e-06    -6.31e-06
     -2.4245  -6.3514e-06  -6.3034e-06
     -2.5347  -6.3719e-06  -6.3266e-06
     -2.6449  -6.3811e-06  -6.3243e-06
     -2.6449   3.2798e-06   3.2898e-06
     -2.5347   5.6922e-06   5.6986e-06
     -2.4245   6.1941e-06   6.1996e-06
     -2.3143   6.3182e-06    6.323e-06
     -2.2041   6.3189e-06   6.3262e-06
     -2.0939   6.3332e-06   6.3336e-06
     -1.9837   6.3444e-06    6.349e-06
     -1.8735   6.3255e-06   6.3267e-06
     -1.7633   6.3515e-06   6.3663e-06
     -1.6531   6.3348e-06   6.3325e-06
     -1.5429   6.3539e-06   6.3614e-06
     -1.4327   6.3445e-06    6.343e-06
     -1.3224   6.3554e-06   6.3585e-06
     -1.2122    6.363e-06    6.364e-06
      -1.102   6.3439e-06    6.342e-06
    -0.99184   6.3569e-06   6.3635e-06
    -0.88163   6.3407e-06   6.3421e-06
    -0.77143   6.3607e-06   6.3695e-06
    -0.66122   6.3611e-06   6.3511e-06
    -0.55102   6.3672e-06    6.372e-06
    -0.44082   6.3727e-06   6.3703e-06
    -0.33061    6.352e-06   6.3544e-06
    -0.22041   6.3787e-06   6.3858e-06
     -0.1102   6.3621e-06   6.3523e-06
             Leak IV        Points number                   98
    Voltages     CurrentP     CurrentC
   -0.055102  -2.0167e-06  -3.0332e-06
    0.055102   1.9217e-06   1.4751e-06
     0.16531   2.7072e-06   2.6093e-06
     0.27551   2.8613e-06   2.8314e-06
     0.38571   2.8961e-06   2.8858e-06
     0.49592   2.8962e-06   2.8761e-06
     0.60612   2.9179e-06   2.9019e-06
     0.71633   2.9072e-06    2.892e-06
     0.82653   2.9191e-06   2.9003e-06
     0.93673   2.9226e-06   2.8988e-06
      1.0469   2.9315e-06   2.9042e-06
      1.1571   2.9478e-06   2.9048e-06
      1.2673   2.9545e-06   2.9045e-06
      1.3776   2.9893e-06   2.9228e-06
      1.4878   2.9805e-06   2.9015e-06
       1.598   3.0042e-06   2.9194e-06
      1.7082   2.9984e-06   2.9107e-06
      1.8184   2.9969e-06   2.9165e-06
      1.9286   3.0163e-06   2.9238e-06
      2.0388   3.0188e-06   2.9147e-06
       2.149   3.0601e-06   2.9293e-06
      2.2592   3.0717e-06   2.9218e-06
      2.3694   3.0879e-06   2.9257e-06
      2.4796   3.0629e-06   2.9228e-06
      2.5898   3.0207e-06    2.934e-06
         2.7   3.0214e-06   2.9571e-06
      2.5898   -1.576e-06  -1.5846e-06
      2.4796  -2.5509e-06  -2.5657e-06
      2.3694   -2.836e-06  -2.8272e-06
      2.2592  -2.9205e-06  -2.9237e-06
       2.149  -2.9413e-06  -2.9353e-06
      2.0388  -2.9507e-06  -2.9642e-06
      1.9286  -2.9589e-06   -2.967e-06
      1.8184  -2.9691e-06  -2.9637e-06
      1.7082  -2.9665e-06  -2.9733e-06
       1.598  -2.9626e-06  -2.9503e-06
      1.4878  -2.9777e-06  -2.9826e-06
      1.3776  -2.9701e-06   -2.962e-06
      1.2673   -2.977e-06   -2.977e-06
      1.1571  -2.9779e-06  -2.9797e-06
      1.0469  -2.9725e-06  -2.9759e-06
     0.93673  -2.9904e-06  -2.9895e-06
     0.82653  -2.9801e-06  -2.9735e-06
     0.71633  -2.9873e-06  -2.9863e-06
     0.60612   -2.979e-06  -2.9797e-06
     0.49592  -2.9937e-06  -2.9958e-06
     0.38571  -2.9992e-06   -2.995e-06
     0.27551  -2.9953e-06  -2.9889e-06
     0.16531  -3.0089e-06  -3.0055e-06
    0.055102  -2.9909e-06  -2.9947e-06
   -0.055102  -3.0175e-06   2.9126e-06
    -0.16531  -3.0118e-06  -1.5965e-06
    -0.27551  -3.0431e-06  -2.5778e-06
    -0.38571  -3.0557e-06  -2.8447e-06
    -0.49592   -3.076e-06  -2.9287e-06
    -0.60612  -3.1087e-06  -2.9664e-06
    -0.71633  -3.1031e-06  -2.9616e-06
    -0.82653  -3.1145e-06  -2.9757e-06
    -0.93673  -3.0885e-06    -2.97e-06
     -1.0469  -3.0793e-06  -2.9739e-06
     -1.1571  -3.0667e-06  -2.9794e-06
     -1.2673  -3.0709e-06  -2.9781e-06
     -1.3776  -3.0826e-06  -2.9904e-06
     -1.4878  -3.0931e-06  -2.9895e-06
      -1.598  -3.0865e-06  -2.9958e-06
     -1.7082  -3.0757e-06  -2.9943e-06
     -1.8184  -3.0682e-06   -2.995e-06
     -1.9286  -3.0549e-06  -2.9974e-06
     -2.0388  -3.0487e-06  -2.9931e-06
      -2.149  -3.0458e-06  -3.0067e-06
     -2.2592  -3.0397e-06  -2.9998e-06
     -2.3694  -3.0432e-06  -3.0103e-06
     -2.4796  -3.0397e-06  -3.0061e-06
     -2.5898  -3.0444e-06  -3.0061e-06
        -2.7  -3.0758e-06  -3.0349e-06
     -2.5898     1.46e-06   1.4754e-06
     -2.4796    2.608e-06   2.6026e-06
     -2.3694   2.8201e-06   2.8323e-06
     -2.2592    2.884e-06   2.8846e-06
      -2.149   2.8814e-06   2.8881e-06
     -2.0388   2.8985e-06   2.9004e-06
     -1.9286   2.8893e-06   2.8897e-06
     -1.8184   2.8931e-06   2.8972e-06
     -1.7082   2.9083e-06   2.9018e-06
      -1.598    2.894e-06   2.8979e-06
     -1.4878   2.9038e-06   2.9032e-06
     -1.3776   2.8958e-06   2.9022e-06
     -1.2673   2.9148e-06   2.9126e-06
     -1.1571   2.9068e-06    2.918e-06
     -1.0469   2.9048e-06   2.9082e-06
    -0.93673   2.9099e-06   2.9086e-06
    -0.82653   2.9026e-06   2.9055e-06
    -0.71633   2.9187e-06   2.9145e-06
    -0.60612   2.9036e-06   2.9133e-06
    -0.49592   2.9189e-06   2.9141e-06
    -0.38571   2.9219e-06   2.9246e-06
    -0.27551   2.9093e-06   2.9099e-06
    -0.16531   2.9222e-06   2.9235e-06

                  QV        Points number                   98
     Voltage       Charge
           0   8.6372e-12
      0.1102   1.0777e-11
     0.22041   1.1178e-11
     0.33061   1.1399e-11
     0.44082    1.149e-11
     0.55102   1.1702e-11
     0.66122   1.1922e-11
     0.77143   1.2266e-11
     0.88163   1.2665e-11
     0.99184   1.3122e-11
       1.102   1.3777e-11
      1.2122   1.4482e-11
      1.3224   1.5521e-11
      1.4327   1.6551e-11
      1.5429   1.7863e-11
      1.6531   1.9181e-11
      1.7633   2.0463e-11
      1.8735   2.1786e-11
      1.9837   2.3099e-11
      2.0939   2.4891e-11
      2.2041    2.699e-11
      2.3143   2.9221e-11
      2.4245   3.1312e-11
      2.5347   3.2996e-11
      2.6449    3.389e-11
      2.6449   3.3981e-11
      2.5347   3.4043e-11
      2.4245   3.4073e-11
      2.3143   3.4149e-11
      2.2041   3.4157e-11
      2.0939   3.4149e-11
      1.9837   3.4139e-11
      1.8735   3.4201e-11
      1.7633   3.4142e-11
      1.6531   3.4185e-11
      1.5429   3.4141e-11
      1.4327   3.4219e-11
      1.3224   3.4303e-11
      1.2122   3.4291e-11
       1.102   3.4275e-11
     0.99184   3.4276e-11
     0.88163   3.4288e-11
     0.77143   3.4245e-11
     0.66122   3.4347e-11
     0.55102   3.4352e-11
     0.44082   3.4316e-11
     0.33061   3.4319e-11
     0.22041   3.4282e-11
      0.1102   3.4306e-11
           0   3.4113e-11
     -0.1102   7.1224e-12
    -0.22041  -9.9631e-13
    -0.33061  -4.2375e-12
    -0.44082  -6.4077e-12
    -0.55102  -8.2205e-12
    -0.66122   -1.021e-11
    -0.77143  -1.2072e-11
    -0.88163  -1.3879e-11
    -0.99184  -1.5453e-11
      -1.102  -1.6803e-11
     -1.2122  -1.8145e-11
     -1.3224  -1.9417e-11
     -1.4327  -2.0908e-11
     -1.5429  -2.2305e-11
     -1.6531   -2.366e-11
     -1.7633  -2.4723e-11
     -1.8735  -2.5561e-11
     -1.9837  -2.6357e-11
     -2.0939  -2.6937e-11
     -2.2041  -2.7529e-11
     -2.3143  -2.7955e-11
     -2.4245  -2.8435e-11
     -2.5347  -2.8888e-11
     -2.6449  -2.9456e-11
     -2.6449  -2.9556e-11
     -2.5347  -2.9621e-11
     -2.4245  -2.9676e-11
     -2.3143  -2.9725e-11
     -2.2041  -2.9798e-11
     -2.0939  -2.9803e-11
     -1.9837  -2.9848e-11
     -1.8735   -2.986e-11
     -1.7633  -3.0008e-11
     -1.6531  -2.9985e-11
     -1.5429   -3.006e-11
     -1.4327  -3.0046e-11
     -1.3224  -3.0077e-11
     -1.2122  -3.0087e-11
      -1.102  -3.0068e-11
    -0.99184  -3.0133e-11
    -0.88163  -3.0147e-11
    -0.77143  -3.0235e-11
    -0.66122  -3.0135e-11
    -0.55102  -3.0182e-11
    -0.44082  -3.0159e-11
    -0.33061  -3.0183e-11
    -0.22041  -3.0254e-11
     -0.1102  -3.0156e-11




