  Measurement Number     Measurement type
                  10               PQPUND

      Measurement ID                     
       739688.755286                     

          First Bias          Second Bias                Steps           Repetition
                 2.8                 -2.7                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
        0.05   5.4566e-06   3.8722e-06
     0.16224   6.6563e-06   6.3228e-06
     0.27449   6.8786e-06   6.8307e-06
     0.38673   6.9751e-06   6.9509e-06
     0.49898   6.9815e-06   6.9534e-06
     0.61122   7.0499e-06   6.9974e-06
     0.72347   7.0482e-06   6.9785e-06
     0.83571   7.0798e-06   6.9897e-06
     0.94796   7.1498e-06    7.019e-06
      1.0602    7.169e-06   6.9991e-06
      1.1724   7.2558e-06   7.0277e-06
      1.2847   7.2945e-06   7.0141e-06
      1.3969   7.4027e-06   7.0518e-06
      1.5092    7.469e-06   7.0477e-06
      1.6214   7.5359e-06   7.0441e-06
      1.7337   7.5944e-06   7.0662e-06
      1.8459   7.6728e-06   7.0649e-06
      1.9582   7.8833e-06   7.0916e-06
      2.0704   8.0955e-06   7.0823e-06
      2.1827    8.205e-06   7.1218e-06
      2.2949   8.0915e-06   7.1111e-06
      2.4071   7.8612e-06   7.1115e-06
      2.5194   7.6514e-06   7.1285e-06
      2.6316   7.4735e-06   7.1454e-06
      2.7439   7.5626e-06   7.2609e-06
      2.7439  -4.0182e-06  -4.0893e-06
      2.6316  -6.0642e-06  -6.0815e-06
      2.5194  -6.6289e-06  -6.6461e-06
      2.4071  -6.7618e-06  -6.7739e-06
      2.2949  -6.8454e-06    -6.85e-06
      2.1827  -6.8626e-06   -6.873e-06
      2.0704  -6.8647e-06  -6.8792e-06
      1.9582  -6.8884e-06  -6.8936e-06
      1.8459  -6.8888e-06  -6.8911e-06
      1.7337  -6.9167e-06  -6.9143e-06
      1.6214   -6.899e-06  -6.9036e-06
      1.5092  -6.9271e-06  -6.9297e-06
      1.3969  -6.9236e-06   -6.926e-06
      1.2847  -6.9204e-06  -6.9174e-06
      1.1724  -6.9399e-06  -6.9458e-06
      1.0602  -6.9291e-06  -6.9278e-06
     0.94796   -6.962e-06  -6.9675e-06
     0.83571  -6.9441e-06  -6.9427e-06
     0.72347  -6.9615e-06  -6.9636e-06
     0.61122  -6.9854e-06  -6.9883e-06
     0.49898    -6.99e-06  -6.9855e-06
     0.38673  -7.0111e-06  -7.0112e-06
     0.27449  -7.0248e-06  -7.0112e-06
     0.16224  -7.0727e-06   -7.062e-06
        0.05   -7.098e-06  -7.0773e-06
   -0.062245  -7.0916e-06  -4.2126e-06
    -0.17449  -7.1637e-06  -6.1687e-06
    -0.28673  -7.2614e-06  -6.6682e-06
    -0.39898  -7.4092e-06  -6.8448e-06
    -0.51122  -7.5328e-06  -6.8639e-06
    -0.62347  -7.6843e-06  -6.9042e-06
    -0.73571  -7.7307e-06  -6.9061e-06
    -0.84796  -7.7283e-06   -6.904e-06
     -0.9602  -7.6815e-06  -6.9275e-06
     -1.0724  -7.5484e-06  -6.9131e-06
     -1.1847  -7.4838e-06  -6.9525e-06
     -1.2969  -7.4514e-06   -6.932e-06
     -1.4092  -7.4807e-06  -6.9614e-06
     -1.5214  -7.4999e-06  -6.9537e-06
     -1.6337  -7.4346e-06  -6.9466e-06
     -1.7459  -7.3777e-06  -6.9708e-06
     -1.8582   -7.275e-06   -6.962e-06
     -1.9704  -7.2511e-06  -7.0067e-06
     -2.0827    -7.21e-06  -6.9753e-06
     -2.1949  -7.1919e-06  -7.0044e-06
     -2.3071  -7.1949e-06  -7.0123e-06
     -2.4194  -7.1629e-06  -6.9986e-06
     -2.5316  -7.1803e-06  -7.0311e-06
     -2.6439  -7.1568e-06  -7.0326e-06
     -2.6439   3.8162e-06   3.8523e-06
     -2.5316   6.3166e-06   6.3343e-06
     -2.4194   6.8127e-06   6.8338e-06
     -2.3071   6.9427e-06    6.942e-06
     -2.1949   6.9479e-06    6.958e-06
     -2.0827   6.9612e-06   6.9699e-06
     -1.9704    6.979e-06    6.982e-06
     -1.8582   6.9693e-06   6.9737e-06
     -1.7459   6.9865e-06   6.9873e-06
     -1.6337   6.9787e-06   6.9799e-06
     -1.5214   6.9946e-06   7.0035e-06
     -1.4092   6.9817e-06     6.99e-06
     -1.2969   6.9893e-06   6.9799e-06
     -1.1847   7.0069e-06   7.0082e-06
     -1.0724   7.0044e-06   6.9997e-06
     -0.9602   7.0031e-06   7.0115e-06
    -0.84796   6.9973e-06   7.0007e-06
    -0.73571   7.0109e-06     7.01e-06
    -0.62347   7.0201e-06    7.027e-06
    -0.51122   7.0158e-06   7.0103e-06
    -0.39898   7.0317e-06   7.0362e-06
    -0.28673   7.0342e-06   7.0317e-06
    -0.17449   7.0549e-06   7.0407e-06
   -0.062245   7.0458e-06    7.056e-06
             Leak IV        Points number                   98
    Voltages     CurrentP     CurrentC
  -0.0061224  -3.7286e-07  -3.2346e-06
     0.10612    2.359e-06   1.5521e-06
     0.21837   2.9035e-06   2.7273e-06
     0.33061   2.9774e-06   2.9279e-06
     0.44286   3.0214e-06   2.9836e-06
      0.5551   3.0379e-06   3.0024e-06
     0.66735   3.0536e-06    3.003e-06
     0.77959   3.0823e-06   3.0093e-06
     0.89184   3.0824e-06   3.0069e-06
      1.0041   3.1388e-06   3.0386e-06
      1.1163   3.1473e-06   3.0224e-06
      1.2286   3.1941e-06   3.0321e-06
      1.3408   3.2441e-06   3.0365e-06
      1.4531   3.2975e-06   3.0351e-06
      1.5653    3.365e-06    3.063e-06
      1.6776   3.3966e-06   3.0612e-06
      1.7898   3.4507e-06   3.0642e-06
       1.902   3.5544e-06   3.0631e-06
      2.0143   3.7174e-06   3.0808e-06
      2.1265    3.849e-06   3.0781e-06
      2.2388   3.8498e-06   3.0984e-06
       2.351   3.7306e-06   3.1059e-06
      2.4633   3.5769e-06   3.1128e-06
      2.5755    3.442e-06   3.1385e-06
      2.6878   3.3832e-06   3.1705e-06
         2.8   3.6052e-06   3.3366e-06
      2.6878  -1.5702e-06  -1.5947e-06
      2.5755  -2.5823e-06  -2.5891e-06
      2.4633  -2.8898e-06  -2.8924e-06
       2.351  -2.9718e-06  -2.9698e-06
      2.2388  -3.0187e-06  -3.0322e-06
      2.1265  -3.0404e-06  -3.0412e-06
      2.0143  -3.0507e-06  -3.0438e-06
       1.902  -3.0647e-06  -3.0664e-06
      1.7898  -3.0616e-06   -3.057e-06
      1.6776  -3.0824e-06  -3.0899e-06
      1.5653  -3.0781e-06  -3.0638e-06
      1.4531   -3.098e-06  -3.0964e-06
      1.3408  -3.0909e-06  -3.0929e-06
      1.2286  -3.0979e-06  -3.0963e-06
      1.1163  -3.1089e-06  -3.1016e-06
      1.0041  -3.1016e-06  -3.0972e-06
     0.89184  -3.1389e-06   -3.125e-06
     0.77959  -3.1158e-06  -3.1152e-06
     0.66735  -3.1358e-06  -3.1252e-06
      0.5551  -3.1451e-06  -3.1348e-06
     0.44286  -3.1596e-06  -3.1459e-06
     0.33061  -3.1761e-06  -3.1662e-06
     0.21837  -3.1702e-06  -3.1557e-06
     0.10612  -3.2241e-06  -3.1945e-06
  -0.0061224  -3.2063e-06   3.0601e-06
    -0.11837  -3.2263e-06  -1.6784e-06
    -0.23061  -3.2981e-06  -2.6642e-06
    -0.34286  -3.3825e-06  -2.9418e-06
     -0.4551  -3.4891e-06  -3.0279e-06
    -0.56735  -3.5743e-06  -3.0509e-06
    -0.67959  -3.6611e-06  -3.0721e-06
    -0.79184  -3.6841e-06  -3.0765e-06
    -0.90408  -3.6554e-06   -3.077e-06
     -1.0163  -3.5886e-06  -3.0929e-06
     -1.1286  -3.4954e-06  -3.0809e-06
     -1.2408  -3.4807e-06  -3.1055e-06
     -1.3531  -3.4712e-06  -3.0955e-06
     -1.4653  -3.4971e-06  -3.1062e-06
     -1.5776  -3.4749e-06  -3.1126e-06
     -1.6898  -3.4132e-06   -3.108e-06
      -1.802  -3.3835e-06  -3.1362e-06
     -1.9143  -3.3384e-06  -3.1247e-06
     -2.0265   -3.333e-06  -3.1581e-06
     -2.1388  -3.3244e-06  -3.1443e-06
      -2.251  -3.3031e-06  -3.1421e-06
     -2.3633  -3.3097e-06  -3.1693e-06
     -2.4755  -3.2785e-06   -3.149e-06
     -2.5878  -3.2992e-06  -3.1849e-06
        -2.7  -3.3002e-06   -3.211e-06
     -2.5878   1.5145e-06   1.5264e-06
     -2.4755   2.6896e-06   2.7084e-06
     -2.3633   2.9115e-06   2.9124e-06
      -2.251   2.9637e-06   2.9732e-06
     -2.1388   2.9859e-06   2.9877e-06
     -2.0265   2.9748e-06   2.9784e-06
     -1.9143   2.9967e-06   3.0074e-06
      -1.802   2.9915e-06   2.9901e-06
     -1.6898   2.9983e-06   3.0063e-06
     -1.5776   3.0037e-06    2.998e-06
     -1.4653   2.9984e-06   2.9962e-06
     -1.3531   3.0194e-06    3.024e-06
     -1.2408    3.003e-06   3.0048e-06
     -1.1286   3.0138e-06   3.0203e-06
     -1.0163   3.0096e-06   3.0063e-06
    -0.90408   3.0219e-06    3.023e-06
    -0.79184   3.0264e-06   3.0245e-06
    -0.67959   3.0179e-06   3.0182e-06
    -0.56735    3.034e-06   3.0326e-06
     -0.4551    3.027e-06   3.0193e-06
    -0.34286   3.0445e-06   3.0495e-06
    -0.23061   3.0427e-06   3.0393e-06
    -0.11837   3.0476e-06   3.0446e-06

                  QV        Points number                   98
     Voltage       Charge
        0.05   1.5844e-11
     0.16224   1.9179e-11
     0.27449   1.9658e-11
     0.38673     1.99e-11
     0.49898   2.0182e-11
     0.61122   2.0706e-11
     0.72347   2.1403e-11
     0.83571   2.2303e-11
     0.94796   2.3611e-11
      1.0602    2.531e-11
      1.1724   2.7591e-11
      1.2847   3.0395e-11
      1.3969   3.3904e-11
      1.5092   3.8116e-11
      1.6214   4.3034e-11
      1.7337   4.8316e-11
      1.8459   5.4395e-11
      1.9582   6.2312e-11
      2.0704   7.2444e-11
      2.1827   8.3277e-11
      2.2949   9.3081e-11
      2.4071   1.0058e-10
      2.5194   1.0581e-10
      2.6316   1.0909e-10
      2.7439    1.121e-10
      2.7439   1.1281e-10
      2.6316   1.1299e-10
      2.5194   1.1316e-10
      2.4071   1.1328e-10
      2.2949   1.1333e-10
      2.1827   1.1343e-10
      2.0704   1.1358e-10
      1.9582   1.1363e-10
      1.8459   1.1365e-10
      1.7337   1.1363e-10
      1.6214   1.1367e-10
      1.5092    1.137e-10
      1.3969   1.1372e-10
      1.2847   1.1369e-10
      1.1724   1.1375e-10
      1.0602   1.1374e-10
     0.94796   1.1379e-10
     0.83571   1.1378e-10
     0.72347    1.138e-10
     0.61122   1.1383e-10
     0.49898   1.1379e-10
     0.38673   1.1379e-10
     0.27449   1.1365e-10
     0.16224   1.1354e-10
        0.05   1.1334e-10
   -0.062245   8.4546e-11
    -0.17449   7.4597e-11
    -0.28673   6.8664e-11
    -0.39898    6.302e-11
    -0.51122   5.6331e-11
    -0.62347   4.8531e-11
    -0.73571   4.0285e-11
    -0.84796   3.2042e-11
     -0.9602   2.4501e-11
     -1.0724   1.8148e-11
     -1.1847   1.2835e-11
     -1.2969    7.642e-12
     -1.4092   2.4491e-12
     -1.5214  -3.0134e-12
     -1.6337  -7.8937e-12
     -1.7459  -1.1962e-11
     -1.8582  -1.5092e-11
     -1.9704  -1.7535e-11
     -2.0827  -1.9882e-11
     -2.1949  -2.1757e-11
     -2.3071  -2.3583e-11
     -2.4194  -2.5225e-11
     -2.5316  -2.6717e-11
     -2.6439  -2.7959e-11
     -2.6439   -2.832e-11
     -2.5316  -2.8497e-11
     -2.4194  -2.8709e-11
     -2.3071  -2.8702e-11
     -2.1949  -2.8803e-11
     -2.0827  -2.8891e-11
     -1.9704  -2.8921e-11
     -1.8582  -2.8965e-11
     -1.7459  -2.8973e-11
     -1.6337  -2.8984e-11
     -1.5214  -2.9074e-11
     -1.4092  -2.9157e-11
     -1.2969  -2.9062e-11
     -1.1847  -2.9076e-11
     -1.0724  -2.9029e-11
     -0.9602  -2.9113e-11
    -0.84796  -2.9147e-11
    -0.73571  -2.9137e-11
    -0.62347  -2.9207e-11
    -0.51122  -2.9152e-11
    -0.39898  -2.9197e-11
    -0.28673  -2.9172e-11
    -0.17449  -2.9031e-11
   -0.062245  -2.9132e-11




