  Measurement Number     Measurement type
                  16               PQPUND

      Measurement ID                     
       739688.758924                     

          First Bias          Second Bias                Steps           Repetition
                 2.8                 -2.7                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
              0.0001                1e-05                1e-05                1e-05

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
        0.05   1.1983e-06   1.2109e-06
     0.16224   1.5702e-06   1.5921e-06
     0.27449   2.1056e-06   2.1761e-06
     0.38673   2.9112e-06   3.0167e-06
     0.49898   3.9643e-06   4.1032e-06
     0.61122   5.2604e-06   5.4115e-06
     0.72347   6.7847e-06   6.9603e-06
     0.83571   8.5644e-06   8.7466e-06
     0.94796   1.0616e-05   1.0787e-05
      1.0602   1.1515e-05   1.1515e-05
      1.1724   1.1515e-05   1.1515e-05
      1.2847   1.1515e-05   1.1515e-05
      1.3969   1.1515e-05   1.1515e-05
      1.5092   1.1515e-05   1.1515e-05
      1.6214   1.1515e-05   1.1515e-05
      1.7337   1.1515e-05   1.1515e-05
      1.8459   1.1515e-05   1.1515e-05
      1.9582   1.1515e-05   1.1515e-05
      2.0704   1.1515e-05   1.1515e-05
      2.1827   1.1515e-05   1.1515e-05
      2.2949   1.1515e-05   1.1515e-05
      2.4071   1.1515e-05   1.1515e-05
      2.5194   1.1515e-05   1.1515e-05
      2.6316   1.1515e-05   1.1515e-05
      2.7439   1.1515e-05   1.1515e-05
      2.7439   1.1515e-05   1.1515e-05
      2.6316   1.1515e-05   1.1515e-05
      2.5194   1.1515e-05   1.1515e-05
      2.4071   1.1515e-05   1.1515e-05
      2.2949   1.1515e-05   1.1515e-05
      2.1827   1.1515e-05   1.1515e-05
      2.0704   1.1515e-05   1.1515e-05
      1.9582   1.1515e-05   1.1515e-05
      1.8459   1.1515e-05   1.1515e-05
      1.7337   1.1515e-05   1.1515e-05
      1.6214   1.1515e-05   1.1515e-05
      1.5092   1.1515e-05   1.1515e-05
      1.3969   1.1515e-05   1.1515e-05
      1.2847   1.1515e-05   1.1515e-05
      1.1724   1.1432e-05   1.1443e-05
      1.0602   9.1114e-06   9.1152e-06
     0.94796   7.0031e-06   7.0095e-06
     0.83571   5.1871e-06   5.2005e-06
     0.72347   3.6184e-06   3.6094e-06
     0.61122   2.2569e-06   2.2463e-06
     0.49898   1.1367e-06   1.1376e-06
     0.38673   2.6287e-07   2.6734e-07
     0.27449  -3.4982e-07  -3.5127e-07
     0.16224  -7.5485e-07  -7.6391e-07
        0.05  -1.0314e-06  -1.0234e-06
   -0.062245  -1.2622e-06  -1.2221e-06
    -0.17449  -1.6465e-06  -1.5663e-06
    -0.28673  -2.1839e-06  -2.0542e-06
    -0.39898  -2.8872e-06  -2.7038e-06
    -0.51122  -3.7801e-06  -3.5171e-06
    -0.62347  -4.8606e-06  -4.5104e-06
    -0.73571  -6.1345e-06  -5.7091e-06
    -0.84796  -7.6217e-06  -7.0938e-06
     -0.9602  -9.3539e-06  -8.6999e-06
     -1.0724  -1.1295e-05  -1.0541e-05
     -1.1847   -1.141e-05   -1.141e-05
     -1.2969   -1.141e-05   -1.141e-05
     -1.4092   -1.141e-05   -1.141e-05
     -1.5214   -1.141e-05   -1.141e-05
     -1.6337   -1.141e-05   -1.141e-05
     -1.7459   -1.141e-05   -1.141e-05
     -1.8582   -1.141e-05   -1.141e-05
     -1.9704   -1.141e-05   -1.141e-05
     -2.0827   -1.141e-05   -1.141e-05
     -2.1949   -1.141e-05   -1.141e-05
     -2.3071   -1.141e-05   -1.141e-05
     -2.4194   -1.141e-05   -1.141e-05
     -2.5316   -1.141e-05   -1.141e-05
     -2.6439   -1.141e-05   -1.141e-05
     -2.6439   -1.141e-05   -1.141e-05
     -2.5316   -1.141e-05   -1.141e-05
     -2.4194   -1.141e-05   -1.141e-05
     -2.3071   -1.141e-05   -1.141e-05
     -2.1949   -1.141e-05   -1.141e-05
     -2.0827   -1.141e-05   -1.141e-05
     -1.9704   -1.141e-05   -1.141e-05
     -1.8582   -1.141e-05   -1.141e-05
     -1.7459   -1.141e-05   -1.141e-05
     -1.6337   -1.141e-05   -1.141e-05
     -1.5214   -1.141e-05   -1.141e-05
     -1.4092   -1.141e-05   -1.141e-05
     -1.2969  -1.0874e-05  -1.0761e-05
     -1.1847  -8.7234e-06  -8.6098e-06
     -1.0724  -6.8442e-06  -6.7638e-06
     -0.9602  -5.2198e-06  -5.1604e-06
    -0.84796  -3.8125e-06  -3.7512e-06
    -0.73571  -2.6133e-06  -2.5673e-06
    -0.62347  -1.5889e-06  -1.5624e-06
    -0.51122  -7.6505e-07  -7.3386e-07
    -0.39898  -1.0194e-07   -9.032e-08
    -0.28673   4.0368e-07   4.0436e-07
    -0.17449   7.6027e-07   7.5105e-07
   -0.062245   9.9853e-07   9.9634e-07
             Leak IV        Points number                   98
    Voltages     CurrentP     CurrentC
  -0.0061224    -3.86e-07  -4.7587e-07
     0.10612   6.6311e-07   6.6695e-07
