  Measurement Number     Measurement type
                  19                DC IV

      Measurement ID             SeriesID
       739688.759192                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.3002e-10   -0.0000e+00
5.0000e-02   9.0513e-08   5.5240e+05
1.0000e-01   1.9408e-07   5.1525e+05
1.5000e-01   3.1882e-07   4.7048e+05
2.0000e-01   4.6592e-07   4.2926e+05
2.5000e-01   6.4150e-07   3.8971e+05
3.0000e-01   8.4568e-07   3.5474e+05
3.5000e-01   9.9998e-07   3.5001e+05
4.0000e-01   9.9996e-07   4.0002e+05
4.5000e-01   9.9998e-07   4.5001e+05
5.0000e-01   1.0000e-06   5.0000e+05
5.5000e-01   9.9998e-07   5.5001e+05
6.0000e-01   1.0000e-06   6.0000e+05
6.5000e-01   1.0000e-06   6.5000e+05
7.0000e-01   9.9998e-07   7.0001e+05
7.5000e-01   1.0000e-06   7.5000e+05
8.0000e-01   1.0000e-06   8.0000e+05
8.5000e-01   9.9996e-07   8.5003e+05
9.0000e-01   9.9996e-07   9.0004e+05
9.5000e-01   1.0000e-06   9.5000e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   1.0000e-06   1.0000e+06
9.5000e-01   1.0000e-06   9.5000e+05
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.5000e-01   1.0000e-06   7.5000e+05
7.0000e-01   1.0000e-06   7.0000e+05
6.5000e-01   1.0000e-06   6.5000e+05
6.0000e-01   1.0000e-06   6.0000e+05
5.5000e-01   1.0000e-06   5.5000e+05
5.0000e-01   1.0000e-06   4.9999e+05
4.5000e-01   1.0000e-06   4.5000e+05
4.0000e-01   1.0000e-06   4.0000e+05
3.5000e-01   1.0000e-06   3.5000e+05
3.0000e-01   8.4614e-07   3.5455e+05
2.5000e-01   6.3656e-07   3.9274e+05
2.0000e-01   4.5982e-07   4.3495e+05
1.5000e-01   3.1306e-07   4.7914e+05
1.0000e-01   1.9282e-07   5.1862e+05
5.0000e-02   8.9380e-08   5.5941e+05
0.0000e+00   -1.9995e-10   -0.0000e+00
0.0000e+00   -1.9713e-10   -0.0000e+00
-5.0000e-02   -9.0097e-08   5.5496e+05
-1.0000e-01   -1.9192e-07   5.2105e+05
-1.5000e-01   -3.1786e-07   4.7191e+05
-2.0000e-01   -4.7122e-07   4.2443e+05
-2.5000e-01   -6.6920e-07   3.7358e+05
-3.0000e-01   -9.0472e-07   3.3159e+05
-3.5000e-01   -9.9998e-07   3.5001e+05
-4.0000e-01   -9.9998e-07   4.0001e+05
-4.5000e-01   -9.9998e-07   4.5001e+05
-5.0000e-01   -9.9996e-07   5.0002e+05
-5.5000e-01   -9.9996e-07   5.5002e+05
-6.0000e-01   -9.9998e-07   6.0001e+05
-6.5000e-01   -9.9998e-07   6.5001e+05
-7.0000e-01   -1.0000e-06   7.0000e+05
-7.5000e-01   -9.9996e-07   7.5003e+05
-8.0000e-01   -9.9996e-07   8.0003e+05
-8.5000e-01   -9.9998e-07   8.5002e+05
-9.0000e-01   -9.9998e-07   9.0002e+05
-9.5000e-01   -9.9998e-07   9.5002e+05
-1.0000e+00   -9.9998e-07   1.0000e+06
-1.0000e+00   -9.9998e-07   1.0000e+06
-9.5000e-01   -9.9994e-07   9.5006e+05
-9.0000e-01   -9.9998e-07   9.0002e+05
-8.5000e-01   -9.9996e-07   8.5003e+05
-8.0000e-01   -9.9994e-07   8.0005e+05
-7.5000e-01   -9.9998e-07   7.5002e+05
-7.0000e-01   -9.9998e-07   7.0001e+05
-6.5000e-01   -1.0000e-06   6.5000e+05
-6.0000e-01   -9.9998e-07   6.0001e+05
-5.5000e-01   -9.9994e-07   5.5003e+05
-5.0000e-01   -9.9998e-07   5.0001e+05
-4.5000e-01   -1.0000e-06   4.5000e+05
-4.0000e-01   -9.9996e-07   4.0002e+05
-3.5000e-01   -9.9998e-07   3.5001e+05
-3.0000e-01   -9.3018e-07   3.2252e+05
-2.5000e-01   -6.8440e-07   3.6528e+05
-2.0000e-01   -4.8134e-07   4.1551e+05
-1.5000e-01   -3.2466e-07   4.6202e+05
-1.0000e-01   -1.9514e-07   5.1245e+05
-5.0000e-02   -9.1880e-08   5.4419e+05
0.0000e+00   -1.3638e-10   -0.0000e+00
