  Measurement Number     Measurement type
                   6               PQPUND

      Measurement ID                     
       739688.754830                     

          First Bias          Second Bias                Steps           Repetition
                 2.7                   -2                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
               1e-05                1e-05                1e-05                1e-05

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
    0.062245   5.0452e-06   3.4089e-06
     0.15816   5.8403e-06   5.4734e-06
     0.25408   5.9863e-06   5.9159e-06
        0.35   6.0141e-06   6.0183e-06
     0.44592   6.0402e-06   6.0335e-06
     0.54184   6.0633e-06   6.0451e-06
     0.63776   6.0621e-06   6.0493e-06
     0.73367    6.095e-06   6.0637e-06
     0.82959   6.1075e-06   6.0603e-06
     0.92551   6.1331e-06   6.0637e-06
      1.0214   6.1468e-06   6.0813e-06
      1.1173   6.1848e-06   6.0744e-06
      1.2133   6.2372e-06     6.09e-06
      1.3092   6.2765e-06   6.0916e-06
      1.4051   6.3442e-06   6.0935e-06
       1.501   6.3627e-06   6.1365e-06
      1.5969    6.393e-06   6.1171e-06
      1.6929   6.4057e-06   6.1337e-06
      1.7888   6.4441e-06   6.1523e-06
      1.8847   6.5122e-06   6.1392e-06
      1.9806   6.6327e-06   6.1732e-06
      2.0765   6.7318e-06   6.1576e-06
      2.1724     6.87e-06   6.2167e-06
      2.2684   6.7486e-06   6.1781e-06
      2.3643   6.6062e-06   6.2017e-06
      2.4602   6.4703e-06   6.2085e-06
      2.5561     6.73e-06   6.2454e-06
       2.652   7.1289e-06   6.3755e-06
       2.652  -3.4936e-06  -3.6049e-06
      2.5561  -5.3066e-06  -5.3569e-06
      2.4602  -5.8001e-06  -5.7896e-06
      2.3643  -5.9284e-06  -5.9444e-06
      2.2684  -5.9907e-06  -5.9692e-06
      2.1724  -6.0105e-06   -6.017e-06
      2.0765  -6.0337e-06  -6.0225e-06
      1.9806  -6.0174e-06  -6.0201e-06
      1.8847  -6.0457e-06  -6.0383e-06
      1.7888  -6.0456e-06  -6.0379e-06
      1.6929  -6.0614e-06  -6.0497e-06
      1.5969  -6.0721e-06  -6.0524e-06
       1.501   -6.057e-06  -6.0648e-06
      1.4051  -6.0714e-06  -6.0637e-06
      1.3092  -6.0755e-06    -6.07e-06
      1.2133  -6.0784e-06  -6.0653e-06
      1.1173  -6.0913e-06  -6.0767e-06
      1.0214  -6.0713e-06  -6.0777e-06
     0.92551  -6.1351e-06  -6.1007e-06
     0.82959  -6.0856e-06  -6.1066e-06
     0.73367  -6.1212e-06  -6.1016e-06
     0.63776   -6.101e-06  -6.0995e-06
     0.54184  -6.1366e-06  -6.1443e-06
     0.44592   -6.129e-06  -6.1165e-06
        0.35  -6.1777e-06  -6.1745e-06
     0.25408  -6.1715e-06  -6.1461e-06
     0.15816  -6.2227e-06  -6.2186e-06
    0.062245  -6.2214e-06  -6.1934e-06
   -0.033673  -6.2327e-06  -3.7698e-06
    -0.12959  -6.2339e-06  -5.3776e-06
    -0.22551   -6.319e-06  -5.8452e-06
    -0.32143  -6.3878e-06  -5.9593e-06
    -0.41735  -6.5225e-06  -6.0206e-06
    -0.51327  -6.5476e-06  -6.0309e-06
    -0.60918  -6.6619e-06   -6.043e-06
     -0.7051  -6.6137e-06  -6.0452e-06
    -0.80102  -6.6114e-06  -6.0388e-06
    -0.89694  -6.5379e-06  -6.0343e-06
    -0.99286  -6.4978e-06  -6.0666e-06
     -1.0888  -6.4406e-06  -6.0711e-06
     -1.1847  -6.4418e-06  -6.0983e-06
     -1.2806  -6.4176e-06  -6.0793e-06
     -1.3765  -6.4539e-06  -6.1099e-06
     -1.4724  -6.4444e-06  -6.0889e-06
     -1.5684   -6.463e-06   -6.114e-06
     -1.6643  -6.3841e-06   -6.097e-06
     -1.7602  -6.3583e-06  -6.1392e-06
     -1.8561  -6.2861e-06  -6.1032e-06
      -1.952  -6.2829e-06  -6.1517e-06
      -1.952   3.4321e-06   3.4381e-06
     -1.8561    5.447e-06    5.465e-06
     -1.7602   5.9621e-06   5.9387e-06
     -1.6643   5.9918e-06   6.0019e-06
     -1.5684   6.0433e-06   6.0414e-06
     -1.4724   6.0226e-06   6.0013e-06
     -1.3765   6.0391e-06   6.0547e-06
     -1.2806   6.0238e-06   6.0092e-06
     -1.1847   6.0534e-06   6.0679e-06
     -1.0888   6.0485e-06   6.0381e-06
    -0.99286   6.0388e-06   6.0424e-06
    -0.89694   6.0472e-06   6.0552e-06
    -0.80102   6.0607e-06    6.055e-06
     -0.7051   6.0492e-06   6.0571e-06
    -0.60918   6.0694e-06   6.0766e-06
    -0.51327   6.0496e-06   6.0477e-06
    -0.41735   6.0695e-06   6.0945e-06
    -0.32143   6.0588e-06   6.0569e-06
    -0.22551     6.07e-06    6.085e-06
    -0.12959    6.051e-06   6.0579e-06
   -0.033673   6.0737e-06   6.0768e-06
             Leak IV        Points number                   98
    Voltages     CurrentP     CurrentC
    0.014286   9.0656e-07  -2.6736e-06
      0.1102   2.0125e-06   1.2118e-06
     0.20612   2.3537e-06   2.1875e-06
     0.30204   2.4301e-06   2.3632e-06
     0.39796   2.4446e-06    2.436e-06
     0.49388   2.4692e-06   2.4297e-06
      0.5898   2.4675e-06   2.4612e-06
     0.68571   2.4679e-06   2.4295e-06
     0.78163   2.4763e-06   2.4398e-06
     0.87755   2.4751e-06   2.4485e-06
     0.97347   2.5141e-06   2.4636e-06
      1.0694   2.5314e-06   2.4824e-06
      1.1653   2.5472e-06    2.454e-06
      1.2612   2.5643e-06   2.4749e-06
      1.3571    2.604e-06   2.4714e-06
      1.4531   2.5996e-06   2.4577e-06
       1.549   2.6512e-06   2.4831e-06
      1.6449   2.6665e-06   2.4811e-06
      1.7408   2.6859e-06    2.503e-06
      1.8367   2.7166e-06   2.4943e-06
      1.9327   2.7746e-06   2.5033e-06
      2.0286    2.879e-06    2.495e-06
      2.1245   2.9546e-06    2.519e-06
      2.2204   2.9922e-06   2.5208e-06
      2.3163   2.8794e-06   2.5338e-06
      2.4122   2.7662e-06   2.5439e-06
      2.5082   2.7873e-06   2.5662e-06
      2.6041   3.0819e-06   2.6258e-06
         2.7   3.2951e-06   2.8257e-06
      2.6041  -1.2405e-06  -1.2841e-06
      2.5082   -2.144e-06  -2.1582e-06
      2.4122  -2.3864e-06  -2.3944e-06
      2.3163  -2.4827e-06  -2.4931e-06
      2.2204  -2.5085e-06  -2.5058e-06
      2.1245  -2.5298e-06  -2.5395e-06
      2.0286  -2.5459e-06  -2.5273e-06
      1.9327  -2.5411e-06  -2.5633e-06
      1.8367  -2.5581e-06  -2.5399e-06
      1.7408  -2.5603e-06  -2.5614e-06
      1.6449  -2.5587e-06  -2.5661e-06
       1.549  -2.5756e-06  -2.5626e-06
      1.4531  -2.5602e-06  -2.5728e-06
      1.3571  -2.5727e-06    -2.56e-06
      1.2612  -2.5763e-06  -2.5771e-06
      1.1653  -2.5778e-06  -2.5778e-06
      1.0694  -2.5765e-06   -2.569e-06
     0.97347  -2.5935e-06  -2.5934e-06
     0.87755  -2.5684e-06  -2.5563e-06
     0.78163  -2.5856e-06  -2.5917e-06
     0.68571  -2.5901e-06  -2.5785e-06
      0.5898  -2.6067e-06  -2.5947e-06
     0.49388  -2.6098e-06  -2.6057e-06
     0.39796  -2.6213e-06  -2.6188e-06
     0.30204  -2.6177e-06  -2.6091e-06
     0.20612  -2.6141e-06  -2.6264e-06
      0.1102  -2.6553e-06  -2.6165e-06
    0.014286  -2.6472e-06   2.4665e-06
   -0.081633  -2.6643e-06  -1.3645e-06
    -0.17755  -2.7067e-06  -2.2165e-06
    -0.27347  -2.7599e-06  -2.4432e-06
    -0.36939  -2.8026e-06  -2.5038e-06
    -0.46531  -2.8727e-06  -2.5393e-06
    -0.56122   -2.911e-06   -2.504e-06
    -0.65714  -2.9584e-06  -2.5555e-06
    -0.75306  -2.9591e-06  -2.5414e-06
    -0.84898  -2.9436e-06  -2.5542e-06
     -0.9449  -2.8779e-06  -2.5546e-06
     -1.0408  -2.8454e-06  -2.5519e-06
     -1.1367  -2.7908e-06  -2.5743e-06
     -1.2327   -2.811e-06  -2.5665e-06
     -1.3286  -2.8174e-06  -2.5829e-06
     -1.4245  -2.8376e-06  -2.5811e-06
     -1.5204  -2.8458e-06  -2.5832e-06
     -1.6163  -2.8187e-06  -2.5894e-06
     -1.7122  -2.7898e-06  -2.5839e-06
     -1.8082  -2.7567e-06  -2.5997e-06
     -1.9041  -2.7245e-06  -2.6201e-06
          -2  -2.7234e-06   -2.625e-06
     -1.9041   1.1958e-06   1.2011e-06
     -1.8082   2.1311e-06   2.1836e-06
     -1.7122   2.3552e-06   2.3713e-06
     -1.6163   2.3878e-06   2.3937e-06
     -1.5204   2.4115e-06   2.4402e-06
     -1.4245    2.413e-06   2.4153e-06
     -1.3286   2.4182e-06   2.4434e-06
     -1.2327    2.414e-06   2.4229e-06
     -1.1367    2.433e-06   2.4363e-06
     -1.0408   2.4084e-06   2.4222e-06
     -0.9449   2.4419e-06   2.4531e-06
    -0.84898   2.4225e-06   2.4412e-06
    -0.75306   2.4546e-06   2.4448e-06
    -0.65714   2.4482e-06   2.4578e-06
