  Measurement Number     Measurement type
                   2               PQPUND

      Measurement ID                     
       739688.753479                     

          First Bias          Second Bias                Steps           Repetition
                   2                   -2                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
              0.0001               0.0001               0.0001               0.0001

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
           0  -1.3218e-06  -1.0786e-06
    0.081633  -1.4841e-06  -1.0501e-06
     0.16327  -1.3127e-06  -1.0701e-06
      0.2449  -1.2745e-06  -1.1959e-06
     0.32653  -1.0192e-06  -1.2706e-06
     0.40816  -1.1481e-06  -1.2711e-06
      0.4898  -1.3175e-06  -1.3536e-06
     0.57143  -1.2962e-06  -1.2197e-06
     0.65306  -1.2209e-06  -1.2534e-06
     0.73469  -1.3341e-06  -1.3844e-06
     0.81633  -1.4802e-06  -1.4111e-06
     0.89796   -1.372e-06  -1.4353e-06
     0.97959  -1.3453e-06  -1.5572e-06
      1.0612  -1.2642e-06  -1.1754e-06
      1.1429  -1.2989e-06  -1.5565e-06
      1.2245  -1.6357e-06  -1.3224e-06
      1.3061  -1.2574e-06   -1.537e-06
      1.3878  -1.5694e-06  -1.7223e-06
      1.4694  -1.5613e-06  -1.5947e-06
       1.551  -1.5537e-06  -1.7886e-06
      1.6327  -1.7264e-06  -1.6252e-06
      1.7143  -1.8127e-06  -1.7568e-06
      1.7959  -1.6411e-06  -1.7057e-06
      1.8776  -1.5491e-06  -1.5996e-06
      1.9592  -1.4779e-06  -1.7565e-06
      1.9592  -3.0337e-06  -3.1627e-06
      1.8776   -3.189e-06  -3.0459e-06
      1.7959  -3.2622e-06  -3.2452e-06
      1.7143  -3.1218e-06  -3.4896e-06
      1.6327  -2.9328e-06  -3.0779e-06
       1.551  -3.1152e-06   -3.251e-06
      1.4694  -3.2123e-06  -3.0332e-06
      1.3878  -2.7426e-06  -3.0818e-06
      1.3061  -2.8036e-06  -3.3039e-06
      1.2245  -3.1736e-06  -3.1487e-06
      1.1429  -3.1652e-06  -3.1785e-06
      1.0612  -3.3465e-06  -3.3729e-06
     0.97959  -2.9537e-06  -3.1708e-06
     0.89796  -2.6743e-06   -3.027e-06
     0.81633  -2.8178e-06   -3.064e-06
     0.73469  -3.0172e-06  -3.0335e-06
     0.65306  -3.1071e-06  -3.0774e-06
     0.57143  -2.7732e-06   -2.956e-06
      0.4898  -2.6394e-06  -3.2143e-06
     0.40816  -2.8153e-06  -2.9423e-06
     0.32653  -2.5377e-06  -3.0571e-06
      0.2449  -2.4812e-06  -2.7732e-06
     0.16327  -2.5092e-06  -2.9994e-06
    0.081633  -2.5665e-06  -2.4262e-06
           0  -2.2797e-06  -2.6645e-06
   -0.081633  -2.6674e-06  -2.7546e-06
    -0.16327  -2.6062e-06  -2.0476e-06
     -0.2449  -2.4535e-06  -2.3032e-06
    -0.32653  -2.5063e-06   -2.425e-06
    -0.40816  -2.5939e-06  -2.3556e-06
     -0.4898  -2.5865e-06  -2.6445e-06
    -0.57143  -2.5267e-06   -2.283e-06
    -0.65306  -2.7594e-06  -2.3053e-06
    -0.73469  -2.6304e-06  -2.6424e-06
    -0.81633  -2.5802e-06  -2.3531e-06
    -0.89796   -2.389e-06  -2.5998e-06
    -0.97959   -3.297e-06  -3.0851e-06
     -1.0612  -3.8692e-06  -3.7366e-06
     -1.1429  -3.7749e-06  -3.5751e-06
     -1.2245  -3.7375e-06  -3.6221e-06
     -1.3061  -3.3146e-06  -3.7193e-06
     -1.3878  -3.7084e-06  -3.4765e-06
     -1.4694   -3.632e-06  -3.7399e-06
      -1.551  -3.7799e-06  -3.7486e-06
     -1.6327  -3.4755e-06    -3.61e-06
     -1.7143  -3.4121e-06  -3.6641e-06
     -1.7959  -4.0536e-06  -3.6906e-06
     -1.8776  -4.0009e-06  -3.3637e-06
     -1.9592  -3.6097e-06  -3.2558e-06
     -1.9592  -2.1102e-06  -2.1128e-06
     -1.8776  -1.9725e-06  -1.9591e-06
     -1.7959  -1.9161e-06  -1.9628e-06
     -1.7143  -1.8711e-06  -1.9131e-06
     -1.6327  -1.7998e-06  -1.9599e-06
