  Measurement Number     Measurement type
                   5               PQPUND

      Measurement ID                     
       739688.753811                     

          First Bias          Second Bias                Steps           Repetition
                   3                 -2.2                   50                    1

           Rump time     Rump Interg time            Wait Time     Wait Integr Time
              0.0001               0.0001               0.0001               0.0001

                  IV        Points number                   98
    Voltages     CurrentP     CurrentC
    0.081633   9.1992e-07   4.5612e-06
     0.18776   9.3139e-07   1.0762e-05
     0.29388   9.4698e-07   1.9853e-05
         0.4   1.0115e-06   3.3008e-05
     0.50612   1.1709e-06   5.1389e-05
     0.61224   1.3472e-06   7.7332e-05
     0.71837   1.7161e-06   0.00010827
     0.82449   2.0046e-06   0.00011395
     0.93061   2.3888e-06   0.00011395
      1.0367   1.3634e-06   0.00011395
      1.1429   1.5183e-06   0.00011395
       1.249   1.0923e-06   0.00011395
      1.3551   1.1161e-06   0.00011395
      1.4612   1.2228e-06   0.00011395
      1.5673   1.2068e-06   0.00011395
      1.6735   1.2308e-06   0.00011395
      1.7796    1.245e-06   0.00011395
      1.8857   1.2463e-06   0.00011395
      1.9918   1.3117e-06   0.00011395
       2.098   1.3264e-06   0.00011395
      2.2041   1.5132e-06   0.00011395
      2.3102   1.4211e-06   0.00011395
      2.4163   1.4495e-06   0.00011395
      2.5224   0.00011395   0.00011395
      2.6286   0.00011395   0.00011395
      2.7347   0.00011395   0.00011395
      2.8408   0.00011395   0.00011395
      2.9469   0.00011395   0.00011395
      2.9469   0.00011395   0.00011395
      2.8408   0.00011395   0.00011395
      2.7347   0.00011395   0.00011395
      2.6286   0.00011395   0.00011395
      2.5224   0.00011395   0.00011395
      2.4163   0.00011395   0.00011395
      2.3102   0.00011395   0.00011395
      2.2041   0.00011395   0.00011395
       2.098   0.00011395   0.00011395
      1.9918   0.00011395   0.00011395
      1.8857   0.00011395   0.00011395
      1.7796   0.00011395   0.00011395
      1.6735   0.00011395   0.00011395
      1.5673   0.00011395   0.00011395
      1.4612   0.00011395   0.00011395
      1.3551   0.00011395   0.00011395
       1.249   0.00011395   0.00011395
      1.1429   0.00011395   0.00011395
      1.0367   0.00011395   0.00011395
     0.93061   0.00011395   0.00011395
     0.82449   0.00011395   0.00011395
     0.71837   0.00010743   9.7448e-05
     0.61224   7.5682e-05   6.1269e-05
     0.50612   4.9832e-05   3.6549e-05
         0.4   3.1443e-05   2.0452e-05
     0.29388   1.8058e-05   1.0144e-05
     0.18776   8.8976e-06   3.9392e-06
    0.081633   2.6932e-06   5.8326e-07
    -0.02449  -1.4666e-06  -9.7754e-07
    -0.13061   -4.567e-06  -1.0559e-06
    -0.23673  -1.0982e-05  -1.1621e-06
    -0.34286  -2.2396e-05  -1.3203e-06
    -0.44898  -3.9851e-05  -1.4243e-06
     -0.5551  -6.5635e-05  -1.7091e-06
    -0.66122  -0.00010031  -2.3221e-06
    -0.76735   -0.0001129  -2.8043e-06
    -0.87347   -0.0001129  -4.1605e-06
    -0.97959  -0.00011291  -4.2571e-06
     -1.0857  -0.00011292  -4.4802e-06
     -1.1918  -0.00011292  -6.7043e-06
      -1.298  -0.00011292  -8.5698e-06
     -1.4041  -0.00011292  -1.0231e-05
     -1.5102  -0.00011292  -1.4079e-05
     -1.6163  -0.00011292  -1.8155e-05
     -1.7224  -0.00011292  -2.6446e-05
     -1.8286  -0.00011292  -3.7967e-05
     -1.9347  -0.00011292  -5.9843e-05
     -2.0408  -0.00011292  -5.6273e-05
     -2.1469  -0.00011292  -3.0078e-05
     -2.1469  -0.00011292  -1.7916e-05
     -2.0408  -0.00011292  -1.1088e-05
     -1.9347  -6.4192e-05  -8.6471e-06
     -1.8286  -2.9022e-05  -6.4853e-06
     -1.7224  -2.2641e-05  -4.8632e-06
     -1.6163  -1.6511e-05  -3.6984e-06
     -1.5102  -1.2548e-05  -2.6829e-06
     -1.4041  -9.9565e-06  -1.9562e-06
      -1.298  -8.2208e-06  -1.3192e-06
     -1.1918  -6.0759e-06  -7.9846e-07
     -1.0857   -5.152e-06  -3.7007e-07
    -0.97959  -3.7467e-06  -1.5315e-07
    -0.87347  -2.6032e-06   1.7171e-07
    -0.76735    -2.19e-06   3.9871e-07
    -0.66122  -1.5838e-06     5.28e-07
     -0.5551  -8.2336e-07    6.497e-07
    -0.44898  -3.5412e-07    7.502e-07
    -0.34286   6.1545e-08   8.2306e-07
    -0.23673   3.6897e-07   8.8319e-07
    -0.13061   7.8444e-07   9.0401e-07
    -0.02449   9.1702e-07   9.3561e-07
             Leak IV        Points number                   98
    Voltages     CurrentP     CurrentC
    0.028571   2.5751e-07   1.1318e-06
     0.13469   6.3327e-08   6.4113e-06
     0.24082   7.1928e-08   1.3907e-05
     0.34694   9.6669e-08   2.5446e-05
     0.45306   2.0339e-07   4.0374e-05
     0.55918   3.1986e-07   6.2092e-05
     0.66531   6.4474e-07   9.2648e-05
     0.77143    9.536e-07   0.00011395
     0.87755   1.3382e-06   0.00011395
     0.98367   1.0303e-06   0.00011395
      1.0898    5.378e-07   0.00011395
      1.1959   6.7975e-07   0.00011395
       1.302   1.8808e-07   0.00011395
      1.4082   2.5173e-07   0.00011395
      1.5143   3.0192e-07   0.00011395
      1.6204   3.1894e-07   0.00011395
      1.7265   3.3597e-07   0.00011395
      1.8327   3.6955e-07   0.00011395
      1.9388   3.7222e-07   0.00011395
      2.0449   3.6657e-07   0.00011395
       2.151   5.9356e-07   0.00011395
      2.2571   3.7597e-07   0.00011395
      2.3633   6.0619e-07   0.00011395
      2.4694   2.5136e-05   0.00011395
      2.5755   0.00011395   0.00011395
      2.6816   0.00011395   0.00011395
      2.7878   0.00011395   0.00011395
      2.8939   0.00011395   0.00011395
           3   0.00011395   0.00011395
      2.8939   0.00011395   0.00011395
      2.7878   0.00011395   0.00011395
      2.6816   0.00011395   0.00011395
      2.5755   0.00011395   0.00011395
      2.4694   0.00011395   0.00011395
      2.3633   0.00011395   0.00011395
      2.2571   0.00011395   0.00011395
       2.151   0.00011395   0.00011395
      2.0449   0.00011395   0.00011395
      1.9388   0.00011395   0.00011395
      1.8327   0.00011395   0.00011395
      1.7265   0.00011395   0.00011395
      1.6204   0.00011395   0.00011395
      1.5143   0.00011395   0.00011395
      1.4082   0.00011395   0.00011395
       1.302   0.00011395   0.00011395
      1.1959   0.00011395   0.00011395
      1.0898   0.00011395   0.00011395
     0.98367   0.00011395   0.00011395
     0.87755   0.00011395   0.00011395
     0.77143   0.00011395   0.00011395
     0.66531   9.2591e-05    7.806e-05
     0.55918   6.2062e-05   4.7883e-05
     0.45306   4.0572e-05   2.8188e-05
     0.34694   2.4694e-05   1.5328e-05
     0.24082   1.3754e-05   7.3185e-06
     0.13469   6.2399e-06   2.7328e-06
    0.028571   3.8255e-07   9.6217e-08
   -0.077551  -1.7513e-06  -1.5367e-07
    -0.18367    -6.21e-06   -2.433e-07
     -0.2898  -1.4865e-05  -3.7961e-07
    -0.39592  -2.9043e-05  -4.8191e-07
    -0.50204  -5.0458e-05  -7.0784e-07
    -0.60816  -8.0842e-05  -1.2269e-06
    -0.71429   -0.0001129  -1.9091e-06
    -0.82041   -0.0001129  -2.3029e-06
    -0.92653   -0.0001129  -3.1126e-06
     -1.0327  -0.00011292  -3.4298e-06
     -1.1388  -0.00011292  -5.4808e-06
     -1.2449  -0.00011292  -8.4243e-06
      -1.351  -0.00011292  -8.1268e-06
     -1.4571  -0.00011292  -1.1618e-05
     -1.5633  -0.00011292  -1.4084e-05
     -1.6694  -0.00011292  -1.8775e-05
     -1.7755  -0.00011292  -2.8638e-05
     -1.8816  -0.00011292  -4.5654e-05
     -1.9878  -0.00011292  -6.4199e-05
     -2.0939  -0.00011292  -2.6677e-05
        -2.2  -0.00011292  -2.4184e-05
     -2.0939  -0.00011292  -1.5367e-05
     -1.9878  -0.00011292  -1.0406e-05
     -1.8816  -3.9034e-05  -8.3819e-06
     -1.7755  -2.6694e-05  -6.3567e-06
     -1.6694  -2.0696e-05  -5.0513e-06
     -1.5633  -1.5294e-05  -4.0304e-06
     -1.4571  -1.1984e-05  -3.1421e-06
      -1.351  -9.7957e-06  -2.4829e-06
     -1.2449  -8.1442e-06  -1.9051e-06
     -1.1388   -6.559e-06  -1.4103e-06
     -1.0327  -5.3601e-06  -1.1319e-06
    -0.92653  -3.8531e-06  -8.3463e-07
    -0.82041   -3.401e-06  -5.5922e-07
    -0.71429  -2.7718e-06  -4.1943e-07
    -0.60816  -2.1063e-06  -2.8005e-07
    -0.50204  -1.4685e-06  -1.4926e-07
    -0.39592   -9.988e-07  -7.1172e-08
     -0.2898  -7.7957e-07  -1.5337e-08
    -0.18367   -1.382e-07   2.9942e-08
   -0.077551  -2.0522e-08   5.6737e-08

                  QV        Points number                   98
     Voltage       Charge
    0.081633  -3.6413e-10
     0.18776  -1.3472e-09
     0.29388  -3.2378e-09
         0.4  -6.4375e-09
     0.50612  -1.1459e-08
     0.61224  -1.9058e-08
     0.71837  -2.9713e-08
     0.82449  -4.0908e-08
     0.93061  -5.2065e-08
      1.0367  -6.3324e-08
      1.1429  -7.4568e-08
       1.249  -8.5854e-08
      1.3551  -9.7138e-08
      1.4612  -1.0841e-07
      1.5673  -1.1969e-07
      1.6735  -1.3096e-07
      1.7796  -1.4223e-07
      1.8857   -1.535e-07
      1.9918  -1.6476e-07
       2.098  -1.7603e-07
      2.2041  -1.8727e-07
      2.3102  -1.9852e-07
      2.4163  -2.0978e-07
      2.5224  -2.0978e-07
      2.6286  -2.0978e-07
      2.7347  -2.0978e-07
      2.8408  -2.0978e-07
      2.9469  -2.0978e-07
      2.9469  -2.0978e-07
      2.8408  -2.0978e-07
      2.7347  -2.0978e-07
      2.6286  -2.0978e-07
      2.5224  -2.0978e-07
      2.4163  -2.0978e-07
      2.3102  -2.0978e-07
      2.2041  -2.0978e-07
       2.098  -2.0978e-07
      1.9918  -2.0978e-07
      1.8857  -2.0978e-07
      1.7796  -2.0978e-07
      1.6735  -2.0978e-07
      1.5673  -2.0978e-07
      1.4612  -2.0978e-07
      1.3551  -2.0978e-07
       1.249  -2.0978e-07
      1.1429  -2.0978e-07
      1.0367  -2.0978e-07
     0.93061  -2.0978e-07
     0.82449  -2.0978e-07
     0.71837  -2.0878e-07
     0.61224  -2.0734e-07
     0.50612  -2.0601e-07
         0.4  -2.0491e-07
     0.29388  -2.0412e-07
     0.18776  -2.0362e-07
    0.081633  -2.0341e-07
    -0.02449  -2.0346e-07
    -0.13061  -2.0381e-07
    -0.23673  -2.0479e-07
    -0.34286   -2.069e-07
    -0.44898  -2.1074e-07
     -0.5551  -2.1714e-07
    -0.66122  -2.2693e-07
    -0.76735  -2.3794e-07
    -0.87347  -2.4882e-07
    -0.97959  -2.5968e-07
     -1.0857  -2.7053e-07
     -1.1918  -2.8115e-07
      -1.298  -2.9158e-07
     -1.4041  -3.0185e-07
     -1.5102  -3.1173e-07
     -1.6163  -3.2121e-07
     -1.7224  -3.2986e-07
     -1.8286  -3.3735e-07
     -1.9347  -3.4266e-07
     -2.0408  -3.4832e-07
     -2.1469  -3.5661e-07
     -2.1469  -3.6611e-07
     -2.0408  -3.7629e-07
     -1.9347  -3.8184e-07
     -1.8286   -3.841e-07
     -1.7224  -3.8588e-07
     -1.6163  -3.8716e-07
     -1.5102  -3.8814e-07
     -1.4041  -3.8894e-07
      -1.298  -3.8963e-07
     -1.1918  -3.9016e-07
     -1.0857  -3.9064e-07
    -0.97959    -3.91e-07
    -0.87347  -3.9128e-07
    -0.76735  -3.9154e-07
    -0.66122  -3.9175e-07
     -0.5551  -3.9189e-07
    -0.44898    -3.92e-07
    -0.34286  -3.9208e-07
    -0.23673  -3.9213e-07
    -0.13061  -3.9214e-07
    -0.02449  -3.9215e-07




