  Measurement Number     Measurement type
                  19                DC IV

      Measurement ID             SeriesID
       739693.758695                   91

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   3.3197e-10   0.0000e+00
5.0000e-02   9.1279e-08   5.4777e+05
1.0000e-01   2.2298e-07   4.4847e+05
1.5000e-01   3.4852e-07   4.3039e+05
2.0000e-01   4.0912e-07   4.8885e+05
2.5000e-01   5.8032e-07   4.3080e+05
3.0000e-01   6.9032e-07   4.3458e+05
3.5000e-01   8.4628e-07   4.1357e+05
4.0000e-01   1.0000e-06   4.0000e+05
4.5000e-01   1.0001e-06   4.4995e+05
5.0000e-01   4.1278e-07   1.2113e+06
5.5000e-01   1.0000e-06   5.5000e+05
6.0000e-01   1.0000e-06   6.0000e+05
6.5000e-01   1.0000e-06   6.5000e+05
7.0000e-01   1.0000e-06   7.0000e+05
7.5000e-01   1.0000e-06   7.5000e+05
8.0000e-01   9.9998e-07   8.0002e+05
8.5000e-01   1.0000e-06   8.5000e+05
9.0000e-01   1.0000e-06   9.0000e+05
9.5000e-01   9.9998e-07   9.5002e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   1.0000e-06   9.9998e+05
9.5000e-01   1.0000e-06   9.5000e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.5000e-01   1.0000e-06   7.4999e+05
7.0000e-01   1.0000e-06   7.0000e+05
6.5000e-01   1.0000e-06   6.5000e+05
6.0000e-01   1.0000e-06   6.0000e+05
5.5000e-01   1.0000e-06   5.5000e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.5000e-01   1.0000e-06   4.4999e+05
4.0000e-01   1.0000e-06   4.0000e+05
3.5000e-01   1.0000e-06   3.5000e+05
3.0000e-01   1.0000e-06   3.0000e+05
2.5000e-01   1.0000e-06   2.5000e+05
2.0000e-01   9.9998e-07   2.0000e+05
1.5000e-01   9.9998e-07   1.5000e+05
1.0000e-01   1.0000e-06   9.9996e+04
5.0000e-02   9.9998e-07   5.0001e+04
0.0000e+00   6.1046e-07   0.0000e+00
0.0000e+00   2.0210e-11   0.0000e+00
-5.0000e-02   -8.9000e-12   5.6180e+09
-1.0000e-01   -1.2480e-11   8.0128e+09
-1.5000e-01   6.3400e-12   -2.3659e+10
-2.0000e-01   2.1960e-11   -9.1075e+09
-2.5000e-01   9.9700e-12   -2.5075e+10
-3.0000e-01   -8.8200e-12   3.4014e+10
-3.5000e-01   -2.0630e-11   1.6966e+10
-4.0000e-01   7.5300e-12   -5.3121e+10
-4.5000e-01   1.4380e-11   -3.1293e+10
-5.0000e-01   1.0690e-11   -4.6773e+10
-5.5000e-01   -2.4000e-12   2.2917e+11
-6.0000e-01   -2.1090e-11   2.8450e+10
-6.5000e-01   -9.8230e-11   6.6171e+09
-7.0000e-01   -1.1110e-09   6.3006e+08
-7.5000e-01   -5.5290e-08   1.3565e+07
-8.0000e-01   -1.0000e-06   8.0000e+05
-8.5000e-01   -1.0000e-06   8.5000e+05
-9.0000e-01   -9.9998e-07   9.0002e+05
-9.5000e-01   -1.0000e-06   9.5000e+05
-1.0000e+00   -1.0000e-06   1.0000e+06
-1.0000e+00   -1.0000e-06   1.0000e+06
-9.5000e-01   -1.0000e-06   9.5000e+05
-9.0000e-01   -1.0000e-06   9.0000e+05
-8.5000e-01   -1.0000e-06   8.5000e+05
-8.0000e-01   -1.0000e-06   8.0000e+05
-7.5000e-01   -9.9998e-07   7.5002e+05
-7.0000e-01   -1.0000e-06   7.0000e+05
-6.5000e-01   -9.9998e-07   6.5001e+05
-6.0000e-01   -9.9998e-07   6.0001e+05
-5.5000e-01   -9.9998e-07   5.5001e+05
-5.0000e-01   -1.0000e-06   5.0000e+05
-4.5000e-01   -9.9998e-07   4.5001e+05
-4.0000e-01   -9.9998e-07   4.0001e+05
-3.5000e-01   -9.9998e-07   3.5001e+05
-3.0000e-01   -1.0000e-06   3.0000e+05
-2.5000e-01   -1.0000e-06   2.5000e+05
-2.0000e-01   -1.0000e-06   2.0000e+05
-1.5000e-01   -9.9998e-07   1.5000e+05
-1.0000e-01   -1.0000e-06   1.0000e+05
-5.0000e-02   -9.9998e-07   5.0001e+04
0.0000e+00   -5.7702e-07   -0.0000e+00
