  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739693.761733                    0

         MeasureMode                Bias1                Bias2
                   2                  2.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   1.9100e-12   0.0000e+00
5.0000e-02   -1.1370e-11   -4.3975e+09
1.0000e-01   4.2800e-12   2.3364e+10
1.5000e-01   1.4170e-11   1.0586e+10
2.0000e-01   -4.2000e-13   -4.7619e+11
2.5000e-01   -1.2930e-11   -1.9335e+10
3.0000e-01   -3.3600e-12   -8.9286e+10
3.5000e-01   6.9900e-12   5.0072e+10
4.0000e-01   1.3760e-11   2.9070e+10
4.5000e-01   -7.0000e-12   -6.4286e+10
5.0000e-01   -9.4400e-12   -5.2966e+10
5.5000e-01   5.2200e-12   1.0536e+11
6.0000e-01   1.5130e-11   3.9656e+10
6.5000e-01   6.4700e-12   1.0046e+11
7.0000e-01   -8.7000e-13   -8.0460e+11
7.5000e-01   2.2440e-11   3.3422e+10
8.0000e-01   1.6810e-11   4.7591e+10
8.5000e-01   1.8590e-11   4.5724e+10
9.0000e-01   7.3500e-12   1.2245e+11
9.5000e-01   1.3400e-12   7.0896e+11
1.0000e+00   -1.0750e-11   -9.3023e+10
1.0500e+00   2.7000e-12   3.8889e+11
1.1000e+00   1.6900e-11   6.5089e+10
1.1500e+00   9.9500e-12   1.1558e+11
1.2000e+00   9.8000e-13   1.2245e+12
1.2500e+00   1.6350e-11   7.6453e+10
1.3000e+00   1.1510e-11   1.1295e+11
1.3500e+00   2.9080e-11   4.6424e+10
1.4000e+00   1.1810e-11   1.1854e+11
1.4500e+00   1.4020e-11   1.0342e+11
1.5000e+00   3.4240e-11   4.3808e+10
1.5500e+00   3.7070e-11   4.1813e+10
1.6000e+00   4.2460e-11   3.7683e+10
1.6500e+00   3.4890e-11   4.7291e+10
1.7000e+00   3.5760e-11   4.7539e+10
1.7500e+00   5.9580e-11   2.9372e+10
1.8000e+00   8.3170e-11   2.1642e+10
