  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739693.774794                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                  44

        Bias        Current     Resistance
0.0000e+00   -5.1900e-12   -0.0000e+00
1.0000e-01   3.2300e-12   3.0960e+10
2.0000e-01   1.0370e-11   1.9286e+10
3.0000e-01   2.0110e-11   1.4918e+10
4.0000e-01   3.7150e-11   1.0767e+10
5.0000e-01   2.7110e-11   1.8443e+10
6.0000e-01   1.2250e-11   4.8980e+10
7.0000e-01   9.3000e-13   7.5269e+11
8.0000e-01   2.1950e-11   3.6446e+10
9.0000e-01   9.6800e-12   9.2975e+10
1.0000e+00   5.9500e-12   1.6807e+11
1.0000e+00   3.7410e-11   2.6731e+10
9.0000e-01   1.1260e-11   7.9929e+10
8.0000e-01   1.7880e-11   4.4743e+10
7.0000e-01   1.5130e-11   4.6266e+10
6.0000e-01   5.4700e-12   1.0969e+11
5.0000e-01   8.9800e-12   5.5679e+10
4.0000e-01   1.9060e-11   2.0986e+10
3.0000e-01   1.0660e-11   2.8143e+10
2.0000e-01   6.6800e-12   2.9940e+10
1.0000e-01   1.5590e-11   6.4144e+09
0.0000e+00   8.5700e-12   0.0000e+00
0.0000e+00   1.1670e-11   0.0000e+00
-1.0000e-01   -1.5170e-11   6.5920e+09
-2.0000e-01   1.6000e-12   -1.2500e+11
-3.0000e-01   -1.6960e-11   1.7689e+10
-4.0000e-01   -2.4490e-11   1.6333e+10
-5.0000e-01   -5.0200e-12   9.9602e+10
-6.0000e-01   -1.2570e-11   4.7733e+10
-7.0000e-01   -1.5740e-11   4.4473e+10
-8.0000e-01   -1.2590e-11   6.3542e+10
-9.0000e-01   -1.0040e-11   8.9641e+10
-1.0000e+00   -1.2100e-12   8.2645e+11
-1.0000e+00   -4.0020e-11   2.4988e+10
-9.0000e-01   -1.6290e-11   5.5249e+10
-8.0000e-01   -3.4230e-11   2.3371e+10
-7.0000e-01   -1.1780e-11   5.9423e+10
-6.0000e-01   2.7000e-12   -2.2222e+11
-5.0000e-01   1.1020e-11   -4.5372e+10
-4.0000e-01   1.3320e-11   -3.0030e+10
-3.0000e-01   1.3690e-11   -2.1914e+10
-2.0000e-01   2.2780e-11   -8.7796e+09
-1.0000e-01   4.6400e-12   -2.1552e+10
0.0000e+00   6.6900e-12   0.0000e+00
