  Measurement Number     Measurement type
                  18                DC IV

      Measurement ID             SeriesID
       739693.765398                   13

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   2.5500e-12   0.0000e+00
5.0000e-02   1.8450e-11   2.7100e+09
1.0000e-01   -1.2110e-11   -8.2576e+09
1.5000e-01   -2.4910e-11   -6.0217e+09
2.0000e-01   -5.5100e-12   -3.6298e+10
2.5000e-01   2.4040e-11   1.0399e+10
3.0000e-01   -1.0500e-12   -2.8571e+11
3.5000e-01   -8.8300e-12   -3.9638e+10
4.0000e-01   -9.7700e-12   -4.0942e+10
4.5000e-01   1.8460e-11   2.4377e+10
5.0000e-01   2.5920e-11   1.9290e+10
5.5000e-01   3.4300e-12   1.6035e+11
6.0000e-01   -7.4500e-12   -8.0537e+10
6.5000e-01   -2.0730e-11   -3.1356e+10
7.0000e-01   -8.5300e-12   -8.2063e+10
7.5000e-01   1.4830e-11   5.0573e+10
8.0000e-01   2.5670e-11   3.1165e+10
8.5000e-01   3.7090e-11   2.2917e+10
9.0000e-01   5.9900e-12   1.5025e+11
9.5000e-01   -1.9600e-12   -4.8469e+11
1.0000e+00   1.4000e-11   7.1429e+10
1.0500e+00   1.8650e-11   5.6300e+10
1.1000e+00   2.1870e-11   5.0297e+10
1.1500e+00   9.9730e-11   1.1531e+10
1.2000e+00   5.5280e-11   2.1708e+10
1.2500e+00   7.3340e-11   1.7044e+10
1.3000e+00   9.3540e-11   1.3898e+10
1.3500e+00   1.9922e-10   6.7764e+09
1.4000e+00   1.8199e-10   7.6927e+09
1.4500e+00   2.3312e-10   6.2200e+09
1.5000e+00   3.1012e-10   4.8368e+09
1.5500e+00   3.5002e-10   4.4283e+09
1.6000e+00   3.8364e-10   4.1706e+09
1.6500e+00   5.1543e-10   3.2012e+09
1.7000e+00   5.5948e-10   3.0385e+09
1.7500e+00   6.1047e-10   2.8666e+09
1.8000e+00   8.0957e-10   2.2234e+09
1.8500e+00   8.3800e-10   2.2076e+09
1.9000e+00   9.9020e-10   1.9188e+09
1.9500e+00   1.6196e-09   1.2040e+09
2.0000e+00   5.3212e-09   3.7586e+08
2.0000e+00   5.4732e-09   3.6542e+08
1.9500e+00   3.7722e-09   5.1694e+08
1.9000e+00   4.7433e-09   4.0057e+08
1.8500e+00   1.1993e-09   1.5426e+09
1.8000e+00   8.6660e-10   2.0771e+09
1.7500e+00   7.8986e-10   2.2156e+09
1.7000e+00   7.5270e-10   2.2585e+09
