  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739693.767178                    0

         MeasureMode                Bias1                Bias2
                   2                    3                   -3

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   9.8000e-13   0.0000e+00
5.0000e-02   -5.5000e-12   -9.0909e+09
1.0000e-01   -1.5000e-13   -6.6667e+11
1.5000e-01   1.0710e-11   1.4006e+10
2.0000e-01   2.5070e-11   7.9777e+09
2.5000e-01   3.2900e-11   7.5988e+09
3.0000e-01   3.5900e-11   8.3565e+09
3.5000e-01   5.5440e-11   6.3131e+09
4.0000e-01   7.9700e-11   5.0188e+09
4.5000e-01   9.3540e-11   4.8108e+09
5.0000e-01   1.1762e-10   4.2510e+09
5.5000e-01   1.4846e-10   3.7047e+09
6.0000e-01   1.7534e-10   3.4219e+09
6.5000e-01   2.1230e-10   3.0617e+09
7.0000e-01   2.3311e-10   3.0029e+09
7.5000e-01   2.5661e-10   2.9227e+09
8.0000e-01   2.9866e-10   2.6786e+09
8.5000e-01   3.5096e-10   2.4219e+09
9.0000e-01   3.7954e-10   2.3713e+09
9.5000e-01   4.0633e-10   2.3380e+09
1.0000e+00   4.6075e-10   2.1704e+09
1.0500e+00   5.1189e-10   2.0512e+09
1.1000e+00   5.7475e-10   1.9139e+09
1.1500e+00   6.1400e-10   1.8730e+09
1.2000e+00   6.3960e-10   1.8762e+09
1.2500e+00   6.5847e-10   1.8983e+09
1.3000e+00   7.3961e-10   1.7577e+09
1.3500e+00   9.3180e-10   1.4488e+09
1.4000e+00   1.0806e-09   1.2956e+09
1.4500e+00   9.4040e-10   1.5419e+09
1.5000e+00   1.2649e-09   1.1859e+09
1.5500e+00   1.2999e-09   1.1924e+09
1.6000e+00   1.0703e-09   1.4949e+09
1.6500e+00   1.2049e-09   1.3694e+09
1.7000e+00   1.2482e-09   1.3620e+09
1.7500e+00   1.4122e-09   1.2392e+09
1.8000e+00   1.4646e-09   1.2290e+09
1.8500e+00   1.8757e-09   9.8630e+08
1.9000e+00   1.7331e-09   1.0963e+09
1.9500e+00   1.4411e-09   1.3531e+09
2.0000e+00   1.8448e-09   1.0841e+09
2.0500e+00   1.8856e-09   1.0872e+09
2.1000e+00   2.3369e-09   8.9863e+08
2.1500e+00   2.4690e-09   8.7080e+08
2.2000e+00   2.5771e-09   8.5367e+08
2.2500e+00   2.8869e-09   7.7938e+08
2.3000e+00   2.5406e-09   9.0530e+08
2.3500e+00   2.8988e-09   8.1068e+08
2.4000e+00   3.4834e-09   6.8898e+08
2.4500e+00   3.6473e-09   6.7173e+08
2.5000e+00   3.0969e-09   8.0726e+08
2.5500e+00   3.1268e-09   8.1553e+08
2.6000e+00   3.4240e-09   7.5935e+08
2.6500e+00   4.0096e-09   6.6091e+08
2.7000e+00   4.2894e-09   6.2946e+08
2.7500e+00   4.3433e-09   6.3316e+08
2.8000e+00   5.9340e-09   4.7186e+08
2.8500e+00   5.5601e-09   5.1258e+08
2.9000e+00   5.7091e-09   5.0796e+08
2.9500e+00   6.1161e-09   4.8233e+08
3.0000e+00   8.5254e-09   3.5189e+08
3.0000e+00   7.6168e-09   3.9387e+08
2.9500e+00   7.3328e-09   4.0230e+08
2.9000e+00   7.9001e-09   3.6708e+08
2.8500e+00   7.3241e-09   3.8913e+08
2.8000e+00   6.9705e-09   4.0169e+08
2.7500e+00   6.4854e-09   4.2403e+08
2.7000e+00   6.3458e-09   4.2548e+08
2.6500e+00   4.6711e-09   5.6732e+08
2.6000e+00   4.7095e-09   5.5208e+08
2.5500e+00   4.4685e-09   5.7066e+08
2.5000e+00   3.9853e-09   6.2731e+08
2.4500e+00   4.2916e-09   5.7088e+08
2.4000e+00   4.0635e-09   5.9062e+08
2.3500e+00   4.0405e-09   5.8161e+08
2.3000e+00   3.9674e-09   5.7972e+08
2.2500e+00   3.7295e-09   6.0330e+08
2.2000e+00   3.4069e-09   6.4575e+08
2.1500e+00   3.0010e-09   7.1643e+08
2.1000e+00   2.6697e-09   7.8661e+08
2.0500e+00   2.3296e-09   8.7998e+08
2.0000e+00   2.2875e-09   8.7432e+08
1.9500e+00   1.8862e-09   1.0338e+09
1.9000e+00   1.6221e-09   1.1713e+09
1.8500e+00   1.5400e-09   1.2013e+09
1.8000e+00   1.5593e-09   1.1544e+09
1.7500e+00   1.2830e-09   1.3640e+09
1.7000e+00   1.2125e-09   1.4021e+09
1.6500e+00   1.2514e-09   1.3185e+09
1.6000e+00   9.5200e-10   1.6807e+09
1.5500e+00   9.4750e-10   1.6359e+09
1.5000e+00   8.4084e-10   1.7839e+09
1.4500e+00   7.5489e-10   1.9208e+09
1.4000e+00   8.0454e-10   1.7401e+09
1.3500e+00   7.2638e-10   1.8585e+09
