  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739693.771801                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.1840e-11   0.0000e+00
5.0000e-02   -3.7000e-12   -1.3514e+10
1.0000e-01   -1.0370e-11   -9.6432e+09
1.5000e-01   1.0140e-11   1.4793e+10
2.0000e-01   1.8470e-11   1.0828e+10
2.5000e-01   -1.0140e-11   -2.4655e+10
3.0000e-01   -6.0400e-12   -4.9669e+10
3.5000e-01   -7.7500e-12   -4.5161e+10
4.0000e-01   8.8000e-12   4.5455e+10
4.5000e-01   1.9290e-11   2.3328e+10
5.0000e-01   -7.4900e-12   -6.6756e+10
5.5000e-01   6.6900e-12   8.2212e+10
6.0000e-01   -5.5600e-12   -1.0791e+11
6.5000e-01   3.5900e-12   1.8106e+11
7.0000e-01   8.2900e-12   8.4439e+10
7.5000e-01   2.2320e-11   3.3602e+10
8.0000e-01   1.7930e-11   4.4618e+10
8.5000e-01   1.3780e-11   6.1684e+10
9.0000e-01   -2.4000e-12   -3.7500e+11
9.5000e-01   4.0700e-12   2.3342e+11
1.0000e+00   2.9400e-11   3.4014e+10
1.0500e+00   4.0500e-11   2.5926e+10
1.1000e+00   2.0860e-11   5.2733e+10
1.1500e+00   1.2940e-11   8.8872e+10
1.2000e+00   2.6200e-12   4.5802e+11
1.2500e+00   3.7360e-11   3.3458e+10
1.3000e+00   6.2810e-11   2.0697e+10
1.3500e+00   9.9850e-11   1.3520e+10
1.4000e+00   1.9059e-10   7.3456e+09
1.4500e+00   4.3982e-10   3.2968e+09
1.5000e+00   6.9702e-10   2.1520e+09
1.5500e+00   9.3126e-10   1.6644e+09
1.6000e+00   1.1527e-09   1.3880e+09
1.6500e+00   1.1695e-09   1.4109e+09
1.7000e+00   1.7889e-09   9.5030e+08
1.7500e+00   1.5948e-09   1.0973e+09
1.8000e+00   1.1613e-09   1.5500e+09
1.8500e+00   2.2911e-09   8.0747e+08
1.9000e+00   2.0370e-09   9.3274e+08
1.9500e+00   2.5678e-09   7.5940e+08
2.0000e+00   3.8260e-09   5.2274e+08
2.0000e+00   2.7600e-09   7.2464e+08
1.9500e+00   2.7029e-09   7.2145e+08
1.9000e+00   2.3906e-09   7.9478e+08
1.8500e+00   1.8167e-09   1.0183e+09
1.8000e+00   2.2027e-09   8.1718e+08
1.7500e+00   1.9923e-09   8.7838e+08
1.7000e+00   1.8475e-09   9.2016e+08
1.6500e+00   1.1112e-09   1.4849e+09
