  Measurement Number     Measurement type
                  28                DC IV

      Measurement ID             SeriesID
       739429.497613                   96

         MeasureMode                Bias1                Bias2
                   2                    4                   -3

                Step  Positive compliance  Negative compliance
                 0.1               0.0001                 0.01

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   -1.0406e-10   -0.0000e+00
1.0000e-01   2.6767e-09   3.7359e+07
2.0000e-01   5.5312e-09   3.6159e+07
3.0000e-01   9.6708e-09   3.1021e+07
4.0000e-01   1.3824e-08   2.8936e+07
5.0000e-01   2.0527e-08   2.4358e+07
6.0000e-01   2.6832e-08   2.2361e+07
7.0000e-01   3.5632e-08   1.9645e+07
8.0000e-01   4.7350e-08   1.6896e+07
9.0000e-01   6.5556e-08   1.3729e+07
1.0000e+00   8.0713e-08   1.2390e+07
1.1000e+00   9.0594e-08   1.2142e+07
1.2000e+00   1.0502e-07   1.1426e+07
1.3000e+00   1.3252e-07   9.8098e+06
1.4000e+00   1.7580e-07   7.9636e+06
1.5000e+00   1.8352e-07   8.1735e+06
1.6000e+00   2.4122e-07   6.6329e+06
1.7000e+00   2.6172e-07   6.4955e+06
1.8000e+00   3.4466e-07   5.2225e+06
1.9000e+00   4.0622e-07   4.6773e+06
2.0000e+00   5.4078e-07   3.6984e+06
2.1000e+00   7.1132e-07   2.9523e+06
2.2000e+00   7.3470e-07   2.9944e+06
2.3000e+00   9.9112e-07   2.3206e+06
2.4000e+00   1.0000e-04   2.3999e+04
2.5000e+00   1.0000e-04   2.4999e+04
2.6000e+00   1.0000e-04   2.5999e+04
2.7000e+00   1.0000e-04   2.6999e+04
2.8000e+00   1.0000e-04   2.7999e+04
2.9000e+00   1.0000e-04   2.8999e+04
3.0000e+00   1.0000e-04   2.9999e+04
3.1000e+00   1.0000e-04   3.0999e+04
3.2000e+00   1.0000e-04   3.1999e+04
3.3000e+00   1.0000e-04   3.2999e+04
3.4000e+00   1.0000e-04   3.3999e+04
3.5000e+00   1.0000e-04   3.4999e+04
3.6000e+00   1.0000e-04   3.5999e+04
3.7000e+00   1.0000e-04   3.6999e+04
3.8000e+00   1.0000e-04   3.7998e+04
3.9000e+00   1.0000e-04   3.8998e+04
4.0000e+00   1.0000e-04   3.9998e+04
4.0000e+00   1.0000e-04   3.9999e+04
3.9000e+00   1.0000e-04   3.8999e+04
3.8000e+00   1.0000e-04   3.7999e+04
3.7000e+00   1.0000e-04   3.6999e+04
3.6000e+00   1.0000e-04   3.5999e+04
3.5000e+00   1.0000e-04   3.4999e+04
3.4000e+00   1.0000e-04   3.3999e+04
3.3000e+00   1.0000e-04   3.2999e+04
3.2000e+00   1.0000e-04   3.1999e+04
3.1000e+00   1.0000e-04   3.0999e+04
3.0000e+00   1.0000e-04   2.9999e+04
2.9000e+00   1.0001e-04   2.8998e+04
2.8000e+00   1.0000e-04   2.7999e+04
2.7000e+00   1.0000e-04   2.6999e+04
2.6000e+00   1.0000e-04   2.5999e+04
