  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739429.496483                   96

         MeasureMode                Bias1                Bias2
                   2                    4                   -3

                Step  Positive compliance  Negative compliance
                 0.1               0.0001                 0.01

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   -4.0370e-11   -0.0000e+00
1.0000e-01   2.7755e-10   3.6030e+08
2.0000e-01   7.4464e-10   2.6859e+08
3.0000e-01   1.2196e-09   2.4598e+08
4.0000e-01   1.8312e-09   2.1844e+08
5.0000e-01   2.6822e-09   1.8641e+08
6.0000e-01   3.7973e-09   1.5801e+08
7.0000e-01   5.0621e-09   1.3828e+08
8.0000e-01   6.8806e-09   1.1627e+08
9.0000e-01   9.4706e-09   9.5031e+07
1.0000e+00   1.1671e-08   8.5682e+07
1.1000e+00   1.4826e-08   7.4194e+07
1.2000e+00   1.8462e-08   6.4999e+07
1.3000e+00   2.3165e-08   5.6119e+07
1.4000e+00   2.8106e-08   4.9811e+07
1.5000e+00   3.2923e-08   4.5561e+07
1.6000e+00   4.0262e-08   3.9740e+07
1.7000e+00   5.0470e-08   3.3683e+07
1.8000e+00   6.5390e-08   2.7527e+07
1.9000e+00   7.8364e-08   2.4246e+07
2.0000e+00   9.4100e-08   2.1254e+07
2.1000e+00   1.0228e-07   2.0532e+07
2.2000e+00   1.2406e-07   1.7733e+07
2.3000e+00   1.3966e-07   1.6469e+07
2.4000e+00   1.5824e-07   1.5167e+07
2.5000e+00   1.8866e-07   1.3251e+07
2.6000e+00   2.3038e-07   1.1286e+07
2.7000e+00   2.5566e-07   1.0561e+07
2.8000e+00   3.0580e-07   9.1563e+06
2.9000e+00   3.6514e-07   7.9422e+06
3.0000e+00   4.9758e-07   6.0292e+06
3.1000e+00   5.6360e-07   5.5004e+06
3.2000e+00   6.9258e-07   4.6204e+06
3.3000e+00   8.5228e-07   3.8720e+06
3.4000e+00   1.2776e-06   2.6612e+06
3.5000e+00   1.5114e-06   2.3157e+06
3.6000e+00   1.9824e-06   1.8160e+06
3.7000e+00   2.7029e-06   1.3689e+06
3.8000e+00   1.0000e-04   3.7998e+04
3.9000e+00   1.0000e-04   3.8999e+04
4.0000e+00   1.0000e-04   3.9999e+04
4.0000e+00   1.0000e-04   3.9998e+04
3.9000e+00   1.0000e-04   3.8998e+04
3.8000e+00   1.0000e-04   3.7999e+04
3.7000e+00   1.0000e-04   3.6999e+04
3.6000e+00   1.0000e-04   3.5999e+04
3.5000e+00   1.0000e-04   3.4999e+04
3.4000e+00   1.0000e-04   3.3999e+04
3.3000e+00   1.0000e-04   3.2999e+04
3.2000e+00   1.0000e-04   3.1999e+04
3.1000e+00   1.0000e-04   3.0999e+04
3.0000e+00   1.0000e-04   2.9999e+04
2.9000e+00   1.0000e-04   2.8999e+04
2.8000e+00   1.0000e-04   2.7999e+04
2.7000e+00   1.0000e-04   2.6999e+04
2.6000e+00   1.0000e-04   2.5999e+04
